drug_code	DIN_7	Packaging	status	market_status	marketed_date	DIN_13	Community_approval	repayment_rate	drug_cost
60131805	5773899	5 ampoule(s) polypropylène suremballée(s)/surpochée(s) de 10 ml	Présentation active	Déclaration de commercialisation	1/2/2011	3400957738990	oui		
60131805	5773965	5 ampoule(s) polypropylène suremballée(s)/surpochée(s) de 20 ml	Présentation active	Déclaration de commercialisation	1/2/2011	3400957739652	oui		
60158154	5789185	1 flacon(s) en verre suremballée(s)/surpochée(s)	Présentation active	Déclaration de commercialisation	8/11/2011	3400957891855	oui		
60182486	3521314	1 poche(s) (CLEARFLEX) PE/Polyamide 6/Polypropylène avec valve(s) de 500  ml	Présentation active	Déclaration d'arrêt de commercialisation	14/02/2014	3400935213143	non		
60182486	3521320	1 poche(s) (CLEARFLEX) PE/Polyamide 6/Polypropylène avec valve(s) de 1000  ml	Présentation active	Déclaration d'arrêt de commercialisation	8/3/2013	3400935213204	non		
60182486	3521343	1 poche(s) (CLEARFLEX) PE/Polyamide 6/Polypropylène avec valve(s) de 2000  ml	Présentation active	Déclaration de commercialisation	10/2/1999	3400935213433	non		
60182486	3521366	1 poche(s) (CLEARFLEX) PE/Polyamide 6/Polypropylène avec valve(s) de 3000  ml	Présentation active	Déclaration de commercialisation	10/2/1999	3400935213662	non		
60182486	3562922	1 poche(s) (CLEARFLEX) PE/Polyamide 6/Polypropylène avec valve(s) de 500  ml	Présentation active	Déclaration de commercialisation	1/6/1996	3400935629227	oui		
60186552	5630912	20 poche(s) (ECOBAG) polypropylène polyéthylène polyester suremballée/surpochée de 500 ml	Présentation active	Déclaration de commercialisation	17/05/2001	3400956309122	oui		
60196977	5724205	1 poche(s) polyoléfine (MACOFLEX) N suremballée(s)/surpochée(s) de 50 ml	Présentation active	Déclaration de commercialisation	1/1/2014	3400957242053	oui		
60196977	5724257	1 poche(s) polyoléfine (MACOFLEX) N suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration de commercialisation	28/04/2011	3400957242572	oui		
60196977	5724317	1 poche(s) polyoléfine (MACOFLEX) N suremballée(s)/surpochée(s) de 200 ml	Présentation active	Déclaration de commercialisation	1/1/2014	3400957243173	oui		
60197246	3643299	10 ampoule(s) bouteille en verre de 5 ml ( abrogée le 06/11/2014)	Présentation abrogée	Déclaration de commercialisation	1/3/2005	3400936432994	oui		
60197246	3643336	10 ampoule(s) bouteille en verre de 20 ml ( abrogée le 06/11/2014)	Présentation abrogée	Déclaration de commercialisation	1/3/2005	3400936433366	oui		
60244525	3599782	4 poche(s) polyoléfine de 2000 ml bicompartimenté(e)(s)/à 2 compartiments avec connecteur(s) suremballée(s)/surpochée(s)	Présentation active	Déclaration de commercialisation	14/04/2003	3400935997821	oui		
60244525	3599799	4 poche(s) polyoléfine de 2500 ml bicompartimenté(e)(s)/à 2 compartiments avec connecteur(s) suremballée(s)/surpochée(s)	Présentation active	Déclaration de commercialisation	24/09/2003	3400935997999	oui		
60244525	3599813	4 poche(s) polyoléfine de 3000 ml bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s)	Présentation active	Déclaration de commercialisation	8/10/2003	3400935998132	oui		
60244525	3857273	2 poche(s) polyoléfine de 5000 ml bicompartimenté(e)(s)/à 2 compartiments suremballée(s)/surpochée(s)	Présentation active	Déclaration de commercialisation	15/05/2009	3400938572735	oui		
60270452	3745479	plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s) ( abrogée le 24/07/2013)	Présentation abrogée	Déclaration de commercialisation	5/7/2006	3400937454797	non	65%	"7,30"
60270452	3745485	plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 84 comprimé(s) ( abrogée le 24/07/2013)	Présentation abrogée	Déclaration de commercialisation	6/5/2008	3400937454858	non	65%	"21,05"
60323638	5630993	20 poche(s) (ECOBAG) polypropylène polyéthylène polyester suremballée/surpochée de 500 ml	Présentation active	Déclaration d'arrêt de commercialisation	12/12/2011	3400956309931	non		
60329242	3816239	1 poche(s) (MACOFLEX) N polyoléfine suremballée(s)/surpochée(s) de 250 ml	Présentation active	Déclaration de commercialisation	18/09/2008	3400938162394	oui		
60329242	3816245	1 poche(s) (MACOFLEX) N polyoléfine suremballée(s)/surpochée(s) de 500 ml	Présentation active	Déclaration de commercialisation	7/4/2008	3400938162455	oui		
60339717	5812843	"10 poche(s) de 100 ml polypropylène polyoléfine à 2 tubes, l'un avec un Twist-off l'autre avec un site d'injection suremballée(s)/surpochée(s)"	Présentation active	Déclaration de commercialisation	11/12/2012	3400958128431	oui		
60342909	5699482	1 flacon(s) en verre suremballée(s)/surpochée(s) de 25 ml	Présentation active	Déclaration d'arrêt de commercialisation	7/3/2012	3400956994823	non		
60342909	5699499	1 flacon(s) en verre suremballée(s)/surpochée(s) de 50 ml	Présentation active	Déclaration d'arrêt de commercialisation	1/12/2011	3400956994991	non		
60342909	5699507	1 flacon(s) en verre suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration d'arrêt de commercialisation	10/4/2012	3400956995073	non		
60375720	3551723	20 poche(s) (CLEARFLEX) polyéthylène polyamide polypropylène avec valve suremballée/surpochée de 500 ml	Présentation active	Déclaration de commercialisation	1/1/1994	3400935517234	oui		
60420681	3777456	4 poche(s) polypropylène-co-éthylène  suremballée/surpochée de 1400 ml à 3 compartiments	Présentation active	Déclaration de commercialisation	11/2/2009	3400937774567	oui	65%	"130,00"
60420681	3777479	4 poche(s) polypropylène-co-éthylène  suremballée/surpochée de 1920 ml à 3 compartiments	Présentation active	Déclaration de commercialisation	11/2/2009	3400937774796	oui	65%	"147,92"
60420681	3777491	3 poche(s) polypropylène-co-éthylène  suremballée/surpochée de 2400 ml à 3 compartiments	Présentation active	Déclaration de commercialisation	11/2/2009	3400937774918	oui	65%	"122,81"
60447461	5644529	"1 flacon(s) en verre de 7,5 à 15 MBq/ml"	Présentation active	Déclaration de commercialisation	1/1/1992	3400956445295	non		
60484869	3191762	1 flacon(s) de 30 ml ( abrogée le 13/08/2013)	Présentation abrogée	Déclaration de commercialisation	19/10/1975	3400931917625	non		
60661814	5668317	24 poche(s) polyester suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration de commercialisation	26/06/2006	3400956683178	oui		
60661814	5668352	12 poche(s) polyester suremballée(s)/surpochée(s) de 200 ml	Présentation active	Déclaration de commercialisation	26/06/2006	3400956683529	oui		
60744612	3000424	1 poche(s) polypropylène suremballée(s)/surpochée(s) de 50 ml	Présentation active	Déclaration de commercialisation	12/10/2015	3400930004241	oui	65%	"2,54"
60744612	3000425	1 poche(s) polypropylène suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration de commercialisation	23/12/2015	3400930004258	oui	65%	"2,71"
60744612	3000426	1 poche(s) polypropylène suremballée(s)/surpochée(s) de 250 ml	Présentation active	Déclaration de commercialisation	1/12/2015	3400930004265	oui	65%	"2,74"
60744612	3000427	1 poche(s) polypropylène suremballée(s)/surpochée(s) de 500 ml	Présentation active	Déclaration de commercialisation	15/12/2015	3400930004272	oui	65%	"2,96"
60744612	3000428	1 poche(s) polypropylène suremballée(s)/surpochée(s) de 1000 ml	Présentation active	Déclaration de commercialisation	1/12/2015	3400930004289	oui	65%	"3,58"
60744612	3547029	1 poche(s) PVC suremballée/surpochée de 50 ml	Présentation active	Déclaration de commercialisation	27/04/2001	3400935470294	non	65%	"2,54"
60744612	3547058	1 poche(s) PVC suremballée/surpochée de 100 ml	Présentation active	Déclaration de commercialisation	27/04/2001	3400935470584	non	65%	"2,71"
60744612	3547087	1 poche(s) PVC suremballée/surpochée de 250 ml	Présentation active	Déclaration de commercialisation	27/04/2001	3400935470874	non	65%	"2,74"
60744612	3547124	1 poche(s) PVC suremballée/surpochée de 500 ml	Présentation active	Déclaration de commercialisation	27/04/2001	3400935471246	non	65%	"2,96"
60744612	3547176	1 poche(s) PVC suremballée/surpochée de 1000 ml	Présentation active	Déclaration de commercialisation	27/04/2001	3400935471765	non	65%	"3,58"
60770621	3483022	3 ampoule(s) en verre brun avec pipette doseuse polypropylène de 1 ml ( abrogée le 16/10/2015)	Présentation active	Déclaration de commercialisation	26/10/2000	3400934830228	oui	65%	"4,08"
60770621	5612417	6 ampoule(s) en verre brun avec pipette doseuse polypropylène de 1 ml ( abrogée le 16/10/2015)	Présentation active	Déclaration de commercialisation	26/10/2000	3400956124176	oui		
60852538	3828165	1 flacon(s) en verre brun de 60 ml avec seringue(s) pour administration orale polyéthylène basse densité (PEBD)/polystyrène	Présentation active	Déclaration de commercialisation	25/11/2008	3400938281651	oui	65%	"18,53"
60852538	3828188	1 flacon(s) en verre brun de 120 ml avec seringue(s) pour administration orale polyéthylène basse densité (PEBD)/polystyrène	Présentation active	Déclaration de commercialisation	25/11/2008	3400938281880	oui	65%	"35,87"
60869007	3523170	plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 lyophilisat(s) suremballée(s)/surpochée(s) en sachet	Présentation active	Déclaration d'arrêt de commercialisation	4/2/2016	3400935231703	non	65%	"33,86"
60900520	2184292	20 poche(s) (ECOBAG) polypropylène polyéthylène polyester suremballée(s)/surpochée(s) de 500 ml	Présentation active	Déclaration de commercialisation	7/5/2012	3400921842920	oui		
60913980	3404643	plaquette(s) thermoformée(s) PVC-Aluminium de 28  gélule(s) ( abrogée le 30/04/2015)	Présentation abrogée	Déclaration de commercialisation	19/10/1996	3400934046438	non		
60934953	5644601	1 flacon(s) en verre de 185 MBq/ml	Présentation active	Déclaration de commercialisation	1/5/2005	3400956446018	non		
60945191	3059459	1 flacon(s) en verre de 20 ml ( abrogée le 17/12/2015)	Présentation abrogée	Déclaration de commercialisation	19/07/1971	3400930594599	non		
60957852	5623421	1 flacon(s) en verre de 37 MBq/ml	Présentation active	Déclaration de commercialisation	23/02/2000	3400956234219	non		
60961427	3328617	1 récipient(s) multidose(s) polyéthylène de 100  mg ( abrogée le 27/03/2012)	Présentation abrogée	Déclaration d'arrêt de commercialisation	20/10/2012	3400933286170	non	65%	"10,51"
60998429	5736059	1 flacon(s) en verre de 185 MBq/ml	Présentation active	Déclaration de commercialisation	7/1/2009	3400957360597	non		
61014598	5741758	30 poche(s) polyoléfine suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration de commercialisation	15/06/2009	3400957417581	oui		
61032322	5737188	1 flacon(s) en verre suremballée(s)/surpochée(s) polystyrène PVC	Présentation active	Déclaration d'arrêt de commercialisation	30/01/2012	3400957371883	non		
61085944	3899797	1 poche(s) polyoléfine suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration de commercialisation	18/05/2009	3400938997972	oui		
61085944	3899811	10 poche(s) polyoléfine suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration d'arrêt de commercialisation	1/12/2011	3400938998115	non		
61085944	4996060	10 poche(s) FREEFLEX polypropylène SIS : styrène-isoprène-styrène SEBS : styrène-éthylène-butylène-styrène suremballée(s)/surpochée(s) de 100 ml	Présentation active	Déclaration de commercialisation	30/09/2011	3400949960606	oui		
61117445	3563560	8 poche(s) - en PCCE : poly(cyclohexylène dimethylène) cyclohexane dicarboxylate / tétraméthylglycol / EVA : éthylène vinyl acétate copolymère / EP : époxydes / SEBS : styrène-éthylène-butylène-styrène- de 1 litre bicompartimenté(e)(s)/à 2 compartiments	Présentation active	Déclaration de commercialisation	1/4/2003	3400935635600	oui	65%	"30,48"
61117445	3563577	"6 poche(s) - en PCCE : poly(cyclohexylène dimethylène) cyclohexane dicarboxylate / tétraméthylglycol EVA : éthylène vinyl acétate copolymère EP : époxydes - de 1,5 litre bicompartimenté(e)(s)/à 2 compartiments"	Présentation active	Déclaration de commercialisation	1/7/2003	3400935635778	oui	65%	"34,96"
61158552	3585283	4 poche(s) bicompartimenté(e)(s)/à 2 compartiments polyoléfine suremballée(s)/surpochée(s) de 2000 ml avec système staysafe	Présentation active	Déclaration de commercialisation	15/11/2002	3400935852830	oui		
61194121	3766760	1 flacon(s) polyéthylène de 3 ml ( abrogée le 15/06/2012)	Présentation abrogée	Déclaration d'arrêt de commercialisation	11/7/2012	3400937667609	non	65%	"2,80"
