10025	S03AA30	"ANTIINFECTIVES, COMBINATIONS"	52:04.04	ANTIBACTERIALS						
10991	D01AC01	CLOTRIMAZOLE	84:04.08.08	AZOLES						
10992	G01AF02	CLOTRIMAZOLE	84:04.08.08	AZOLES						
10993	G01AF02	CLOTRIMAZOLE	84:04.08.08	AZOLES						
2030	A08AA05	MAZINDOL	28:20.00	ANOREXIGENIC AGENTS & RESPIRATORY AND CNS STIMULANTS						
2049	N06AA12	DOXEPIN	28:16.04.28	TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS						
21854	V07AV	TECHNICAL DISINFECTANTS	38:00.00	DISINFECTANTS (FOR AGENTS USED ON OBJECT)						
21855	V07AV	TECHNICAL DISINFECTANTS	38:00.00	DISINFECTANTS (FOR AGENTS USED ON OBJECT)						
2390	A03BA01	ATROPINE	12:08.08	ANTIMUSCARINICS ANTISPASMODICS						
25876	V07AV	TECHNICAL DISINFECTANTS	38:00.00	DISINFECTANTS (FOR AGENTS USED ON OBJECT)						
25882	V07AV	TECHNICAL DISINFECTANTS	38:00.00	DISINFECTANTS (FOR AGENTS USED ON OBJECT)						
2780	N06AA12	DOXEPIN	28:16.04.28	TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS						
35657	N02AA03	HYDROMORPHONE	28:08.08	OPIATE AGONISTS						
36233	R05FA02	OPIUM DERIVATIVES AND EXPECTORANTS	48:08.00	ANTITUSSIVES						
36233	R05FA02	OPIUM DERIVATIVES AND EXPECTORANTS	48:16.00	EXPECTORANTS						
36818	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	04:04.20	PROPYLAMINE DERIVATIVES						
36818	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.92	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS						
37495	J01CA01	AMPICILLIN	08:12.16.08	AMINOPENICILLINS						
42924	N05AB02	FLUPHENAZINE	28:16.08.24	PHENOTHIAZINES						
42925	N05AB02	FLUPHENAZINE	28:16.08.24	PHENOTHIAZINES						
42929	B01AB02	ANTITHROMBIN	20:12.04.12	DIRECT THROMBIN INHIBITORS						
42941	N05AD01	HALOPERIDOL	28:16.08.08	BUTYROPHENONES						
42942	N05AD01	HALOPERIDOL	28:16.08.08	BUTYROPHENONES						
42972	S01ED01	TIMOLOL	52:40.08	BETA-ADRENERGIC AGENTS						
42973	S01ED01	TIMOLOL	52:40.08	BETA-ADRENERGIC AGENTS						
43007	N05CF02	ZOLPIDEM	28:24.92	MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS						
43008	N05CF02	ZOLPIDEM	28:24.92	MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS						
43064	G03DA02	MEDROXYPROGESTERONE	68:32.00	PROGESTINS						
43065	G03DA02	MEDROXYPROGESTERONE	68:32.00	PROGESTINS						
43066	G03DA02	MEDROXYPROGESTERONE	68:32.00	PROGESTINS						
43255	J01DH02	MEROPENEM	08:12.07.08	CARBAPENEMS						
43256	J01DH02	MEROPENEM	08:12.07.08	CARBAPENEMS						
43342	G03AC	PROGESTOGENS	68:12.00	CONTRACEPTIVES						
43379	B02AB02	ALFA1 ANTITRYPSIN	44:00.00	ENZYMES						
43380	B02AB02	ALFA1 ANTITRYPSIN	44:00.00	ENZYMES						
43397	A02BC02	PANTOPRAZOLE	56:28.36	PROTON-PUMP INHIBITORS						
43603	V08AB07	IOVERSOL	36:68.00	ROENTGENOGRAPHY						
43612	C08CA01	AMLODIPINE	24:28.08	DIHYDROPYRIDINES						
43679	N03AG04	VIGABATRIN	28:12.92	MISCELLANEOUS ANTICONVULSANTS						
43680	N03AG04	VIGABATRIN	28:12.92	MISCELLANEOUS ANTICONVULSANTS						
43681	N03AG04	VIGABATRIN	28:12.92	MISCELLANEOUS ANTICONVULSANTS						
43968	H05BA01	CALCITONIN (SALMON SYNTHETIC)	68:24.00	PARATHYROID						
44028	M01AE11	TIAPROFENIC ACID	28:08.04.92	OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS						
44037	C07AG02	CARVEDILOL	24:24.00	BETA-ADRENERGIC BLOCKING AGENTS						
44038	C07AG02	CARVEDILOL	24:24.00	BETA-ADRENERGIC BLOCKING AGENTS						
44097	C01DA02	GLYCERYL TRINITRATE	24:12.08	NITRATES AND NITRITES						
44174	R06AX17	KETOTIFEN	04:92.00	OTHER ANTIHISTAMINES						
47228	N02AA01	MORPHINE	28:08.08	OPIATE AGONISTS						
47256	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.92	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS						
47471	C09AA01	CAPTOPRIL	24:32.04	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS						
47472	C09AA01	CAPTOPRIL	24:32.04	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS						
47473	C09AA01	CAPTOPRIL	24:32.04	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS						
