"Site recode"	"Site Description"	"Histology"	"Histology Description"	"Histology/Behavior"	"Histology/Behavior Description"
"C000-C006,C008-C009"	"LIP"	"800"	"NEOPLASM"	"8000/3"	"Neoplasm, malignant"
"C000-C006,C008-C009"	"LIP"	"800"	"NEOPLASM"	"8001/3"	"Tumor cells, malignant"
"C000-C006,C008-C009"	"LIP"	"800"	"NEOPLASM"	"8002/3"	"Malignant tumor, small cell type"
"C000-C006,C008-C009"	"LIP"	"800"	"NEOPLASM"	"8003/3"	"Malignant tumor, giant cell type"
"C000-C006,C008-C009"	"LIP"	"800"	"NEOPLASM"	"8004/3"	"Malignant tumor, spindle cell type"
"C000-C006,C008-C009"	"LIP"	"800"	"NEOPLASM"	"8005/3"	"Malignant tumor, clear cell type"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8010/2"	"Carcinoma in situ, NOS"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8010/3"	"Carcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8011/3"	"Epithelioma, malignant"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8012/3"	"Large cell carcinoma, NOS"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8013/3"	"Large cell neuroendocrine carcinoma"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8014/3"	"Large cell carcinoma with rhabdoid phenotype"
"C000-C006,C008-C009"	"LIP"	"801"	"CARCINOMA, NOS"	"8015/3"	"Glassy cell carcinoma"
"C000-C006,C008-C009"	"LIP"	"802"	"CARCINOMA, UNDIFF., NOS"	"8020/3"	"Carcinoma, undifferentiated type, NOS"
"C000-C006,C008-C009"	"LIP"	"802"	"CARCINOMA, UNDIFF., NOS"	"8021/3"	"Carcinoma, anaplastic type, NOS"
"C000-C006,C008-C009"	"LIP"	"802"	"CARCINOMA, UNDIFF., NOS"	"8022/3"	"Pleomorphic carcinoma"
"C000-C006,C008-C009"	"LIP"	"803"	"GIANT & SPINDLE CELL CARCINOMA"	"8030/3"	"Giant cell and spindle cell carcinoma"
