"code"	"str"	"relationship_id"	"snomed_id"	"snomed_code"	"snomed_name"	"precedence"
"8150/3"	"Pancreatic endocrine tumor, malignant"	"Maps to"	"4244742"	"60346004"	"Pancreatic endocrine tumor, malignant"	
"9250/1"	"Giant cell tumor of bone, NOS"	"Maps to"	"4239133"	"57500000"	"Giant cell tumor of bone"	
"8020/3"	"Carcinoma, undifferentiated, NOS"	"Maps to"	"4243327"	"38549000"	"Carcinoma, undifferentiated"	
"9680/3"	"Malignant lymphoma, large B-cell, diffuse, NOS"	"Maps to"	"4262918"	"46732000"	"Malignant lymphoma, large B-cell, diffuse"	
"9131/0"	"Capillary hemangioma"	"Maps to"	"4307371"	"83343001"	"Capillary hemangioma"	
"8053/0"	"Squamous cell papilloma, inverted"	"Maps to"	"4234101"	"90121000"	"Squamous cell papilloma, inverted"	
"8742/2"	"Lentigo maligna"	"Maps to"	"4247521"	"61217001"	"Hutchinson's melanotic freckle"	
"8990/0"	"Mesenchymoma, benign"	"Maps to"	"4242559"	"38406003"	"Mesenchymoma, benign"	
"8191/0"	"Embryonal adenoma"	"Maps to"	"4244130"	"59120003"	"Embryonal adenoma"	
"9150/3"	"Hemangiopericytoma, malignant"	"Maps to"	"4225568"	"84664004"	"Hemangiopericytoma, malignant"	
"9380/3"	"Glioma, malignant"	"Maps to"	"4211797"	"416500007"	"Malignant glioma - category"	
"9251/1"	"Giant cell tumor of soft parts, NOS"	"Maps to"	"4218898"	"82125002"	"Giant cell tumor of soft parts"	
"9110/0"	"Mesonephroma, benign"	"Maps to"	"4217973"	"72889001"	"Mesonephroma, benign"	
"9502/3"	"Teratoid medulloepithelioma"	"Maps to"	"4229279"	"88591002"	"Teratoid medulloepithelioma"	
"8314/3"	"Lipid-rich carcinoma"	"Maps to"	"4244518"	"3839000"	"Lipid-rich carcinoma"	
"9274/0"	"Cementifying fibroma"	"Maps to"	"4215730"	"80699009"	"Cementifying fibroma"	
"8810/3"	"Fibrosarcoma, NOS"	"Maps to"	"4202374"	"53654007"	"Fibrosarcoma"	
"8247/3"	"Merkel cell carcinoma"	"Maps to"	"4197286"	"5052009"	"Merkel cell carcinoma"	
"8052/3"	"Papillary squamous cell carcinoma"	"Maps to"	"4191609"	"39056008"	"Papillary squamous cell carcinoma"	
"8263/3"	"Adenocarcinoma in tubulovillous adenoma"	"Maps to"	"4209587"	"5658009"	"Adenocarcinoma in tubulovillous adenoma"	
"8001/0"	"Tumor cells, benign"	"Maps to"	"4211255"	"56696000"	"Tumor cells, benign"	
"9012/0"	"Pericanalicular fibroadenoma"	"Maps to"	"4185295"	"41382006"	"Pericanalicular fibroadenoma"	
"8680/1"	"Paraganglioma, NOS"	"Maps to"	"4196794"	"803009"	"Paraganglioma"	
"8972/3"	"Pulmonary blastoma"	"Maps to"	"4183159"	"43149009"	"Pulmonary blastoma"	
"9311/0"	"Odontoameloblastoma"	"Maps to"	"4176707"	"49043004"	"Odontoameloblastoma"	
"9251/3"	"Malignant giant cell tumor of soft parts"	"Maps to"	"4168150"	"48460009"	"Malignant giant cell tumor of soft parts"	
"9072/3"	"Polyembryoma"	"Maps to"	"4152945"	"28325008"	"Polyembryoma"	
"9541/0"	"Melanotic neurofibroma"	"Maps to"	"4151056"	"28237007"	"Melanotic neurofibroma"	
"8072/3"	"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"	"Maps to"	"4166826"	"45490001"	"Squamous cell carcinoma, large cell, nonkeratinizing"	
"9663/3"	"Hodgkin lymphoma, nodular sclerosis, NOS"	"Maps to"	"4179351"	"52248008"	"Hodgkin lymphoma, nodular sclerosis"	
"9370/3"	"Chordoma, NOS"	"Maps to"	"4178109"	"50007008"	"Chordoma"	
"8900/3"	"Rhabdomyosarcoma, NOS"	"Maps to"	"4149420"	"30924005"	"Rhabdomyosarcoma"	
"9867/3"	"Acute myelomonocytic leukemia"	"Maps to"	"4149110"	"30962008"	"Acute myelomonocytic leukemia"	
"9471/3"	"Desmoplastic nodular medulloblastoma"	"Maps to"	"4137141"	"32456001"	"Desmoplastic medulloblastoma"	
"9100/0"	"Hydatidiform mole, NOS"	"Maps to"	"4170384"	"48430004"	"Hydatidiform mole"	
"8141/3"	"Scirrhous adenocarcinoma"	"Maps to"	"4167165"	"4584002"	"Scirrhous adenocarcinoma"	
"9044/3"	"Clear cell sarcoma, NOS"	"Maps to"	"4054717"	"12622007"	"Clear cell sarcoma"	
"9125/0"	"Epithelioid hemangioma"	"Maps to"	"4144388"	"33929001"	"Epithelioid hemangioma"	
"9091/1"	"Strumal carcinoid"	"Maps to"	"4138080"	"32071008"	"Strumal carcinoid"	
"8380/3"	"Endometrioid adenocarcinoma, NOS"	"Maps to"	"4147383"	"30289006"	"Endometrioid carcinoma"	
"9053/3"	"Mesothelioma, biphasic, malignant"	"Maps to"	"4147198"	"30383009"	"Mesothelioma, biphasic, malignant"	
"8271/0"	"Prolactinoma"	"Maps to"	"4144527"	"34337008"	"Prolactinoma"	
"8450/3"	"Papillary cystadenocarcinoma, NOS"	"Maps to"	"4099473"	"2735009"	"Papillary cystadenocarcinoma"	
"8381/3"	"Endometrioid adenofibroma, malignant"	"Maps to"	"4107952"	"18105004"	"Endometrioid adenofibroma, malignant"	
"9262/0"	"Ossifying fibroma"	"Maps to"	"4103444"	"25603007"	"Ossifying fibroma"	
"9174/0"	"Lymphangiomyoma"	"Maps to"	"4098202"	"25239006"	"Lymphangiomyoma"	
"8050/3"	"Papillary carcinoma, NOS"	"Maps to"	"4093456"	"25910003"	"Papillary carcinoma"	
"9591/3"	"Malignant lymphoma, non-Hodgkin, NOS"	"Maps to"	"4078707"	"1929004"	"Malignant lymphoma, non-Hodgkin"	
"8281/3"	"Mixed acidophil-basophil carcinoma"	"Maps to"	"4051638"	"23444003"	"Mixed acidophil-basophil carcinoma"	
"8463/1"	"Serous surface papillary tumor of borderline malignancy"	"Maps to"	"4030117"	"128694007"	"Serous surface papillary tumor of borderline malignancy"	
"9014/1"	"Serous adenofibroma of borderline malignancy"	"Maps to"	"4029191"	"128885004"	"Serous adenofibroma of borderline malignancy"	
"9161/0"	"Acquired tufted hemangioma"	"Maps to"	"4029196"	"128903007"	"Acquired tufted hemangioma"	
"8670/3"	"Steroid cell tumor, malignant"	"Maps to"	"4029197"	"128907008"	"Steroid cell tumor, malignant"	
"9505/3"	"Ganglioglioma, anaplastic"	"Maps to"	"4029199"	"128912009"	"Ganglioglioma, anaplastic"	
"8272/0"	"Pituitary adenoma, NOS"	"Maps to"	"4028882"	"128664001"	"Pituitary adenoma"	
"8805/3"	"Undifferentiated sarcoma"	"Maps to"	"4029021"	"128734000"	"Undifferentiated sarcoma"	
"9064/2"	"Intratubular malignant germ cells"	"Maps to"	"4030282"	"128902002"	"Intratubular malignant germ cells"	
"8052/2"	"Papillary squamous cell carcinoma, non-invasive"	"Maps to"	"4029979"	"128647004"	"Papillary squamous cell carcinoma, non-invasive"	
"8973/3"	"Pleuropulmonary blastoma"	"Maps to"	"4029650"	"128763002"	"Pleuropulmonary blastoma"	
"8242/3"	"Enterochromaffin-like cell tumor, malignant"	"Maps to"	"4029510"	"128657003"	"Enterochromaffin-like cell tumor, malignant"	
"8316/3"	"Cyst-associated renal cell carcinoma"	"Maps to"	"4029511"	"128666004"	"Cyst-associated renal cell carcinoma"	
"9193/3"	"Periosteal osteosarcoma"	"Maps to"	"4029029"	"128772005"	"Periosteal osteosarcoma"	
"9194/3"	"High grade surface osteosarcoma"	"Maps to"	"4029030"	"128773000"	"High grade surface osteosarcoma"	
"9341/1"	"Clear cell odontogenic tumor"	"Maps to"	"4029032"	"128779001"	"Clear cell odontogenic tumor"	
"9371/3"	"Chondroid chordoma"	"Maps to"	"4029033"	"128784007"	"Chondroid chordoma"	
"9444/1"	"Chordoid glioma"	"Maps to"	"4029036"	"128789002"	"Chordoid glioma"	
"8382/3"	"Endometrioid adenocarcinoma, secretory variant"	"Maps to"	"4029993"	"128680006"	"Endometrioid adenocarcinoma, secretory variant"	
"8453/0"	"Intraductal papillary-mucinous adenoma"	"Maps to"	"4029011"	"128689007"	"Intraductal papillary-mucinous adenoma"	
"9963/3"	"Chronic neutrophilic leukemia"	"Maps to"	"4029665"	"128834007"	"Chronic neutrophilic leukemia"	
"8333/3"	"Fetal adenocarcinoma"	"Maps to"	"4029683"	"128893004"	"Fetal adenocarcinoma"	
"8959/1"	"Cystic partially differentiated nephroblastoma"	"Maps to"	"4029532"	"128758001"	"Cystic partially differentiated nephroblastoma"	
"8966/0"	"Renomedullary interstitial cell tumor"	"Maps to"	"4029533"	"128761000"	"Renomedullary interstitial cell tumor"	
"9740/3"	"Mast cell sarcoma"	"Maps to"	"4028851"	"13583002"	"Mast cell sarcoma"	
"8153/1"	"Gastrinoma, NOS"	"Maps to"	"4037498"	"16189002"	"Gastrinoma"	
"8728/1"	"Meningeal melanocytoma"	"Maps to"	"4028559"	"128730009"	"Meningeal melanocytoma"	
"8965/0"	"Nephrogenic adenofibroma"	"Maps to"	"4028566"	"128760004"	"Nephrogenic adenofibroma"	
"8172/3"	"Hepatocellular carcinoma, scirrhous"	"Maps to"	"4028536"	"128646008"	"Hepatocellular carcinoma, scirrhous"	
"8850/1"	"Atypical lipoma"	"Maps to"	"4021372"	"116063003"	"Atypical lipomatous tumor"	
"8591/1"	"Sex cord-gonadal stromal tumor, incompletely differentiated"	"Maps to"	"4030126"	"128721001"	"Sex cord-gonadal stromal tumor, incompletely differentiated"	
"8728/0"	"Diffuse melanocytosis"	"Maps to"	"4030129"	"128729004"	"Diffuse melanocytosis"	
"8825/0"	"Myofibroblastoma"	"Maps to"	"4030131"	"128738002"	"Myofibroblastoma"	
"8470/1"	"Mucinous cystic tumor with moderate dysplasia"	"maps to "	"4281855"	"67182003"	"Mucinous cystadenoma "	
"9975/1"	"Myeloproliferative disease, NOS"	"maps to "	"4265010"	"397336008"	"Myelodysplastic/myeloproliferative disease "	
"8453/1"	"Intraductal papillary-mucinous tumor with moderate dysplasia"	"maps to "	"4029011"	"128689007"	"Intraductal papillary-mucinous adenoma "	
"8240/1"	"Carcinoid tumor of uncertain malignant potential"	"maps to "	"4304399"	"81622000"	"Carcinoid tumor"	
"9898/3"	"Myeloid leukemia associated with Down Syndrome"	"Is a"	"4029206"	"128934006"	"Myeloid leukemia"	
"8930/3"	"Endometrial stromal sarcoma, NOS"	"Maps to"	"40488359"	"446578007"	"Endometrial stromal sarcoma - category"	
"9967/3"	"Myeloid and lymphoid neoplasms with FGFR1 abnormalities"	"Maps to"	"42872947"	"450942006"	"Myeloid or lymphoid neoplasm with fibroblast growth factor receptor 1 abnormality"	
"8521/3"	"Infiltrating ductular carcinoma"	"Maps to"	"4221403"	"82711006"	"Infiltrating duct carcinoma"	
"9869/3"	"Acute myeloid leukemia with inv(3)(q21;q26.2) or t(13.3)(q21;q26.2); RPN1-EVI1"	"Maps to"	"42872934"	"450929006"	"Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1"	
"8148/0"	"Glandular intraepithelial neoplasia, low grade"	"Maps to"	"42872895"	"450890000"	"Glandular intraepithelial neoplasia, low grade"	
"8552/3"	"Mixed acinar-ductal carcinoma"	"Maps to"	"42872902"	"450897002"	"Mixed acinar-ductal carcinoma"	
"8975/1"	"Calcifying nested epithelial stromal tumor"	"Maps to"	"42872903"	"450898007"	"Calcifying nested epithelial stromal tumor"	
"9395/3"	"Papillary tumor of the pineal region"	"Maps to"	"42872904"	"450899004"	"Papillary tumor of the pineal region"	
"9084/3"	"Teratoma with malignant transformation"	"Maps to"	"4339405"	"88334008"	"Teratoma with malignant transformation"	
"8380/0"	"Endometrioid adenoma, NOS"	"Maps to"	"4322782"	"71106006"	"Endometrioid adenoma"	
"8160/3"	"Cholangiocarcinoma"	"Maps to"	"4321680"	"70179006"	"Cholangiocarcinoma"	
"9420/3"	"Fibrillary astrocytoma"	"Maps to"	"4325285"	"71314006"	"Fibrillary astrocytoma"	
"9873/3"	"Acute myeloid leukemia without maturation"	"Maps to"	"4304356"	"103690005"	"Acute myeloid leukemia without maturation"	
"8010/2"	"Carcinoma in situ, NOS"	"Maps to"	"4286333"	"68956006"	"Carcinoma in situ"	
"8471/3"	"Papillary mucinous cystadenocarcinoma"	"Maps to"	"4287716"	"68880006"	"Papillary mucinous cystadenocarcinoma"	
"8011/3"	"Epithelioma, malignant"	"Maps to"	"4324947"	"71298006"	"Epithelioma, malignant"	
"8930/0"	"Endometrial stromal nodule"	"Maps to"	"4324407"	"70971005"	"Endometrial stromal nodule"	
"8501/2"	"Comedocarcinoma, noninfiltrating"	"Maps to"	"4302294"	"78197004"	"Comedocarcinoma, noninfiltrating"	
"8602/0"	"Sclerosing stromal tumor"	"Maps to"	"4273235"	"64512009"	"Sclerosing stromal tumor"	
"8162/3"	"Klatskin tumor"	"Maps to"	"4275566"	"6492006"	"Klatskin's tumor"	
"9271/0"	"Ameloblastic fibrodentinoma"	"Maps to"	"4275269"	"6437002"	"Ameloblastic fibrodentinoma"	
"8263/0"	"Tubulovillous adenoma, NOS"	"Maps to"	"4267876"	"61722000"	"Tubulovillous adenoma"	
"9504/3"	"Spongioneuroblastoma"	"Maps to"	"4271681"	"64059005"	"Spongioneuroblastoma"	
"9762/3"	"Heavy chain disease, NOS"	"Maps to"	"4270220"	"6381009"	"Heavy chain disease"	
"9030/0"	"Juvenile fibroadenoma"	"Maps to"	"4262386"	"46212000"	"Juvenile fibroadenoma"	
"9150/1"	"Hemangiopericytoma, NOS"	"Maps to"	"4263234"	"36060005"	"Hemangiopericytoma"	
"8076/2"	"Squamous cell carcinoma in situ with questionable stromal invasion"	"Maps to"	"4237133"	"5688000"	"Squamous cell carcinoma in situ with questionable stromal invasion"	
"8811/3"	"Fibromyxosarcoma"	"Maps to"	"4269785"	"6250003"	"Fibromyxosarcoma"	
"8140/6"	"Adenocarcinoma, metastatic, NOS"	"Maps to"	"4263459"	"4590003"	"Adenocarcinoma, metastatic"	
"9300/0"	"Adenomatoid odontogenic tumor"	"Maps to"	"4244885"	"60599006"	"Adenomatoid odontogenic tumor"	
"9063/3"	"Spermatocytic seminoma"	"Maps to"	"4244815"	"9294008"	"Spermatocytic seminoma"	
"8142/3"	"Linitis plastica"	"Maps to"	"4243612"	"37995004"	"Linitis plastica"	
"8620/1"	"Granulosa cell tumor, adult type"	"Maps to"	"4262799"	"46585005"	"Granulosa cell tumor"	
"8123/3"	"Basaloid carcinoma"	"Maps to"	"4242267"	"5843004"	"Basaloid carcinoma"	
"9100/3"	"Choriocarcinoma, NOS"	"Maps to"	"4260393"	"44769000"	"Choriocarcinoma"	
