CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_ID_2	CONCEPT_NAME_2	INVALID_REASON_2	PRECEDENCE	CONVERSION_FACTOR
BLOCK/INFILTRATION KIT	Dose Form	19082103	Injectable Solution		1	
BLOCK/INFILTRATION LIQUID	Dose Form	19082103	Injectable Solution		1	
BLOCK/INFILTRATION SOLUTION	Dose Form	19082103	Injectable Solution		1	
"BUCCAL FILM, SOLUBLE"	Dose Form	40164192	Buccal Film		1	
BUCCAL GEL	Dose Form	19095916	Oral Gel		1	
BUCCAL LIQUID	Dose Form	19082170	Oral Solution		1	
BUCCAL LIQUID	Dose Form	19082191	Oral Suspension		2	
BUCCAL LOZENGE	Dose Form	19082253	Oral Lozenge		2	
BUCCAL LOZENGE	Dose Form	19082573	Oral Tablet		3	
BUCCAL LOZENGE	Dose Form	40175589	Buccal Tablet		1	
BUCCAL MOUTHWASH/GARGLE	Dose Form	19126590	Mouthwash		1	
BUCCAL SOLUTION	Dose Form	19082170	Oral Solution		1	
BUCCAL SOLUTION	Dose Form	19082191	Oral Suspension		2	
BUCCAL SPRAY	Dose Form	19095911	Oral Spray		1	
Buccal Tablet (Effervescent)	Dose Form	40175589	Buccal Tablet		1	
BUCCAL TABLET (EXTENDED-RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		1	
BUCCAL TABLET (EXTENDED-RELEASE)	Dose Form	40175589	Buccal Tablet		2	
BUCCAL TOOTHPASTE	Dose Form	19009068	Toothpaste		1	
DENTAL AEROSOL	Dose Form	19095911	Oral Spray		1	
DENTAL CORD	Dose Form	19126316	Oral Strip		1	
DENTAL FLOSS	Dose Form	19126316	Oral Strip		1	
DENTAL GEL	Dose Form	19095916	Oral Gel		1	
DENTAL GUM	Dose Form	19102296	Chewing Gum		1	
Dental Kit	Dose Form	19126590	Mouthwash		1	
DENTAL LIQUID	Dose Form	19082170	Oral Solution		1	
DENTAL LIQUID	Dose Form	19082191	Oral Suspension		2	
DENTAL LOTION	Dose Form	19082170	Oral Solution		2	
DENTAL LOTION	Dose Form	19082191	Oral Suspension		1	
DENTAL METERED-DOSE AEROSOL	Dose Form	19126918	Metered Dose Inhaler		2	
DENTAL METERED-DOSE AEROSOL	Dose Form	19095911	Oral Spray		1	
DENTAL MISCELLANEOUS	Dose Form	19124968	Drug Implant		1	
DENTAL MOUTHWASH/GARGLE	Dose Form	19126590	Mouthwash		1	
DENTAL PAD	Dose Form	19130307	Medicated Pad		1	
DENTAL PASTE	Dose Form	19082169	Oral Cream		2	
DENTAL PASTE	Dose Form	19095918	Oral Paste		1	
DENTAL PELLET (DENTAL)	Dose Form	19082573	Oral Tablet		2	
DENTAL PELLET (DENTAL)	Dose Form	19082652	Oral Pellet		1	
DENTAL POWDER	Dose Form	19095976	Oral Powder		1	
Dental Powder For Solution	Dose Form	19095976	Oral Powder		1	
DENTAL SOLUTION	Dose Form	19082170	Oral Solution		1	
DENTAL SUSPENSION	Dose Form	19082191	Oral Suspension		1	
DENTAL SWAB	Dose Form	19130307	Medicated Pad		1	
DENTAL SYRUP	Dose Form	19082170	Oral Solution		1	
DENTAL SYRUP	Dose Form	19082191	Oral Suspension		2	
DENTAL TABLET	Dose Form	19082573	Oral Tablet		1	
DENTAL TOOTHPASTE	Dose Form	19009068	Toothpaste		1	
Epidural Kit	Dose Form	19082103	Injectable Solution		1	
EPIDURAL LIQUID	Dose Form	19082103	Injectable Solution		1	
EPIDURAL LIQUID	Dose Form	19082104	Injectable Suspension		2	
EPIDURAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
EPIDURAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
EXTRACORPOREAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
EXTRACORPOREAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
IMPLANT IMPLANT	Dose Form	19124968	Drug Implant		1	
Infiltration Solution	Dose Form	19082103	Injectable Solution		1	
INHALATION AEROSOL	Dose Form	19082258	Gas for Inhalation		1	
"INHALATION AEROSOL, METERED DOSE"	Dose Form	19126918	Metered Dose Inhaler		1	
INHALATION CAPSULE	Dose Form	19126918	Metered Dose Inhaler		1	
INHALATION GAS	Dose Form	19082258	Gas for Inhalation		1	
INHALATION LIQUID	Dose Form	19095898	Inhalant Solution		1	
INHALATION METERED-DOSE AEROSOL	Dose Form	19126918	Metered Dose Inhaler		1	
INHALATION OINTMENT	Dose Form	19126918	Metered Dose Inhaler		1	
INHALATION PAD	Dose Form	19126918	Metered Dose Inhaler		1	
INHALATION POWDER	Dose Form	19127579	Dry Powder Inhaler		2	
INHALATION POWDER	Dose Form	19082259	Inhalant Powder		1	
INHALATION POWDER (METERED DOSE)	Dose Form	19127579	Dry Powder Inhaler		2	
INHALATION POWDER (METERED DOSE)	Dose Form	19082259	Inhalant Powder		1	
INHALATION POWDER FOR SOLUTION	Dose Form	19127579	Dry Powder Inhaler		2	
INHALATION POWDER FOR SOLUTION	Dose Form	19082259	Inhalant Powder		1	
INHALATION SOLUTION	Dose Form	19095898	Inhalant Solution		1	
INHALATION SPRAY	Dose Form	19126918	Metered Dose Inhaler		1	
INHALATION SUSPENSION	Dose Form	19095898	Inhalant Solution		1	
Inhalation Tincture	Dose Form	19095898	Inhalant Solution		1	
INSTILLATION POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INSTILLATION POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INSTILLATION SOLUTION	Dose Form	19082103	Injectable Solution		1	
INSTILLATION SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRA-AMNIOTIC KIT	Dose Form	19082103	Injectable Solution		1	
INTRA-AMNIOTIC KIT	Dose Form	19082104	Injectable Suspension		2	
INTRA-AMNIOTIC SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRA-AMNIOTIC SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Intra-Arterial Liquid	Dose Form	19082103	Injectable Solution		1	
Intra-Arterial Liquid	Dose Form	19082104	Injectable Suspension		2	
Intra-Arterial Solution	Dose Form	19082103	Injectable Solution		1	
INTRA-ARTICULAR LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRA-ARTICULAR LIQUID	Dose Form	19082104	Injectable Suspension		2	
Intra-Articular Solution	Dose Form	19082103	Injectable Solution		1	
INTRA-ARTICULAR SUSPENSION	Dose Form	19082103	Injectable Solution		2	
INTRA-ARTICULAR SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
Intrabursal Solution	Dose Form	19082103	Injectable Solution		1	
Intrabursal Suspension	Dose Form	19082104	Injectable Suspension		1	
Intracardiac Liquid	Dose Form	19082103	Injectable Solution		1	
Intracardiac Liquid	Dose Form	19082104	Injectable Suspension		2	
Intracardiac Solution	Dose Form	19082103	Injectable Solution		1	
Intracaudal Liquid	Dose Form	19082104	Injectable Suspension		2	
Intracaudal Liquid	Dose Form	19082103	Injectable Solution		1	
Intracaudal Solution	Dose Form	19082103	Injectable Solution		1	
INTRACAVERNOSAL LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRACAVERNOSAL LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRACAVERNOSAL POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRACAVERNOSAL POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Intracavitary Powder For Solution	Dose Form	19082103	Injectable Solution		1	
INTRACERVICAL GEL	Dose Form	19010880	Vaginal Gel		1	
Intracoronary Powder For Solution	Dose Form	19082103	Injectable Solution		1	
INTRACRANIAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRACRANIAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Intracutaneous Liquid	Dose Form	19082103	Injectable Solution		1	
Intracutaneous Liquid	Dose Form	19082104	Injectable Suspension		2	
Intracutaneous Solution	Dose Form	19082103	Injectable Solution		1	
INTRADERMAL IMPLANT	Dose Form	19124968	Drug Implant		1	
Intradermal Kit	Dose Form	19082103	Injectable Solution		1	
INTRADERMAL LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRADERMAL LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRADERMAL POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRADERMAL POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRADERMAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRADERMAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRADERMAL SUSPENSION	Dose Form	19082103	Injectable Solution		2	
INTRADERMAL SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
INTRADISCAL POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRADISCAL POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAGANGLIONAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAGANGLIONAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Intralesional Kit	Dose Form	19082103	Injectable Solution		1	
Intralesional Liquid	Dose Form	19082103	Injectable Solution		1	
INTRALESIONAL POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRALESIONAL POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRALESIONAL SUSPENSION	Dose Form	19082103	Injectable Solution		2	
INTRALESIONAL SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
INTRALESIONAL WAFER	Dose Form	19124968	Drug Implant		1	
INTRAMUSCULAR EMULSION	Dose Form	19082103	Injectable Solution		2	
INTRAMUSCULAR EMULSION	Dose Form	19082104	Injectable Suspension		1	
Intramuscular Kit	Dose Form	19082103	Injectable Solution		1	
INTRAMUSCULAR LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRAMUSCULAR LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRAMUSCULAR POWDER	Dose Form	19082103	Injectable Solution		1	
INTRAMUSCULAR POWDER	Dose Form	19082104	Injectable Suspension		2	
INTRAMUSCULAR POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRAMUSCULAR POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRAMUSCULAR POWDER FOR SUSPENSION	Dose Form	19082103	Injectable Solution		2	
INTRAMUSCULAR POWDER FOR SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
"INTRAMUSCULAR POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	Dose Form	19082103	Injectable Solution		2	
"INTRAMUSCULAR POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	Dose Form	19082104	Injectable Suspension		1	
INTRAMUSCULAR SOLUTION	Dose Form	19095913	Intramuscular Solution		1	
INTRAMUSCULAR SUSPENSION	Dose Form	19095914	Intramuscular Suspension		1	
INTRAMUSCULAR SUSPENSION	Dose Form	19082104	Injectable Suspension		2	
INTRAMUSCULAR SUSPENSION (EXTENDED-RELEASE)	Dose Form	19082103	Injectable Solution		2	
INTRAMUSCULAR SUSPENSION (EXTENDED-RELEASE)	Dose Form	19082104	Injectable Suspension		1	
Intramuscular Suspension (Ultra-Lente)	Dose Form	19082104	Injectable Suspension		1	
INTRAOCULAR DROPS	Dose Form	19129634	Ophthalmic Solution		1	
INTRAOCULAR DROPS	Dose Form	19082167	Ophthalmic Suspension		2	
INTRAOCULAR IMPLANT	Dose Form	19124968	Drug Implant		1	
INTRAOCULAR LIQUID	Dose Form	19129634	Ophthalmic Solution		1	
INTRAOCULAR LIQUID	Dose Form	19082167	Ophthalmic Suspension		2	
INTRAOCULAR POWDER FOR SOLUTION	Dose Form	19129634	Ophthalmic Solution		1	
INTRAOCULAR POWDER FOR SOLUTION	Dose Form	19082167	Ophthalmic Suspension		2	
INTRAOCULAR SOLUTION	Dose Form	19129634	Ophthalmic Solution		1	
INTRAOCULAR SOLUTION	Dose Form	19082167	Ophthalmic Suspension		2	
INTRAPERITONEAL LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRAPERITONEAL LIQUID	Dose Form	19082104	Injectable Suspension		2	
Intraperitoneal Powder For Solution	Dose Form	19082103	Injectable Solution		1	
INTRAPERITONEAL SOLUTION	Dose Form	19082105	Intraperitoneal Solution		1	
Intrapleural Powder For Solution	Dose Form	19082103	Injectable Solution		1	
INTRASPINAL LIQUID	Dose Form	19082103	Injectable Solution		1	
INTRASPINAL LIQUID	Dose Form	19082104	Injectable Suspension		2	
INTRASPINAL POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRASPINAL POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRASPINAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRASPINAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Intrasynovial Liquid	Dose Form	19082103	Injectable Solution		1	
Intrasynovial Liquid	Dose Form	19082104	Injectable Suspension	Injectable Suspension	2	
Intrasynovial Suspension	Dose Form	19082104	Injectable Suspension		1	
Intrasynovial Suspension	Dose Form	19082103	Injectable Solution		2	
Intrathecal Liquid	Dose Form	19082103	Injectable Solution		1	
Intrathecal Liquid	Dose Form	19082104	Injectable Suspension		2	
Intrathecal Powder For Solution	Dose Form	19082103	Injectable Solution		1	
Intrathecal Powder For Solution	Dose Form	19082104	Injectable Suspension		2	
INTRATHECAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
INTRATHECAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
INTRATHECAL SUSPENSION	Dose Form	19082260	Intrathecal Suspension		1	
