CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_ID_2	CONCEPT_NAME_2	PRECEDENCE	CONVERSION_FACTOR
AGALSIDASE ALFA	Ingredient	1525746		1	
ALBUMEN	Ingredient	1344143	Albumin Human, USP	1	
CHROMIUM HVP CHELATE	Ingredient	19096766	CHROMIUM, CHELATED	1	
GENTAMICIN SULFATE	Ingredient	919345	Gentamicin Sulfate (USP)	1	
IBANDRONATE SODIUM	Ingredient	1512480	Ibandronate	1	
INSULIN	Ingredient	35605670	insulin argine	1	
INSULIN	Ingredient	35602717	insulin degludec	2	
INSULIN	Ingredient	1516976	insulin detemir	3	
INSULIN	Ingredient	1502905	Insulin Glargine	4	
INSULIN	Ingredient	1588986	insulin human, rDNA origin	5	
INSULIN	Ingredient	1550023	Insulin Lispro	6	
INSULIN	Ingredient	1531601	Insulin, Aspart Protamine, Human	7	
INSULIN	Ingredient	1567198	Insulin, Aspart, Human	8	
INSULIN	Ingredient	1544838	Insulin, Glulisine, Human	9	
INSULIN	Ingredient	46221581	insulin, isophane	10	
INSULIN	Ingredient	42899447	Insulin, Pork	11	
INSULIN	Ingredient	19090244	Insulin, Prompt Zinc, Beef	12	
INSULIN	Ingredient	19090229	Insulin, Prompt Zinc, Beef-Pork	13	
INSULIN	Ingredient	19090247	Insulin, Prompt Zinc, Human	14	
INSULIN	Ingredient	19090249	Insulin, Prompt Zinc, Pork	15	
INSULIN	Ingredient	1513876	Insulin, Protamine Lispro, Human	16	
INSULIN	Ingredient	19090180	insulin, protamine zinc, beef	17	
INSULIN	Ingredient	19013926	Insulin, Protamine Zinc, Beef-Pork	18	
INSULIN	Ingredient	19091621	Insulin, Protamine Zinc, Human	19	
INSULIN	Ingredient	19090187	Insulin, Protamine Zinc, Pork	20	
INSULIN	Ingredient	19013951	Insulin, Regular, Beef	21	
INSULIN	Ingredient	1590165	insulin, regular, beef-pork	22	
INSULIN	Ingredient	1586346	Insulin, Regular, Pork	23	
INSULIN	Ingredient	1513849	Insulin, Zinc, Human	24	
INSULIN	Ingredient	1562586	Insulin, Zinc, Pork	25	
MANGANESE AMINO ACID CHELATE	Ingredient	1394027	Manganese	1	
MANGANESE HVP CHELATE	Ingredient	1394027	Manganese	1	
MANGANESE PROTEINATE	Ingredient	1394027	Manganese	1	
MODIFIED RAGWEED TYROSINE ADSORBATE	Ingredient	40162208	sandbur ragweed pollen extract	3	
MODIFIED RAGWEED TYROSINE ADSORBATE	Ingredient	40171301	short ragweed pollen extract	2	
MODIFIED RAGWEED TYROSINE ADSORBATE	Ingredient	40162247	silver ragweed pollen extract	1	
NEISSERIA MENINGITIDIS OUTER MEMBRANE PROTEIN COMPLEX	Ingredient	528271	Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine	1	
NEISSERIA MENINGITIDIS OUTER MEMBRANE PROTEIN COMPLEX	Ingredient	528295	Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine	2	
NEISSERIA MENINGITIDIS OUTER MEMBRANE PROTEIN COMPLEX	Ingredient	528297	Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine	3	
NEISSERIA MENINGITIDIS OUTER MEMBRANE PROTEIN COMPLEX	Ingredient	528301	Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine	4	
OLD TUBERCULIN (TUBERCULIN TINE TEST)	Ingredient	19010871	Tuberculin	1	
PNEUMOCOCCAL POLYSACCHARID SEROT. 19F CONJUG. TO DIPHTHERIA TOXOID CARRIER PROT.	Ingredient	40163684	pneumococcal capsular polysaccharide type 19F vaccine	2	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163661	pneumococcal capsular polysaccharide type 1 vaccine	1	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163668	pneumococcal capsular polysaccharide type 10A vaccine	2	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163670	pneumococcal capsular polysaccharide type 11A vaccine	3	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163672	pneumococcal capsular polysaccharide type 12F vaccine	4	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163674	pneumococcal capsular polysaccharide type 14 vaccine	5	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163676	pneumococcal capsular polysaccharide type 15B vaccine	6	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163678	pneumococcal capsular polysaccharide type 17F vaccine	7	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163680	pneumococcal capsular polysaccharide type 18C vaccine	8	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163682	pneumococcal capsular polysaccharide type 19A vaccine	9	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163684	pneumococcal capsular polysaccharide type 19F vaccine	10	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163686	pneumococcal capsular polysaccharide type 2 vaccine	11	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163688	pneumococcal capsular polysaccharide type 20 vaccine	12	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163690	pneumococcal capsular polysaccharide type 22F vaccine	13	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163692	pneumococcal capsular polysaccharide type 23F vaccine	14	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163694	pneumococcal capsular polysaccharide type 3 vaccine	15	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163696	pneumococcal capsular polysaccharide type 33F vaccine	16	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163698	pneumococcal capsular polysaccharide type 4 vaccine	17	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163700	pneumococcal capsular polysaccharide type 5 vaccine	18	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163702	pneumococcal capsular polysaccharide type 6B vaccine	19	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163704	pneumococcal capsular polysaccharide type 7F vaccine	20	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163706	pneumococcal capsular polysaccharide type 8 vaccine	21	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163708	pneumococcal capsular polysaccharide type 9N vaccine	22	
PNEUMOCOCCAL VACCINE POLYVALENT	Ingredient	40163710	pneumococcal capsular polysaccharide type 9V vaccine	23	
POISON OAK	Ingredient	19071809	TOXICODENDRON Preparation	1	
POLIOMYELITIS VACCINE (INACTIVATED)	Ingredient	523283	poliovirus vaccine inactivated, type 1 (Mahoney)	1	
POLIOMYELITIS VACCINE (INACTIVATED)	Ingredient	523365	poliovirus vaccine inactivated, type 2 (MEF-1)	2	
POLIOMYELITIS VACCINE (INACTIVATED)	Ingredient	523367	poliovirus vaccine inactivated, type 3 (Saukett)	3	
POLLEN-ENGLISH PLANTAIN	Ingredient	40160939	English plantain pollen extract	1	
RAGWEED YELLOW	Ingredient	40161680	canyon ragweed pollen extract	1	
RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN	Ingredient	529076	L1 protein, Human papillomavirus type 11 Vaccine	1	
ROSE HIPS	Ingredient	19067085	Evening primrose extract	1	
ROTAVIRUS VACCINE	Ingredient	597056	ROTAVIRUS VACCINE, LIVE	1	
SELENIUM HVP AMINO ACID CHELATE	Ingredient	966282	Selenium	1	
SELENIUM HVP CHELATE	Ingredient	966282	Selenium	1	
STANDARDIZED BERMUDA GRASS POLLEN	Ingredient	40161082	Bermuda grass pollen extract	1	
STANDARDIZED SHORT RAGWEED POLLEN ALLERGENIC EXTRACT	Ingredient	40171301	short ragweed pollen extract	1	
STORAX	Ingredient	43526245	LIQUIDAMBAR ORIENTALIS RESIN	1	
(MORPHOLINOTHIO)BENZOTHIAZOLE	Ingredient	43012391	N-oxydiethylene-2-benzothiazole sulfenamide	1	
A/NEW CALEDONIA/20/99(H1N1)-LIKE STRAIN	Ingredient	46275993	influenza A virus (H1N1) antigen	1	
A/PANAMA/2007/99 (H3N2) -LIKE STRAIN	Ingredient	46275993	influenza A virus (H1N1) antigen	1	
ABACAVIR SULFATE	Ingredient	1736971	abacavir	1	
ABATACEPT	Ingredient	1186087	abatacept	1	
ABCIXIMAB	Ingredient	19047423	abciximab	1	
ABIES NIGRA	Ingredient	43126014	Abies Nigra for homeopathic preparations	1	
Abiraterone acetate	Ingredient	40239056	abiraterone	1	
AbobotulinumtoxinA	Ingredient	729855	Botulinum Toxin Type A	1	
ABSINTHIUM	Ingredient	43533029	Artemisia absinthium extract	1	
ACACIA	Ingredient	40169251	Acacia baileyana pollen extract	7	
ACACIA	Ingredient	40160955	Acacia pollen extract	1	
ACACIA	Ingredient	43013270	Acacia angustissima bark extract	8	
ACACIA	Ingredient	44785547	Acacia dealbata flower extract	6	
ACACIA	Ingredient	40170299	Acacia longifolia pollen extract	4	
ACACIA	Ingredient	44784661	Acacia senegal flower extract	2	
ACACIA	Ingredient	46233723	Acacia catechu whole extract	5	
ACACIA	Ingredient	35606015	acacia decurrens whole extract	3	
ACALYPHA INDICA	Ingredient	44506787	Acalypha indica extract	1	
ACAMPROSATE CALCIUM	Ingredient	19043959	acamprosate	1	
ACARBOSE	Ingredient	1529331	Acarbose	1	
ACEBUTOLOL HYDROCHLORIDE	Ingredient	1319998	Acebutolol	1	
ACELLULAR PERTUSSIS VACCINE	Ingredient	19033193	Pertussis Vaccine	1	
ACENOCOUMAROL	Ingredient	19024063	Acenocoumarol	1	
ACETALDEHYDE	Ingredient	42898262	Acetaldehyde	1	
ACETAMINOPHEN	Ingredient	1125315	Acetaminophen	1	
ACETANILIDE	Ingredient	19029248	acetanilide	1	
ACETARSOL	Ingredient	21014106	Acetarsol	1	
ACETAZOLAMIDE	Ingredient	929435	Acetazolamide	1	
ACETAZOLAMIDE SODIUM	Ingredient	929435	Acetazolamide	1	
ACETIC ACID	Ingredient	929549	Acetic Acid	1	
ACETOHEXAMIDE	Ingredient	1530014	Acetohexamide	1	
ACETONE	Ingredient	19032614	Acetone	1	
ACETYLCHOLINE CHLORIDE	Ingredient	19037624	Acetylcholine	1	
ACETYLCYSTEINE	Ingredient	1139042	Acetylcysteine	1	
ACETYLENE	Ingredient	19040233	Acetylene	1	
ACETYL-L-TYROSINE	Ingredient	19006692	Tyrosine	1	
ACETYL-L-TYROSINE	Ingredient	19011456	N-acetyltyrosine	2	
ACETYLSALICYLIC ACID	Ingredient	1112807	Aspirin	1	
ACHILLEA MILLEFOLIUM L.	Ingredient	43525846	Achillea millefolium extract	1	
ACHYRANTHES BIDENTATA	Ingredient	42898397	Achyranthes bidentata root extract	1	
ACITRETIN	Ingredient	929638	Acitretin	1	
Aclidinium bromide	Ingredient	42873639	aclidinium	1	
ACONITE	Ingredient	19058354	Aconite	1	
ACONITINUM	Ingredient	44507446	Aconitine	1	
ACONITUM FEROX	Ingredient	42904093	Aconitum ferox root extract	1	
ACONITUM LYCOCTONUM	Ingredient	44506788	Aconitum lycoctonum extract	1	
ACONITUM RADIX	Ingredient	42904012	Aconitum napellus root extract	1	
ACONITUM RADIX	Ingredient	43012479	Aconitum kusnezoffi root extract	2	
ACTAEA SPICATA	Ingredient	42898408	Actaea spicata root extract	1	
ACTH	Ingredient	19011988	ADRENOCORTICOTROPIN (ACTH 1-18),I-125 (TYR)	1	
ACYCLOVIR	Ingredient	1703687	Acyclovir	1	
ACYCLOVIR SODIUM	Ingredient	1703687	Acyclovir	1	
ADALIMUMAB	Ingredient	1119119	adalimumab	1	
ADAPALENE	Ingredient	981774	adapalene	1	
ADEFOVIR DIPIVOXIL	Ingredient	1729323	adefovir	1	
ADENINE	Ingredient	19071966	Adenine	1	
ADENOPHORA	Ingredient	42898413	Adenophora stricta root extract	1	
ADENOSINE	Ingredient	1309204	Adenosine	1	
ADENOVIRUS VACCINE LIVE ORAL TYPE-4	Ingredient	40237613	Adenovirus Type 4 Vaccine Live	1	
ADENOVIRUS VACCINE LIVE ORAL TYPE-7	Ingredient	40237617	Adenovirus Type 7 Vaccine Live	1	
ADONIS VERNALIS	Ingredient	42904062	Adonis vernalis extract	1	
ADRENAL CORTICAL EXTRACT	Ingredient	19061053	Adrenal cortex extract	1	
AESCULUS CARNEA, FLOS	Ingredient	42898417	Aesculus carnea flower extract	1	
AESCULUS GLABRA	Ingredient	42904207	Aesculus glabra nut extract	1	
AESCULUS HIPPOCASTANUM	Ingredient	42898418	Aesculus hippocastanum bark extract	1	
AESCULUS HIPPOCASTANUM	Ingredient	42898419	Aesculus hippocastanum flower extract	2	
AESCULUS HIPPOCASTANUM	Ingredient	42898420	Aesculus hippocastanum leaf extract	3	
AESCULUS HIPPOCASTANUM	Ingredient	44818465	AESCULUS HIPPOCASTANUM SEED OIL	4	
AESCULUS HIPPOCASTANUM FLOS	Ingredient	42898418	Aesculus hippocastanum bark extract	1	
AESCULUS HIPPOCASTANUM FLOS	Ingredient	42898419	Aesculus hippocastanum flower extract	2	
AESCULUS HIPPOCASTANUM FLOS	Ingredient	42898420	Aesculus hippocastanum leaf extract	3	
AETHUSA CYNAPIUM	Ingredient	42904102	Aethusa cynapium extract	1	
Afatinib Dimaleate	Ingredient	43533090	Afatinib	1	
Aflibercept	Ingredient	40244266	aflibercept	1	
AGALSIDASE BETA	Ingredient	1525746	agalsidase beta	1	
AGAR	Ingredient	19043649	Agar	1	
AGARICUS	Ingredient	44506790	Agaricus campestris var. campestris whole extract	2	
AGARICUS	Ingredient	46275662	Agaricus subrufescens extract	4	
AGARICUS CAMPESTRIS	Ingredient	44506790	Agaricus campestris var. campestris whole extract	1	
AGAVE AMERICANA	Ingredient	42898424	Agave americana leaf extract	1	
AGNUS CASTUS ERROR REFER 746970	Ingredient	44506796	Vitex agnus-castus whole extract	1	
AGRIMONY	Ingredient	42898426	Agrimonia eupatoria flower extract	2	
AGRIMONY	Ingredient	42898427	Agrimonia eupatoria flowering top extract	3	
AGRIMONY	Ingredient	42903895	Agrimonia eupatoria extract	1	
AGRIMONY	Ingredient	45775958	Agrimonia pilosa whole extract	4	
AGROSTEMMA GITHAGO	Ingredient	43533003	Agrostemma githago seed extract	1	
AIR	Ingredient	19103572	Air	1	
ALANINE	Ingredient	19052489	Alanine	1	
ALATROFLOXACIN MESYLATE	Ingredient	19018154	alatrofloxacin	1	
ALBUMIN	Ingredient	1344143	Albumin Human, USP	1	
ALBUMIN (HUMAN)	Ingredient	1344143	Albumin Human, USP	1	
ALCLOXA	Ingredient	42898435	Alcloxa	1	
ALCOHOL ANHYDROUS	Ingredient	955372	Ethanol	1	
ALCOHOL DENATURED	Ingredient	955372	Ethanol	1	
ALDER	Ingredient	40162097	tag alder pollen extract	3	
ALDER	Ingredient	40161906	red alder pollen extract	2	
ALDER	Ingredient	40162116	white alder pollen extract	4	
ALDER	Ingredient	44784706	Black alder pollen extract	1	
ALDER BUCKTHORN	Ingredient	42898996	Frangula alnus bark extract	1	
ALDESLEUKIN	Ingredient	1309770	Aldesleukin	1	
ALDIOXA	Ingredient	19054915	aldioxa	1	
ALEFACEPT	Ingredient	909959	alefacept	1	
ALEMTUZUMAB	Ingredient	1312706	alemtuzumab	1	
ALENDRONATE SODIUM	Ingredient	1557272	Alendronate	1	
ALENDRONATE SODIUM TRIHYDRATE	Ingredient	1557272	Alendronate	1	
ALETRIS FARINOSA	Ingredient	42898439	Aletris farinosa root extract	1	
ALFACALCIDOL	Ingredient	19014202	Alfacalcidol	1	
ALFALFA	Ingredient	40161553	alfalfa pollen extract	2	
ALFALFA	Ingredient	1307247	Alfalfa preparation	1	
ALFALFA	Ingredient	1316327	ALFALFA OIL	3	
ALFENTANIL HYDROCHLORIDE	Ingredient	19059528	Alfentanil	1	
ALFUZOSIN HYDROCHLORIDE	Ingredient	930021	alfuzosin	1	
ALGINIC ACID	Ingredient	19030059	alginic acid	1	
ALGLUCOSIDASE ALFA	Ingredient	19088328	alglucosidase alfa	1	
ALISKIREN FUMARATE	Ingredient	1317967	aliskiren	1	
ALISMA PLANTAGO	Ingredient	43532995	Alisma plantago-aquatica top extract	2	
ALISMA PLANTAGO	Ingredient	43525880	Alisma plantago-aquatica subsp. orientale root extract	1	
ALISMA PLANTAGO	Ingredient	45776741	Alisma plantago-aquatica whole extract	3	
ALITRETINOIN	Ingredient	941052	alitretinoin	1	
ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE	Ingredient	916460	Benzalkonium	1	
ALLANTOIN	Ingredient	966376	Allantoin	1	
ALLOPURINOL	Ingredient	1167322	Allopurinol	1	
ALMOND	Ingredient	42899955	Prunus dulcis bark extract	1	
ALMOTRIPTAN MALATE	Ingredient	1103552	almotriptan	1	
ALNUS GLUTINOSA	Ingredient	44507463	Alnus glutinosa bark extract	1	
ALOE	Ingredient	960900	Aloe Extract	1	
ALOE VERA	Ingredient	1315376	Aloe vera preparation	1	
Alogliptin benzoate	Ingredient	43013884	alogliptin	1	
ALOIN	Ingredient	19030125	alloin	1	
ALPHA 1-PROTEINASE INHIBITOR (HUMAN)	Ingredient	1169352	alpha 1-Antitrypsin	1	
ALPHA LINOLEIC ACID	Ingredient	19011795	linoleate	1	
ALPHA TOCOPHEROL	Ingredient	19056802	alpha Tocopherol	1	
ALPHA-GALACTOSIDASE	Ingredient	998598	ALPHA-D-GALACTOSIDASE ENZYME	1	
ALPHA-LINOLENIC ACID	Ingredient	19011795	linoleate	1	
ALPRAZOLAM	Ingredient	781039	Alprazolam	1	
ALPROSTADIL	Ingredient	1381504	Alprostadil	1	
ALSTONIA CONSTRICTA	Ingredient	44507447	Alstonia constricta bark extract	1	
ALSTONIA SCHOLARIS	Ingredient	35602815	Alstonia scholaris bark extract	1	
ALTEPLASE	Ingredient	1347450	alteplase	1	
ALTHAEA OFFICINALIS	Ingredient	42898411	Althaea Officinalis Root Extract	3	
ALTHAEA OFFICINALIS	Ingredient	43533001	Althaea officinalis whole extract	4	
ALTHAEA OFFICINALIS	Ingredient	42898264	ALTHAEA OFFICINALIS LEAF EXTRACT	2	
ALTHAEA OFFICINALIS	Ingredient	43560012	Althaea officinalis flower extract	1	
ALTRETAMINE	Ingredient	1368823	Altretamine	1	
ALUMINUM	Ingredient	42898412	Aluminum	1	
ALUMINUM ACETATE	Ingredient	930604	aluminum acetate	1	
ALUMINUM CHLORIDE	Ingredient	957393	aluminum chloride	1	
ALUMINUM CHLOROHYDRATE	Ingredient	19030673	aluminum chlorhydrate	1	
