CONCEPT_NAME_1	CONCEPT_NAME_2	AMOUNT	BOX_SIZE
ANA-KIT	EPINEPHRINE HYDROCHLORIDE SOLUTION[ANA-KIT] ANA-KIT		
ANA-KIT	CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANA-KIT		
ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	EPINEPHRINE SOLUTION[ANA-KIT] ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	1	
ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	4	
ANAKIT INSECT STING TREATMENT KIT	EPINEPHRINE POWDER FOR SOLUTION[ANA-KIT] ANAKIT INSECT STING TREATMENT KIT	1	
ANAKIT INSECT STING TREATMENT KIT	CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANAKIT INSECT STING TREATMENT KIT	4	
BOTULISM ANTITOXIN TRIVALENT TYPES A B E	BOTULINUM ANTITOXIN 7500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	1	
BOTULISM ANTITOXIN TRIVALENT TYPES A B E	BOTULINUM ANTITOXIN 5500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	1	
BOTULISM ANTITOXIN TRIVALENT TYPES A B E	BOTULINUM ANTITOXIN 8500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	1	
CANESORAL COMBI-PAK	CLOTRIMAZOLE CREAM[CANESORAL COMBI-PAK] CANESORAL COMBI-PAK	1	
CANESORAL COMBI-PAK	FLUCONAZOLE CAPSULE[CANESORAL COMBI-PAK] CANESORAL COMBI-PAK	1	
CANESTEN 1 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE SUPPOSITORY[CANESTEN 1 COMBI-PAK] CANESTEN 1 VAGINAL TABLET COMBI-PAK	1	
CANESTEN 1 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE CREAM[CANESTEN 1 COMBI-PAK] CANESTEN 1 VAGINAL TABLET COMBI-PAK	1	
CANESTEN 3 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE SUPPOSITORY[CANESTEN 3 COMBI-PAK] CANESTEN 3 VAGINAL TABLET COMBI-PAK	3	
CANESTEN 3 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE CREAM[CANESTEN 3 COMBI-PAK] CANESTEN 3 VAGINAL TABLET COMBI-PAK	1	
CANESTEN 6 INSERT COMBI-PAK	CLOTRIMAZOLE SUPPOSITORY [CANESTEN 6 INSERT COMBI-PAK] CANESTEN 6 INSERT COMBI-PAK	6	
CANESTEN 6 INSERT COMBI-PAK	CLOTRIMAZOLE CREAM [CANESTEN 6 INSERT COMBI-PAK] CANESTEN 6 INSERT COMBI-PAK	1	
