CONCEPT_NAME_1	CONCEPT_NAME_2
BOCEPREVIR CAPSULE[VICTRELIS TRIPLE] VICTRELIS TRIPLE	ORAL CAPSULE
BOTULINUM ANTITOXIN 5500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	INJECTABLE SOLUTION
BOTULINUM ANTITOXIN 7500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	INJECTABLE SOLUTION
BOTULINUM ANTITOXIN 8500UNIT BOTULISM ANTITOXIN TRIVALENT TYPES A B E	INJECTABLE SOLUTION
CHLORPHENIRAMINE MALEATE 12MG ORAL TABLET CHLOR-TRIPOLON DAY AND NIGHT	ORAL TABLET
CHLORPHENIRAMINE MALEATE 4MG ORAL TABLET CHLOR-TRIPOLON DAY AND NIGHT	ORAL TABLET
CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANA-KIT	ORAL TABLET
CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	ORAL TABLET
CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANAKIT INSECT STING TREATMENT KIT	ORAL TABLET
CLOTRIMAZOLE 1% TOPICAL CREAM CANESTEN COMBI-PAK CREAM 1	TOPICAL CREAM
CLOTRIMAZOLE 1% VAGINAL CREAM CANESTEN COMBI-PAK CREAM 1	VAGINAL CREAM
CLOTRIMAZOLE CREAM [CANESTEN 6 INSERT COMBI-PAK] CANESTEN 6 INSERT COMBI-PAK	VAGINAL CREAM
CLOTRIMAZOLE CREAM[CANESORAL COMBI-PAK] CANESORAL COMBI-PAK	VAGINAL CREAM
CLOTRIMAZOLE CREAM[CANESTEN 1 COMBI-PAK] CANESTEN 1 VAGINAL TABLET COMBI-PAK	VAGINAL CREAM
CLOTRIMAZOLE CREAM[CANESTEN 3 COMBI-PAK] CANESTEN 3 VAGINAL TABLET COMBI-PAK	VAGINAL CREAM
CLOTRIMAZOLE CREAM[CANESTEN COMBI-PAK] CANESTEN COMBI-PAK 1 DAY THERAPY	VAGINAL CREAM
CLOTRIMAZOLE CREAM[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 1	VAGINAL CREAM
CLOTRIMAZOLE CREAM[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 3	VAGINAL CREAM
CLOTRIMAZOLE SUPPOSITORY [CANESTEN 6 INSERT COMBI-PAK] CANESTEN 6 INSERT COMBI-PAK	VAGINAL SUPPOSITORY
CLOTRIMAZOLE SUPPOSITORY[CANESTEN 1 COMBI-PAK] CANESTEN 1 VAGINAL TABLET COMBI-PAK	VAGINAL SUPPOSITORY
CLOTRIMAZOLE SUPPOSITORY[CANESTEN 3 COMBI-PAK] CANESTEN 3 VAGINAL TABLET COMBI-PAK	VAGINAL SUPPOSITORY
CLOTRIMAZOLE SUPPOSITORY[CANESTEN COMBI-PAK] CANESTEN COMBI-PAK 1 DAY THERAPY	VAGINAL SUPPOSITORY
CLOTRIMAZOLE VAGINAL TABLET[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 1	VAGINAL TABLET
CLOTRIMAZOLE VAGINAL TABLET[CANESTEN COMFORTAB] CANESTEN COMBI-PAK COMFORTAB 3	VAGINAL TABLET
EPINEPHRINE HYDROCHLORIDE SOLUTION[ANA-KIT] ANA-KIT	INTRAMUSCULAR LIQUID
EPINEPHRINE POWDER FOR SOLUTION[ANA-KIT] ANAKIT INSECT STING TREATMENT KIT	PARENTERAL (UNSPECIFIED) LIQUID
EPINEPHRINE SOLUTION[ANA-KIT] ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	INTRAMUSCULAR LIQUID
