CONCEPT_NAME	CONCEPT_CODE_1	VOCABULARY_ID_1	CONCEPT_ID_2	PRECEDENCE	CONVERSION_FACTOR
%	%	DPD	8554	1	1
(20 Mmol/L) Potassium Chloride In 3.3% Dextrose And 0.3% Sodium Chloride Injection Usp [Drug]	438014	DPD	21601162	1	
(20 Mmol/L) Potassium Chloride In 5% Dextrose And 0.9% Sodium Chloride Injection Usp [Drug]	786292	DPD	21601162	1	
(20 Mmol/L) Potassium Chloride In 5% Dextrose Injection Usp [Drug]	438049	DPD	21601162	1	
(20mmol/L) Potassium Chloride In 0.9% Sodium Chloride Injection Usp [Drug]	786209	DPD	21601161	1	
(20mmol/L) Potassium Chloride In 5% Dextrose And 0.2% Sodium Chloride Injection Usp [Drug]	503142	DPD	21601162	1	
(20mmol/L) Potassium Chloride In 5% Dextrose And 0.45% Sodium Chloride Injection Usp [Drug]	437999	DPD	21601162	1	
(40 Mmol/L) Potassium Chloride In 0.9% Sodium Chloride Injection Usp [Drug]	786217	DPD	21601161	1	
(40 Mmol/L) Potassium Chloride In 5% Dextrose Injection Usp [Drug]	438030	DPD	21601162	1	
(40 Mmols/L) Potassium Chloride In Lactated Ringer'S Injection Usp [Drug]	2246134	DPD	21601161	1	
(40mmol/L) Potassium Chloride In 3.3% Dextrose And 0.3% Sodium Chloride Injection Usp [Drug]	438022	DPD	21601162	1	
(40mmol/L)Potassium Chloride In 5% Dextrose And 0.45% Sodium Chloride Injection Usp [Drug]	438006	DPD	21601162	1	
(Extra Strength) Acetaminophen, Caffeine & 8mg Codeine Phosphate Caplets [Drug]	2236871	DPD	21604348	1	
(Morpholinothio)Benzothiazole	DPD117010	DPD	43012391	1	
0.15% Potassium Chloride In 3.3% Dextrose And 0.30% Sodium Chloride Injection [Drug]	1931741	DPD	21601162	1	
0.15% Potassium Chloride In 5% Dextrose And 0.20% Sodium Chloride Injection Usp [Drug]	1931598	DPD	21601162	1	
0.15% Potassium Chloride In 5% Dextrose And 0.33% Sodium Chloride Injection Usp [Drug]	1931601	DPD	21601162	1	
0.15% Potassium Chloride In 5% Dextrose And 0.45% Sodium Chloride Injection [Drug]	1931547	DPD	21601162	1	
0.15% Potassium Chloride In 5% Dextrose And 0.9% Sodium Chloride Injection [Drug]	1931644	DPD	21601162	1	
0.15% Potassium Chloride In 5% Dextrose Injection Usp [Drug]	1931539	DPD	21601162	1	
0.2% Sodium Fluoride Weekly Oral Rinse [Drug]	2117428	DPD	19069022	1	
0.30% Potassium Chloride In 5% Dextrose [Drug]	1967770	DPD	21601162	1	
0.30% Potassium Chloride In 5% Dextrose And 0.45% Sodium Chloride Injection [Drug]	1931571	DPD	21601162	1	
0.4% Lidocaine Hydrochloride And 5% Dextrose Injection Usp [Drug]	478288	DPD	989878	1	
0.4% Stannous Fluoride Brush On Gel [Drug]	2117371	DPD	1036094	1	
0.45% Sodium Chloride Injection Usp [Drug]	1927949	DPD	967823	1	
0.63% Stannous Fluor. Oral Rinse Concentrate [Drug]	2117347	DPD	1036094	1	
0.9% Sodium Chloride Irrigation Usp [Drug]	1963937	DPD	967823	1	
1.1% Neutral Sodium Fluoride Topical Gel [Drug]	2117398	DPD	19069022	1	
1.64% Stan. Fluor. Office Rinse Concentrate [Drug]	2117401	DPD	1036094	1	
10 Benzagel Gel - 10% [Drug]	2220385	DPD	918172	1	
10% Calcium Chloride Injection Usp [Drug]	294748	DPD	19036781	1	
10% Dextrose And 0.9% Sodium Chloride Injection Usp [Drug]	1927922	DPD	21601162	1	
10% Dextrose Injection Usp [Drug]	1924427	DPD	21601157	1	
10% Dextrose Injection, Usp [Drug]	2014823	DPD	21601157	1	
10% Travamulsion  Liq Iv [Drug]	2016028	DPD	21601156	1	
13.3% Dextrose Injection, Usp [Drug]	2015072	DPD	21601157	1	
15-Apr [Drug]	2258048	DPD	989878	1	
16.4% Sodium Acetate Injection, Usp [Drug]	2247204	DPD	19077884	1	
18 Essential Vitamins And Minerals [Drug]	2231517	DPD	21600805	1	
18 Essential Vitamins And Minerals Tab [Drug]	2034867	DPD	21600805	1	
2 In 1 Anti-Dandruff Shampoo And Conditioner [Drug]	2247321	DPD	944360	1	
2 In 1 Conditioning Dandruff Shampoo [Drug]	2239423	DPD	944360	1	
2 In 1 Conditioning Dandruff Treatment Shampoo [Drug]	2245675	DPD	944360	1	
2 In 1 Dandruff Relief Shampoo & Conditioner [Drug]	2296365	DPD	944360	1	
2 In 1 Dandruff Shampoo And Conditioner For Dry Scalp [Drug]	2390779	DPD	944360	1	
2 In 1 Dandruff Shampoo Plus Conditioner For Men [Drug]	2390787	DPD	944360	1	
2% Lidocaine And Epinephrine 1:100,000 Injection Usp [Drug]	2298007	DPD	21604241	1	
2% Lidocaine Hydrochloride Injection Usp [Drug]	436208	DPD	989878	1	
2% Polocaine Dental With Levonordefrin 1:20,000 [Drug]	874639	DPD	21604242	1	
2.5 Benzagel 2.5% [Drug]	2016419	DPD	918172	1	
2.5 Benzagel 2.5% Acne Gel [Drug]	2162091	DPD	918172	1	
2.5 Benzagel Acne Lotion 2.5% [Drug]	2016427	DPD	918172	1	
2.5 Benzagel Acne Lotion 2.5% [Drug]	2162105	DPD	918172	1	
2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose [Drug]	2143267	DPD	21601159	1	
2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose Clinimix [Drug]	2013975	DPD	21601159	1	
2.5% Travasol Amino Acid Injection Without Electrolytes In 10% Dextrose Quickmix [Drug]	2014106	DPD	21601159	1	
2.5%Travasol Amino Acid Inj.W.Elec.W.25%Dex [Drug]	2143259	DPD	21601159	1	
2.75% Travas. Amino Acid Inj.W.Elecw.25%Dex [Drug]	2143232	DPD	21601159	1	
2.75% Travasol Amino Acid Injection With Electrolytes In 25% Dextrose Quickmix [Drug]	2014009	DPD	21601159	1	
2.75% Travasol Amino Acid Injection With Electrolytes In 5% Dextrose Quickmix [Drug]	2013991	DPD	21601159	1	
2.75%Travasol Amino Acid Inj.W.Elec.W.5%Dex. [Drug]	2143240	DPD	21601159	1	
20 (Meq)Mmol/L Potassium Chloride In/Et 0.9% Chlorure De Sodium/Sodium Chloride Injection Usp [Drug]	2299100	DPD	21601161	1	
20% Dextrose Injection Usp [Drug]	1924257	DPD	21601157	1	
20% Dextrose Injection, Usp [Drug]	2015080	DPD	21601157	1	
20% Prosol [Drug]	2141450	DPD	19124969	1	
20% Travamulsion  Liq Iv [Drug]	2016036	DPD	21601156	1	
20(Meq)Mmol/L Potassium Chloride Plus 5% Dextrose & 0.9% Chlorure De Sodium/Sodium Chloride Injection Usp [Drug]	2299127	DPD	21601162	1	
21-Apr [Drug]	2317192	DPD	21602482	1	
217 [Drug]	666645	DPD	21604320	1	
217 Strong Tab [Drug]	259802	DPD	21604320	1	
222 Af Extra Strength Caplet (500mg) [Drug]	1989839	DPD	1125315	1	
222 Af Regular Strength Caplet (325mg) [Drug]	1989820	DPD	1125315	1	
222 Tablets [Drug]	108162	DPD	21604320	1	
222af Extra Strength 500mg [Drug]	446114	DPD	1125315	1	
222af Regular Strength 325mg [Drug]	373710	DPD	1125315	1	
23.4% Sodium Chloride Injection Usp [Drug]	2245934	DPD	967823	1	
24 Hour Allergy Remedy [Drug]	2280159	DPD	1107830	1	
24 Multivitamins + Minerals [Drug]	2161583	DPD	21600805	1	
28-Apr [Drug]	2317206	DPD	21602482	1	
282 Mep Tab [Drug]	108316	DPD	21604325	1	
282 Tab [Drug]	108103	DPD	21604320	1	
282 Tablets [Drug]	2234510	DPD	21604320	1	
29 Essential Vitamins And Minerals (For People 50+) [Drug]	2231519	DPD	21600805	1	
29 Essential Vitamins And Minerals [Drug]	2231518	DPD	21600805	1	
29 Essential Vitamins And Minerals Tab [Drug]	2053616	DPD	21600805	1	
29 Multivitamins + Minerals - Tab [Drug]	2217775	DPD	21600805	1	
292 Tab [Drug]	219843	DPD	21604267	1	
292 Tablets [Drug]	2238645	DPD	21604267	1	
3% Polocaine Dental [Drug]	2330733	DPD	702774	1	
3% Sodium Chloride Injection Usp [Drug]	1924184	DPD	967823	1	
3.28% Stannous Fluor. Irrigation Concentrate [Drug]	2117363	DPD	1036094	1	
3.3% Dextrose And 0.3% Sodium Chloride Injection Usp [Drug]	1927981	DPD	21601162	1	
33.3% Dextrose Injection, Usp [Drug]	2014831	DPD	21601157	1	
3tc [Drug]	2192683	DPD	1704183	1	
3tc [Drug]	2192691	DPD	1704183	1	
3tc [Drug]	2247825	DPD	1704183	1	
4 Trace Elements Injection, Usp [Drug]	569046	DPD	21601214	1	
4% Astracaine Dental With Epinephrine 1:200,000 (0.005mg/Ml) [Drug]	2230169	DPD	21604245	1	
4% Astracaine Dental With Epinephrine 1:200,000 (0.005mg/Ml) [Drug]	2248489	DPD	21604245	1	
4% Astracaine Dental With Epinephrine Forte 1:100,000 (0.01mg/Ml) [Drug]	2230168	DPD	21604245	1	
4% Astracaine Dental With Epinephrine Forte 1:100,000 (0.01mg/Ml) [Drug]	2248488	DPD	21604245	1	
4% Citanest Forte Dental With Epinephrine 1:200,000 [Drug]	2347695	DPD	21604243	1	
4.25% Amino Acid Injection Without Electrolytes In 20% Dextrose Quickmix [Drug]	2013908	DPD	19124969	1	
4.25% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose [Drug]	2142414	DPD	21601159	1	
4.25% Travasol Amino Acid Injection With Electrolytes In 20% Dextrose [Drug]	2142406	DPD	21601159	1	
4.25% Travasol Amino Acid Injection With Electrolytes In 20% Dextrose Quickmix [Drug]	2014033	DPD	21601159	1	
4.25% Travasol Amino Acid Injection With Electrolytes In 25% Dextrose [Drug]	2142392	DPD	21601159	1	
4.25% Travasol Amino Acid Injection With Electrolytes In 5% Dextrose Quickmix [Drug]	2014017	DPD	21601159	1	
4.25% Travasol Amino Acid Injection Without Electrlytes In 10% Dextrose [Drug]	2142317	DPD	21601159	1	
4.25% Travasol Amino Acid Injection Without Electrolytes In 20% Dextrose [Drug]	2142309	DPD	21601159	1	
4.25% Travasol Amino Acid Injection Without Electrolytes In 25% Dextrose [Drug]	2142295	DPD	21601159	1	
4.25% Travasol Amino Acid Without Electrolytes In 5% Dextrose Quickmix [Drug]	2013894	DPD	21601159	1	
4.25%Trav. Amino Acid Inj.W.O.Elect.5%Dext. [Drug]	2142325	DPD	21601159	1	
4.25%Travasol Amino Acid Inj.W.Elecw.5%Dex. [Drug]	2143224	DPD	21601159	1	
40 (Meq)Mmol/L Potassium Chloride Plus 5% Dextrose & 0.9% Chlorure De Sodium/Sodium Chloride Injection Usp [Drug]	2299135	DPD	21601162	1	
40% Dextrose Injection Usp [Drug]	1947230	DPD	21601157	1	
40% Dextrose Injection, Usp [Drug]	2014858	DPD	21601157	1	
40(Meq)Mmol/L Potassium Chloride In/Et 0.9% Chlorure De Sodium/Sodium Chloride Injection Usp [Drug]	2299119	DPD	21601161	1	
400 Vitamin A 10000iu [Drug]	236101	DPD	19008339	1	
5 Benzagel Lotion 5% [Drug]	1937839	DPD	918172	1	
5% Dextrose And 0.20% Sodium Chloride Injection Usp [Drug]	1927558	DPD	21601162	1	
5% Dextrose And 0.45% Sodium Chloride Injection Usp [Drug]	1927531	DPD	21601162	1	
5% Dextrose And 0.9% Sodium Chloride Injection Usp [Drug]	1924435	DPD	21601162	1	
5% Dextrose In Lactated Ringer'S Injection [Drug]	1931652	DPD	21601162	1	
5% Dextrose Injection Usp [Drug]	1924281	DPD	21601157	1	
5% Sodium Chloride Injection Usp [Drug]	1928007	DPD	967823	1	
5% Travasol Amino Acid Injection With Electrolytes In 20% Dextrose [Drug]	2142368	DPD	21601159	1	
5% Travasol Amino Acid Injection Without Electrolytes In 20% Dextrose [Drug]	2142252	DPD	21601159	1	
5% Travasol Amino Acid Injection Without Electrolytes In 25% Dextrose [Drug]	2142244	DPD	21601159	1	
5% Xylocaine Mpf With Glucose 7.5% Injection [Drug]	2231257	DPD	21604241	1	
5-Asa [Drug]	2351463	DPD	968426	1	
50 Plus [Drug]	2073102	DPD	21600805	1	
50 Plus Multiple Vitamins & Minerals [Drug]	2246631	DPD	21600805	1	
50% Dextrose Injection Usp [Drug]	1924273	DPD	21601157	1	
50% Dextrose Injection Usp [Drug]	37974	DPD	21601157	1	
50% Dextrose Injection, Usp [Drug]	2014866	DPD	21601157	1	
642 Tab [Drug]	10081	DPD	1153664	1	
692 Tab [Drug]	108146	DPD	21604281	1	
692 Tablet [Drug]	2234509	DPD	21604281	1	
70% Dextrose Injection Usp [Drug]	1924265	DPD	21601157	1	
70% Dextrose Injection Usp [Drug]	2014874	DPD	21601157	1	
8-Symptom Relief [Drug]	2448955	DPD	21605080	1	
8.5% Freamine Iii [Drug]	2158647	DPD	19124969	1	
A & C Tablets With Codeine 15mg [Drug]	95508	DPD	21604320	1	
A & C Tablets With Codeine 30mg [Drug]	95516	DPD	21604267	1	
A + D Diaper Rash Cream [Drug]	2327201	DPD	21601971	1	
A + D Ointment [Drug]	1988131	DPD	21601987	1	
A + Zinc [Drug]	2240826	DPD	19008339	1	
A And D Ointment [Drug]	233048	DPD	21601987	1	
A Caps 10000 I.U. [Drug]	1984144	DPD	19008339	1	
A D Calcium Tab [Drug]	460656	DPD	21600874	1	
A Mulsion 10 [Drug]	554804	DPD	19008339	1	
A To Z Centabs [Drug]	625264	DPD	21600805	1	
A To Z Multi Vitamin & Mineral Tab [Drug]	1930591	DPD	21600855	1	
A To Z Multiple Vitamins And Minerals Tab [Drug]	849103	DPD	21600805	1	
A+ Zinc Tab [Drug]	558842	DPD	21600855	1	
