DRUG_CONCEPT_CODE	INGREDIENT_NAME	BOX_SIZE	AMOUNT_VALUE	AMOUNT_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT
8758	CARBIDOPA		31.25	MG				
12220	TETRACOSACTRIN		0.25	mg				
14874	TRIAMCINOLONE				100000	U		ML
23717	CETRIMIDE							
28010	ASCORBATE							
10260	POLYVINYL ALCOHOL				14	mg		ml
10260	POVIDONE				6	mg		ml
10307	COAL TAR							
10307	ZINC OXIDE							
10848	GRAMICIDIN				1	MG		ML
10848	NEOMYCIN				2.5	MG		ML
10848	NYSTATIN				0.25	MG		ML
10848	TRIAMCINOLONE				100000	U		ML
1108	NORETHISTERONE				140	MCG	24	HOUR
1108	OESTRADIOL				50	MCG	24	HOUR
1109	NORETHISTERONE				250	MCG	24	HOUR
1109	OESTRADIOL				50	MCG	24	HOUR
11142	SODIUM CITRATE		450	MG				
11142	SODIUM LAURYL SULFOACETATE		45	MG				
11142	SORBITOL		3.125	G				
11143	SODIUM CITRATE				450	MG	5	ML
11143	SODIUM LAURYL SULFOACETATE				45	MG	5	ML
11143	SORBITOL				3.125	G	5	ML
11316	BACITRACIN				3.5	MG		ml
11316	NEOMYCIN				400	IU		ml
12095	CHLORHEXIDINE				10	mg		mg
12095	SILVER SULFADIAZINE				2	mg		mg
12097	CHLORHEXIDINE				10	mg		mg
12097	SILVER SULFADIAZINE				2	mg		mg
12098	CHLORHEXIDINE				10	mg		mg
12098	SILVER SULFADIAZINE				2	mg		mg
12147	METHYLPREDNISOLONE		1	G				
12342	SPECTINOMYCIN		2	G				
12624	FRANGULA				80	mg		ml
12624	STERCULIA				620	mg		ml
12624	SUGAR				250	mg		ml
12746	COAL TAR				20	mg		ml
12746	SALICYLIC ACID				20	mg		ml
13469	GLUCAGON		1	IU				
14358	FRANGULA							
14358	STERCULIA							
14485	CODEINE				14.9	MG		ml
14485	PSEUDOEPHEDRINE				60	MG		ml
14516	AMMONIUM BICARBONATE							
14516	CAMPHOR							
14516	LICORICE							
14516	SENEGA							
14830	CAJUPUT OIL				70	mg		ml
14830	CAMPHOR				110	mg		ml
14830	CLOVE				50	mg		ml
14830	MENTHOL				100	mg		ml
14873	GRAMICIDIN				1	mg		ML
14873	NEOMYCIN				2.5	mg		ML
14873	NYSTATIN				0.25	mg		ML
14873	TRIAMCINOLONE				100000	U		ML
14874	GRAMICIDIN				1	mg		ML
14874	NEOMYCIN				2.5	mg		ML
14874	NYSTATIN				0.25	mg		ML
14879	FRANGULA				80	mg		ml
14879	STERCULIA				620	mg		ml
14879	SUGAR				250	mg		ml
15177	FRAMYCETIN				15	MG		ml
15177	GRAMICIDIN				0.05	MG		ml
15248	BUPLEURUM		200	MG				
15248	SILYBUM MARIANUM		8	G				
15734	ALUMINIUM HYDROXIDE				200	MG		ml
15734	MAGNESIUM HYDROXIDE				200	MG		ml
15903	TETRABROMOCRESOL							
15903	UNDECENOIC ACID							
15903	ZINC OXIDE							
15930	YELLOW FEVER VACCINE		1000	U				
1623	HYDROCORTISONE							
1623	MICONAZOLE							
1626	CETRIMIDE							
1626	CHLORHEXIDINE							
1627	HYDROCORTISONE							
1627	MICONAZOLE							
16591	NORETHISTERONE				50	MCG	24	HOUR
16591	OESTRADIOL				140	MCG	24	HOUR
16592	NORETHISTERONE				50	MCG	24	HOUR
16592	OESTRADIOL				250	MCG	24	HOUR
16859	HYDROCORTISONE				20	mg		ml
16859	MICONAZOLE NITRATE				10	mg		ml
16859	PHENETHYL				10	mg		ml
16862	CETRIMIDE							
16862	CHLORHEXIDINE							
16863	HYDROCORTISONE				5	mg		ml
16863	MICONAZOLE NITRATE				20	mg		ml
16863	PHENETHYL				10	mg		ml
16909	FLUTICASONE				50	MCG		ml
16909	SALMETEROL				25	MCG		ml
17028	SHARK-LIVER OIL							
17028	YEAST							
17148	ASCORBATE		262	MG				
17148	ZINC GLUCONATE		45	MG				
17161	EUCALYPTUS OIL							
17161	LAVENDER							
17457	CODEINE				6	MG		ml
17457	PSEUDOEPHEDRINE				1.92	MG		ml
17459	BROMHEXINE				0.8	MG		ml
17459	GUAIPHENESIN				20	MG		ml
17542	ASCORBATE							
17542	BIOFLAVONOIDS							
17542	MAGNESIUM ASCORBATE							
17542	RUTIN							
17921	HYDROXOCOBALAMIN		2.5	ml				
17998	BENZOIC ACID		7.5	ML				
17998	LIQUID PARAFFIN		15	ML				
18105	CAJUPUT OIL				70	mg		ml
18105	CAMPHOR				90	mg		ml
18105	CLOVE				50	mg		ml
18105	MENTHOL				100	mg		ml
18359	FRANGULA				80	mg		ml
18359	STERCULIA				620	mg		ml
18359	SUGAR				250	mg		ml
18484	CODEINE				120	MG	5	ml
18484	PARACETAMOL				5	MG	5	ml
18545	ALISMA							
18545	BAMBOO							
18545	CAMPHOR							
18545	EUCALYPTUS OIL							
18545	MENTHOL							
18545	METHYL SALICYLATE							
18545	SUNFLOWER							
18642	ALISMA							
18642	BAMBOO							
18642	CAMPHOR							
18642	EUCALYPTUS OIL							
18642	MENTHOL							
18642	METHYL SALICYLATE							
18642	SUNFLOWER							
18909	CINCHOCAINE							
18909	PREDNISOLONE							
18998	BUDESONIDE				100	MCG		ACTUATION
18998	EFORMOTEROL				6	MCG		ACTUATION
19234	FRANGULA				80	mg		ml
19234	STERCULIA				620	mg		ml
19234	SUGAR				250	mg		ml
19335	CHLORHEXIDINE				10	mg		mg
19335	SILVER SULFADIAZINE				2	mg		mg
19339	CHLORHEXIDINE				10	mg		mg
19339	SILVER SULFADIAZINE				2	mg		mg
19342	CHLORHEXIDINE				10	mg		mg
19342	SILVER SULFADIAZINE				2	mg		mg
1999	EUCALYPTUS OIL							
1999	LAVENDER							
1999	METHYL SALICYLATE							
2000	EUCALYPTUS OIL							
2000	LAVENDER							
2000	METHYL SALICYLATE							
20111	DEXTROMETHORPHAN				30	MG	5	ml
20111	PSEUDOEPHEDRINE				10	MG	5	ml
20237	TETRACOSACTRIN		0.25	mg				
20535	DEXTROMETHORPHAN				5	MG		ml
20535	TRIPROLIDINE				0.625	MG		ml
20842	SPECTINOMYCIN		2	ml				
21483	FRANGULA							
21483	STERCULIA							
21501	ALUMINIUM CHLORIDE							
21501	ETHANOL							
21501	SILICONE							
21626	COAL TAR				20	mg		ml
21626	SALICYLIC ACID				20	mg		ml
21639	CETALKONIUM							
21639	CHOLINE SALICYLATE							
21639	MENTHOL							
21668	CADE OIL							
21668	COAL TAR							
21668	PYRITHIONE ZINC							
21668	TAR							
21810	BENZYDAMINE				22.5	MG		ml
21810	CHLORHEXIDINE				18	MG		ml
21899	ASCORBATE		1	G				
22034	BENZYDAMINE		3	MG				
22034	CETYLPYRIDINIUM		1.33	MG				
22325	POLYVINYL ALCOHOL				14	mg		ml
22325	POVIDONE				6	mg		ml
22438	GLUCAGON		1	IU				
22481	CAMPHOR							
22481	CARRAGEENAN							
22481	IPECACUANHA							
22481	MENTHOL							
22686	NAPHAZOLINE				0.25	MG		ml
22686	PHENIRAMINE				3	MG		ml
