concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
"3TCTABS 300MG 30","Drug","LPD_Australia","Drug Product",,"2046361","2022-05-27","2099-12-31",
"ABSTRAL","Drug","LPD_Australia","Drug Product",,"606703","2022-05-27","2099-12-31",
"ACARBOSE MYLAN","Drug","LPD_Australia","Drug Product",,"607268","2022-05-27","2099-12-31",
"ACTINICA","Drug","LPD_Australia","Drug Product",,"603492","2022-05-27","2099-12-31",
"ADRENALINEAUTO INJECT","Drug","LPD_Australia","Drug Product",,"2049667","2022-05-27","2099-12-31",
"ADVAGRAF XL","Drug","LPD_Australia","Drug Product",,"607722","2022-05-27","2099-12-31",
"ALOGLIPTIN/METFORMIN HYDROCHLORIDE","Drug","LPD_Australia","Drug Product",,"604029","2022-05-27","2099-12-31",
"ALPHA KERIUNSPECIFIED","Drug","LPD_Australia","Drug Product",,"2044698","2022-05-27","2099-12-31",
"ALPROSTADILAMPS 500Y /1ML 5 1ML","Drug","LPD_Australia","Drug Product",,"2043359","2022-05-27","2099-12-31",
"ALUMINIUM HYDROXIDE MAGNESIUM HYDROXIDE SIMETHICONESUSPENSION 500ML","Drug","LPD_Australia","Drug Product",,"2040368","2022-05-27","2099-12-31",
"ALUM/MGTR/MGOH/SIMTABS","Drug","LPD_Australia","Drug Product",,"2046563","2022-05-27","2099-12-31",
"AMOXYCILLIN","Drug","LPD_Australia","Drug Product",,"14858","2022-05-27","2099-12-31",
"AMOXYCILLIN","Drug","LPD_Australia","Drug Product",,"14859","2022-05-27","2099-12-31",
"AMPICILLINUNSPECIFIED 250MG","Drug","LPD_Australia","Drug Product",,"2043825","2022-05-27","2099-12-31",
"ANASTROZOLE FBMTABS 1MG 30","Drug","LPD_Australia","Drug Product",,"2040099","2022-05-27","2099-12-31",
"APO-AMLODIPINE/ATORVASTATIN","Drug","LPD_Australia","Drug Product",,"605129","2022-05-27","2099-12-31",
"APO-AMOXY CLAVULANTABS 500MG /125 10","Drug","LPD_Australia","Drug Product",,"2048120","2022-05-27","2099-12-31",
"APO-CEFACLOR CD","Drug","LPD_Australia","Drug Product",,"604213","2022-05-27","2099-12-31",
"APO-CIPROFLOXACIN","Drug","LPD_Australia","Drug Product",,"606049","2022-05-27","2099-12-31",
"APO-CLOTRIMAZOLE3 DAY CREAM 2% 20G","Drug","LPD_Australia","Drug Product",,"2048101","2022-05-27","2099-12-31",
"APO-DESVENLAFAXINE MR","Drug","LPD_Australia","Drug Product",,"607081","2022-05-27","2099-12-31",
"APOHEALTH FAMCICLOVIR ONCE","Drug","LPD_Australia","Drug Product",,"606571","2022-05-27","2099-12-31",
"APOHEALTH IBUPROFEN PLUS CODEINE","Drug","LPD_Australia","Drug Product",,"605622","2022-05-27","2099-12-31",
"APOHEALTH PARACETAMOL PLUS CODEINE","Drug","LPD_Australia","Drug Product",,"605626","2022-05-27","2099-12-31",
"APO-LORAZEPAMTABS 2.5MG 50","Drug","LPD_Australia","Drug Product",,"2048864","2022-05-27","2099-12-31",
"APO-MONTELUKAST","Drug","LPD_Australia","Drug Product",,"603531","2022-05-27","2099-12-31",
"APO-MONTELUKAST","Drug","LPD_Australia","Drug Product",,"603726","2022-05-27","2099-12-31",
"APO-MYCOPHENOLATECAPS 250MG 100","Drug","LPD_Australia","Drug Product",,"2049239","2022-05-27","2099-12-31",
"APO-PARACETAMOL","Drug","LPD_Australia","Drug Product",,"606618","2022-05-27","2099-12-31",
"APO-QUETIAPINE XR","Drug","LPD_Australia","Drug Product",,"607565","2022-05-27","2099-12-31",
"APO-SALBUTAMOLSOLUTION 2.5MG 30 2.5ML","Drug","LPD_Australia","Drug Product",,"2050138","2022-05-27","2099-12-31",
"APO-TELMISARTAN HCTZ","Drug","LPD_Australia","Drug Product",,"604906","2022-05-27","2099-12-31",
"APO-VALSARTAN","Drug","LPD_Australia","Drug Product",,"604909","2022-05-27","2099-12-31",
"APO-VALSARTAN","Drug","LPD_Australia","Drug Product",,"604910","2022-05-27","2099-12-31",
"APO-ZOLMITRIPTAN","Drug","LPD_Australia","Drug Product",,"605194","2022-05-27","2099-12-31",
"ARANESP SURECLICK","Drug","LPD_Australia","Drug Product",,"5657","2022-05-27","2099-12-31",
"ARIDON","Drug","LPD_Australia","Drug Product",,"603218","2022-05-27","2099-12-31",
"ARMODAFINIL","Drug","LPD_Australia","Drug Product",,"606968","2022-05-27","2099-12-31",
"ASARTAN HCTTABS 32MG /12. 30","Drug","LPD_Australia","Drug Product",,"2039934","2022-05-27","2099-12-31",
"ASMOLUNSPECIFIED","Drug","LPD_Australia","Drug Product",,"2045913","2022-05-27","2099-12-31",
"ASPIRINCAPS 300MG","Drug","LPD_Australia","Drug Product",,"2040351","2022-05-27","2099-12-31",
"ATOMOXETINE","Drug","LPD_Australia","Drug Product",,"20579","2022-05-27","2099-12-31",
"ATORVASTATIN AMNEAL","Drug","LPD_Australia","Drug Product",,"608131","2022-05-27","2099-12-31",
"ATORVASTATIN AMNEAL","Drug","LPD_Australia","Drug Product",,"608132","2022-05-27","2099-12-31",
