CONCEPT_NAME	DUMMY	CONCEPT_ID	RXNE_NAME	PRECEDENCE
DONNALIX INFANT DROPS		43252876	Donnalix	
DOZILE NATURAL SLEEP		43252806	Dozile	
DRAMAMINE JUNIOR		19021507	Dramamine	
DRICLOR MEN		21018043	Driclor	
DRICLOR WOMEN		21018043	Driclor	
DRIXINE ADULT DROPS		43252807	Drixine	
DRIXINE ADULT METERED PUMP REFILL		43252807	Drixine	
DRIXINE NO DRIP FORMULA		43252807	Drixine	
DRIXINE PAEDIATRIC DROPS		43252807	Drixine	
DRONALEN PLUS		43252820	Dronalen	
DRONALEN PLUS D-CAL		43252820	Dronalen	
DUATROL SR		43252836	Duatrol	
DULCOLAX SP DROPS		19021564	Dulcolax	
DUODOPA INTESTINAL GEL		43252858	Duodopa	
DUOFILM EXTRA STRENGTH GEL		19063209	Duofilm	
DURO-TUSS CHESTY COUGH FORTE		43252866	Duro-Tuss Chesty Cough Liquid Forte	1
DURO-TUSS CHESTY COUGH FORTE		43252873	Duro-Tuss Chesty Cough Tablet Forte	2
DURO-TUSS CHESTY COUGH LIQUID BROMHEXINE		43252865	Duro-Tuss	
DURO-TUSS CHESTY FORTE		43252865	Duro-Tuss	
DURO-TUSS CHILDREN'S COUGH LIQUID		43252865	Duro-Tuss	
DURO-TUSS COLD & ALLERGY CHILDREN ELIXIR		43252865	Duro-Tuss	
DURO-TUSS COLD & ALLERGY INFANT DROPS		43252865	Duro-Tuss	
DURO-TUSS COUGH LOZENGE Sugar Free		43252865	Duro-Tuss	
DUROTRAM XR ONCE DAILY		43252890	Durotram	
DVA DAA	?			
DYMADON CO		43252902	Dymadon	
DYMADON FORTE		43252902	Dymadon	
DYMADON P		43252902	Dymadon	
E-MYCIN 200		19043149	E-Mycin	
E-MYCIN 400		19043149	E-Mycin	
EAR CLEAR FOR SWIMMER'S EAR		43252791	Ear Clear For Swimmers	
EAR CLEAR FOR SWIMMERS EAR		43252791	Ear Clear For Swimmers	
ECHINACEA LIQUID	ing			
ECHINACEA PLUX GARLIX	ing			
ECHINACEA PURPUREA DRY WHOLE PLANT	ing			
EES 400 FILMTABS		43252781	Ees	
EFEXOR-XR		21018651	Efexor	
EFORMOTEROL FUMARATE DIHYDRATE	ing			
EGOPSORYL TA		43252811	Egopsoryl	
ELAXINE SR		43252823	Elaxine	
ELEANOR 150/30 ED		43252824	Eleanor	
ELEMENTAL FERROUS ION	ing			
ELEVIT MORNING SICKNESS RELIEF		43128591	ELEVIT	
ELEVIT WOMEN'S MULTI		43128591	ELEVIT	
ELIGARD 1 MONTH		19032761	Eligard	
ELIGARD 3 MONTH		19032761	Eligard	
ELIGARD 4 MONTH		19032761	Eligard	
ELIGARD 6 MONTH		19032761	Eligard	
ELOCON ALCOHOL FREE		19064075	Elocon	
ELOVAX ONE DOSE		43252839	Elovax	
EMETROL ORAL LIQUID		19062193	Emetrol	
ENDEP 10		19088671	Endep	
ENDEP 25		19088671	Endep	
ENDEP 50		19088671	Endep	
ENGERIX-B PRESERVATIVE FREE		19063452	Engerix-B	
ENO LEMON		21018865	Eno	
EPIDUO GEL		19044560	Epiduo	
EPILIM EC		19014088	Epilim	
EPILIM SUGAR FREE LIQUID		19014088	Epilim	
ERGODRYL MONO		44015376	Ergodryl	
ERYC LD		19043222	Eryc	
ERYTHROCIN FILMTABS		19124596	Erythrocin	
ERYTHROCIN IM		19124596	Erythrocin	
ERYTHROCIN IV		19124596	Erythrocin	
ESBERITOX N		40805445	Esberitox	
ESOMEPRAZOLE SANDOZ HP7		43129215	ESOMEPRAZOLE SANDOZ	
ESTALIS CONTINUOUS 50/140		43565964	Estalis	
ESTALIS CONTINUOUS 50/250		43565964	Estalis	
ESTALIS SEQUI 50/140		43565964	Estalis	
ESTALIS SEQUI 50/250		43565964	Estalis	
ESTELLE-35 ED		43565965	Estelle	
ESTRADERM MX		19064773	Estraderm	
ESTRAPAK 50		21018032	Estrapak	
EUHYPNOS 10		19026362	Euhypnos	
EUHYPNOS 20		19026362	Euhypnos	
EULACTOL ANTIFUNGAL		43252801	Eulactol	
EULACTOL HAND BALM 17083		43252801	Eulactol	
EULACTOL HEEL BALM 17001		43252801	Eulactol	
EULACTOL HEEL BALM 17002		43252801	Eulactol	
EULACTOL HEEL BALM 17003		43252801	Eulactol	
EVELYN 150/30 ED		43252803	Evelyn	
EVENING PRIMROSE OIL	ing			
EVENING PRIMROSE OIL 1000	ing			
EVENING PRIMROSE OIL 1000MG	ing			
EXCEL ET		40172935	Excel	
EXCEL G		40172935	Excel	
EXOREX PSORIASIS MEDICATION		21017712	Exorex	
EXOREX SCALP CONDITIONER		21017712	Exorex	
EZOVIR COLD SORE RELIEF		43253000	Ezovir	
F.G.F.	ing			
F.G.F. 500	ing			
FAMOTIDINE SANDOZ		40806513	Famotidin Sandoz	
FEBRIDOL CLEAR		43252922	Febridol	
FEFOL		43252927	Fefol Spansule	
FELODUR ER		43252937	Felodur	
FEMAZOLE DUO		43252938	Femazole	
FEMME-TAB ED 20/100		43252953	Femme-Tab Ed	
FEMME-TAB ED 30/150		43252953	Femme-Tab Ed	
FEMODEN ED		21014216	Femodene	
FEMOSTON 1/10		21016286	Femoston	
FEMOSTON 2/10		21016286	Femoston	
FEMOSTON-CONTI		21016286	Femoston	
FENDEX ER		43252974	Fendex	
FENTANYL	ing			
FERRO-F-TAB		43253014	Ferro-F	
FERROGRAD C		43253008	Ferro-Grad C	
FESS CHILDRENS		43253017	Fess	
FESS LITTLE NOSES DROPS AND ASPIRATOR		43253017	Fess	
FIBRE HEALTH NATURAL GRANULAR		43253041	Fibre Health Granular	
FIBRE HEALTH ORANGE SMOOTH SUGAR FREE		43253042	Fibre Health Smooth	
FIBYRAX EXTRA		44015712	Fibyrax	
FINASTERIDE-	ing			
FIORINAL DENTAL		19096442	Fiorinal	
FISH OIL	ing			
FISH OIL 1000	ing			
FISH OIL NATURAL	ing			
FLAXSEED OIL	ing			
FLAXSEED OIL 1000MG	ing			
FLAXSEED OIL 1000mg	ing			
FLECAINIDE SANDOZ		40806258	Flecainid Sandoz	
FLIXONASE ALLERGY & HAYFEVER 24 HOUR		19014184	Flixonase	
FLIXONASE NASULE DROPS		21018031	Flixonase Nasule	
FLIXOTIDE JUNIOR		43129819	FLIXOTIDE	
FLIXOTIDE JUNIOR ACCUHALER		43129819	FLIXOTIDE	
FLUANXOL DEPOT		19110708	Fluanxol	
FLUARIX TETRA		21015957	Fluarix	
FLUCIL 250		43252998	Flucil	
FLUOXETINE 20	ing			
FLUQUADRI JUNIOR		43253048	Fluquadri	
FLUVAX JUNIOR		43252918	Fluvax	
FOLIC ACID	ing			
FOLINIC ACID	ing			
FONAT PLUS		43252956	Fonatplus	
FORMET ASPEN		43252958	Formet	
FORMULA	?			
FORMULA SF88	device			
FOSAMAX PLUS ONCE WEEKLY		19011505	Fosamax	
FOSETIC 20/12.5		43252978	Fosetic	
FRUSEMIDE RBX		43130547	FUROSEMIDE RANBAXY	
FRUSID 20		19014243	Frusid	
FRUSID 40		19014243	Frusid	
FULCIN 500		40806700	Fulcin	
FUNGILIN ORAL		19014245	Fungilin	
FYBOGEL ORANGE		19065862	Fybogel	
FYBOGEL ORANGE FLAVOUR		19065862	Fybogel	
FYBOGEL REGULAR		19065862	Fybogel	
GABAPENTIN 300	ing			
GABAPENTIN 400	ing			
GANFORT 0.3/5		21017536	Ganfort	
GANFORT PF		21017536	Ganfort	
GARLIC OIL 3,000MG	ing			
GASTROGEL-RANITIDINE EXTRA STRENGTH		43252966	Gastrogel-Ranitidine	
GASTROLYTE EFFERVESCENT		43252968	Gastrolyte	
GASTROLYTE FRUIT		43252968	Gastrolyte	
GASTROLYTE NATURAL		43252968	Gastrolyte	
GASTROLYTE ORANGE		43252968	Gastrolyte	
GASTROLYTE-R		43252968	Gastrolyte	
GAVISCON DOUBLE STRENGTH		19097662	Gaviscon	
GAVISCON DUAL ACTION		19097662	Gaviscon	
GAVISCON DUAL ACTION PEPPERMINT LIQUID		19097662	Gaviscon	
GAVISCON INFANT		19097662	Gaviscon	
GENORAL 0.625		43253147	Genoral	
GENORAL 1.25		43253147	Genoral	
GENTIAN ACID	ing			
GENTIAN ALKALINE	ing			
GINKGO 2,000MG	ing			
GLUCAGON HCL	ing			
GLUCOBOY	device			
GLUCOCARD	device			
GLUCODR	device			
GLUCOFILM	device			
GLUCOMET 500		43253073	Glucomet	
GLUCOMET 850		43253073	Glucomet	
GLUCOSAMAX SUPPORT		21015134	GlucOsamax	
GLUCOSAMINE & CHONDROITIN	ing			
GLUCOSAMINE 1000	ing			
GLUCOSAMINE 1200	ing			
GLUCOSAMINE 750	ing			
GLUCOSE	ing			
GLUCOSE 4% AND SODIUM CHLORIDE 0.18%	ing			
GLUNEO	device			
GLUTATHIONE	ing			
GLUTATHIONE	ing			
GLYADE MR		43253101	Glyade	
GLYCERIN SUPPOSITORIES	ing			
GLYCEROL	ing			
GLYCEROL SUPPOSITORIES	ing			
GLYCOPREP-C		43253112	Glycoprep	
GLYCOPREP-C KIT		43253112	Glycoprep	
GO KIT PLUS		43253121	Go Kit	
GOANNA		43253123	Goanna Arthritis	
GOLDEN		19053546	Golden Eye	1
GOLDEN		40807540	Golden W	2
GOLDEN		40807539	Golden Star	3
GOLYTELY-F		19100361	Golytely	
GONAL-F PEN		19012690	Gonal F	1
GONAL-F PEN		21015059	Gonal-f	2
HAIR & NAILS	?			
HAIRSCIENCE FOR DANDRUFF		43253182	Hairscience	
HAVRIX 1440 PRESERVATIVE FREE		19046486	Havrix	
HAVRIX JUNIOR PRESERVATIVE FREE		19050537	Havrix Pediatric	
HAY	?			
HB VAX II		19030112	HB-VAX	
HEAD & SHOULDERS ANTI-DANDRUFF DRY SCALP CARE		40231135	Head & Shoulders	
HEAD & SHOULDERS ANTI-DANDRUFF SHAMPOO CLEAN & BALANCED		40231135	Head & Shoulders	
HEAD & SHOULDERS ANTI-DANDRUFF SHAMPOO NATURAL SHINE		40231135	Head & Shoulders	
HEAD & SHOULDERS ANTI-DANDRUFF SHAMPOO SMOOTH & SILKY		40231135	Head & Shoulders	
HEMINEURIN M		19113025	Heminevrin	
HEPARINISED	ing			
HEPARINISED SALINE	ing			
HEPASOL LIQUID VITAMINS		43253080	Hepasol	
HEXAL	?			
HMS LIQUIFILM		40183777	HMS Suspension	
HUMALOG KWIKPEN		19016116	Humalog	
HUMALOG MIX25 KWIKPEN		19016116	Humalog	
HUMALOG MIX50 KWIKPEN		19016116	Humalog	
HUMAN CHORIONIC GONADOTROPHIN	ing			
HUMAN CYTOMEGALOVIRUS IMMUNOGLOBULIN	ing			
HUMAN GROWTH HORMONE	ing			
HUMAN HEPATITIS B IMMUNOGLOBULIN	ing			
HUMAN ROTAVIRUS G1P TYPE,RIX4414 STRAIN	ing			
HUMAPEN	device			
HUMULIN 20/80		19053963	Humulin I	
HUMULIN 30/70		19053963	Humulin I	
HUMULIN 50/50		19053963	Humulin I	
HUMULIN NPH		19053963	Humulin I	
HUMULIN UL		19053963	Humulin I	
HYDRENE 25/50		43253115	Hydrene	
HYDROLYSED COLLAGEN PROTEINS	ing			
HYDROXO-B12		43253126	Hydroxo-B	
HYLO-FRESH		40807913	Hylo Fresh	
HYPERICUM PERFORATUM STANDARDISED	ing			
HYPOGUARD SUPREME	device			
IBILEX 250		43253152	Ibilex	
IBILEX 500		43253152	Ibilex	
IDAPREX ARG		43253083	Idaprex	
IDAPREX COMBI 4/1.25		43253083	Idaprex	
ILOSONE PAEDIATRIC		19047534	Ilosone	
IMIGRAN FDT		19018670	Imigran	
IMIGRAN MkII		19018670	Imigran	
IMMUNOGLOBULIN	ing			
IMODIUM MELTS		19021943	Imodium	
IMODIUM ZAPID		19021943	Imodium	
IMPROVIL 28 DAY		43253130	Improvil Day	
IMTRATE SR 60		43253132	Imtrate	
INCREMIN IRON MIXTURE		43253136	Incremin	
INCREMIN VITAMIN C MIXTURE		43253136	Incremin	
INDOPRIL COMBI 4/1.25		43253153	Indopril	
INDOSYL COMBI 4/1.25		43253155	Indosyl	
INDOSYL MONO		43253155	Indosyl	
INFACOL WIND DROPS		21014525	Infacol	
INFANRIX HEP B		19087029	Infanrix	
INFANRIX HEXA PRESERVATIVE FREE		43253158	Infanrix Hexa	
INFANRIX IPV		19087029	Infanrix	
INFANRIX IPV PRESERVATIVE FREE		19087029	Infanrix	
INFANRIX PENTA		19087029	Infanrix	
INFLUVAC JUNIOR		43131919	INFLUVAC	
INNER HEALTH DAIRY FREE		44018144	Inner Health	
INNER HEALTH FOR KIDS		44018144	Inner Health	
INNER HEALTH IMMUNE BOOSTER FOR KIDS		44018144	Inner Health	
INNER HEALTH PLUS		44018144	Inner Health	
INNER HEALTH PLUS DAIRY FREE		44018144	Inner Health	
INSULIN 2 NEUTRAL	?			
INSULIN ISOPHANE BOVINE	ing			
INSULIN ISOPHANE HUMAN	ing			
INSULIN NEUTRAL	ing			
INTAL CFC-FREE		19021988	Intal	
INTAL FORTE		19021988	Intal	
INTAL FORTE CFC-FREE		19021988	Intal	
INTAL SPINCAPS		19021988	Intal	
INTRAGAM P		43253060	Intragam	
INTRON A REDIPEN		19073112	Intron A	
INVEGA SUSTENNA		19005338	Invega	
INVITE E FOOT & HEEL BALM		43253087	Invite E	
IODINE DROPS	ing			
IONIL RINSE		44018710	Ionil	
IONIL-T		19069992	Ionil T	
IPRATRIN ADULT		43253105	Ipratrin	
IPRATRIN UNI-DOSE		43253105	Ipratrin	
IRON	ing			
IRON COMPOUND	ing			
ISONIAZID	ing			
ISOPTIN 180 SR		19046636	Isoptin	
ISOPTIN 240 SR		19046636	Isoptin	
ISOPTO TEARS		40808758	Isopto	
ISORDIL ORAL		19020213	Isordil	
ISOTARD MC		21016520	Isotard	
ISOTREX GEL		19053641	Isotrex	
JOHN	?			
JOINT	?			
JULIET-35 ED		43253263	Juliet-35	
JUVEDERM ULTRA XC		40809761	Juvederm	
KABIVEN G		40809806	Kabiven	
KALMA 0.25		43253291	Kalma	
KALMA 0.5		43253291	Kalma	
KALMA 1		43253291	Kalma	
KALMA 2		43253291	Kalma	
KAOLIN & OPIUM MIXTURE APF 14		43253299	Kaolin And Opium Mixture Apf	
KAOMAGMA		43127702	KAOLOGEAIS	
KARVEZIDE 150/12.5		43253194	Karvezide	
KARVEZIDE 300/12.5		43253194	Karvezide	
KARVEZIDE 300/25		43253194	Karvezide	
