DOSE_FORM	CONCEPT_ID	CONCEPT_NAME	PRECEDENCE
ORAL POWDER	45775491	Powder for Oral Solution	2
ORAL POWDER	45775492	Powder for Oral Suspension	3
ORAL SOLUTION	19082170	Oral Solution	1
ORAL SOLUTION	19082191	Oral Suspension	2
PAEDIATRIC DROP	19082170	Oral Solution	1
PAEDIATRIC DROP	19082191	Oral Suspension	2
PAEDIATRIC SUSPENSION	19082191	Oral Suspension	1
PAEDIATRIC SUSPENSION	19082170	Oral Solution	2
PAINT	21014169	Paint	1
PASTE	19082227	Topical Ointment	1
PASTE	19082224	Topical Cream	2
PASTE	19095918	Oral Paste	3
PATCH	19082229	Transdermal Patch	1
PATCH	19130307	Medicated Pad	2
PELLET	19082573	Oral Tablet	1
PELLET	19001949	Delayed Release Oral Tablet	2
PELLET	19082079	Extended Release Oral Tablet	3
PEN	46234467	Pen Injector	1
PEN	46234466	Auto-Injector	2
PEN	19126920	Prefilled Syringe	3
PEN	46234469	Injection	4
PEN	19082103	Injectable Solution	5
PEN	19082104	Injectable Suspension	6
PENFILL INJECTION	46234467	Pen Injector	1
PENFILL INJECTION	46234466	Auto-Injector	2
PENFILL INJECTION	19126920	Prefilled Syringe	3
PENFILL INJECTION	46234469	Injection	4
PENFILL INJECTION	19082103	Injectable Solution	5
PENFILL INJECTION	19082104	Injectable Suspension	6
PESSARY	40167393	Vaginal Ring	1
POWDER	19082286	Topical Powder	1
POWDER	19095976	Oral Powder	2
POWDER	19082259	Inhalant Powder	3
POWDER	19082281	Powder Spray	4
POWDER	19082198	Rectal Powder	5
POWDER	19082230	Vaginal Powder	6
POWDER	45775491	Powder for Oral Solution	7
POWDER	19082103	Injectable Solution	8
PRE-FILLED	46234467	Pen Injector	1
PRE-FILLED	46234466	Auto-Injector	2
PRE-FILLED	19126920	Prefilled Syringe	3
PRE-FILLED	46275062	Jet Injector	4
PRE-FILLED	46234469	Injection	5
SACHET	19082651	Oral Granules	1
SACHET	19095976	Oral Powder	2
SACHET	45775491	Powder for Oral Solution	3
SACHET	45775492	Powder for Oral Suspension	4
SACHET	45775489	Granules for Oral Solution	5
SACHET	45775490	Granules for Oral Suspension	6
SACHET	19082224	Topical Cream	7
SCALP APPLICATION	19082228	Topical Solution	1
SCALP APPLICATION	46234410	Topical Suspension	2
SCALP SOLUTION	19082228	Topical Solution	1
SCALP SOLUTION	46234410	Topical Suspension	2
SHAMPOO	19008697	Medicated Shampoo	1
SHAMPOO	19082109	Medicated Liquid Soap	2
SOLUBLE TABLET	19082076	Disintegrating Oral Tablet	1
SOLUBLE TABLET	19082573	Oral Tablet	2
SOLUBLE TABLET	44817840	Effervescent Oral Tablet	3
SOLUTION	19082103	Injectable Solution	1
SOLUTION	19082228	Topical Solution	2
SOLUTION	19082170	Oral Solution	3
SOLUTION	19129634	Ophthalmic Solution	4
SOLUTION	19082195	Otic Solution	5
SOLUTION	19082165	Nasal Solution	6
SOLUTION	19082283	Rectal Solution	7
SOLUTION	19095898	Inhalant Solution	8
SPINCAP	19127579	Dry Powder Inhaler	1
SPINCAP	19126918	Metered Dose Inhaler	2
SPINCAP	19082259	Inhalant Powder	3
SPRAY	19095911	Oral Spray	1
SPRAY	19011167	Nasal Spray	2
SPRAY	19095912	Topical Spray	3
SPRAY	19082281	Powder Spray	4
SPRAY	19112649	Vaginal Spray	5
SPRAY	19082199	Rectal Spray	6
SUGAR FREE LINCTUS	19082191	Oral Suspension	1
SUGAR FREE LINCTUS	19082170	Oral Solution	2
SUGAR FREE SUSPENSION	19082191	Oral Suspension	1
SUGAR FREE SUSPENSION	19082170	Oral Solution	2
SUPPOSITORY	19093368	Vaginal Suppository	1
SUPPOSITORY	19082200	Rectal Suppository	2
SUPPOSITORY	19082575	Urethral Suppository	3
SURGICAL SCRUB	19082228	Topical Solution	1
SUSPEN	19082191	Oral Suspension	1
SUSPEN	19082170	Oral Solution	2
SWAB	19082228	Topical Solution	1
SYRINGE	19126920	Prefilled Syringe	1
SYRINGE	46234469	Injection	2
SYRINGE	46234467	Pen Injector	3
SYRINGE	46234466	Auto-Injector	4
SYRINGE	46275062	Jet Injector	5
SYRINGE	19082103	Injectable Solution	6
SYRINGE	19082104	Injectable Suspension	7
SYRUP	19082191	Oral Suspension	1
SYRUP	19082170	Oral Solution	2
TABLET	19082573	Oral Tablet	1
TABLET	19001949	Delayed Release Oral Tablet	2
TABLET	19082079	Extended Release Oral Tablet	3
TABLET	19010962	Vaginal Tablet	4
THROAT SPRAY	19095911	Oral Spray	1
THROAT SPRAY	19082170	Oral Solution	2
TOOTHPASTE	19009068	Toothpaste	1
TOPICAL GEL	19095973	Topical Gel	1
TOPICAL GEL	19082224	Topical Cream	2
TOPICAL GEL	19082227	Topical Ointment	3
TUBE	19095973	Topical Gel	1
TUBE	19082224	Topical Cream	2
TUBE	19082227	Topical Ointment	3
VAGINAL CREAM	19010878	Vaginal Cream	1
VAGINAL CREAM	19010880	Vaginal Gel	2
VAGINAL CREAM	19082287	Vaginal Ointment	3
VAGINAL GEL	19010880	Vaginal Gel	1
VAGINAL GEL	19010878	Vaginal Cream	2
VAGINAL GEL	19082287	Vaginal Ointment	3
VIAL	19082103	Injectable Solution	1
VIAL	19082104	Injectable Suspension	2
VIAL	46234469	Injection	3
VIAL	19126920	Prefilled Syringe	4
WAFER	19082251	Oral Wafer	1
WAFER	19082573	Oral Tablet	2
