FO_PRD_ID	PACK_NAME	PRD_NAME	DOSAGE	UNIT	DOSAGE_2	UNIT_2	AMOUNT_PACK	MOL_NAME	ATCCODE	ATC_NAME	NFC_CODE	MANUFACTURER
24339	DIMETAPP COLD. COUGH & FLU - DAY & NIGHT LIQUID CAPS DAY: 300MG/30MG/10MG. NIGHT: 300MG/30MG/10MG/6.25MG	DIMETAPP COUGH COLD + FLU DAY + NIGHT LIQUID CAPS PACK_DAY:: 300MG/30MG/10MG		mg	30	mg		PARACETAMOL/PSEUDOEPHEDRINE/DEXTROMETHORPHAN	R01BA52	"PSEUDOEPHEDRINE, COMBINATIONS"		
24437	LOSEC HELICOPAK TAB/CAP/TAB 20MG/500MG/4	HELIDAC TRIPLE THERAPY  PACK_TABLET OMEPRAZOLE	20	MG				OMEPRAZOLE				
24437	LOSEC HELICOPAK TAB/CAP/TAB 20MG/500MG/4	HELIDAC TRIPLE THERAPY  PACK_TABLET AMOXYCILLIN	500	MG				AMOXYCILLIN				
24437	LOSEC HELICOPAK TAB/CAP/TAB 20MG/500MG/4	HELIDAC TRIPLE THERAPY  PACK_TABLET METRONIDAZOL	250	MG				METRONIDAZOL				
24971	FEMOSTON 2/10 TABLET 2MG/0MG (14). 2MG/10MG (14)	FEMOSTON 2/10  PACK_TABLET 2MG/10MG					14	OESTRADIOL/DYDROGESTERONE	G03FB08	DYDROGESTERONE AND ESTROGEN	ABC	ABBOTT
24971	FEMOSTON 2/10 TABLET 2MG/0MG (14). 2MG/10MG (14)	FEMOSTON 2/10  PACK_TABLET 2MG	2	mg			14	OESTRADIOL	G03FB08	DYDROGESTERONE AND ESTROGEN	ABC	ABBOTT
2525	DOLASED DAY/NIGHT PAIN RELIEF TABLETS DAY: 500MG/9.6MG + NIGHT: 500MG/9.6MG/5.1MG	DOLASED DAY/NIGHT PAIN RELIEF TABLETS PACK_NIGHT: 500MG/9.6MG/5.1MG		mg		mg		PARACETAMOL/CODEINE/DOXYLAMINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
2525	DOLASED DAY/NIGHT PAIN RELIEF TABLETS DAY: 500MG/9.6MG + NIGHT: 500MG/9.6MG/5.1MG	DOLASED DAY/NIGHT PAIN RELIEF TABLETS PACK_DAY: 500MG/9.6MG		mg		mg		PARACETAMOL/CODEINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
26035	DAY & NIGHT COLD & FLU- DAY CAPSUL 500MG/30MG/1	DAY & NIGHT COLD & FLU CAPSULES - Day	500	mg	30	mg		DEXTROMETHORPHAN/PARACETAMOL/PSEUDOEPHEDRINE	N02BE51	"PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS"		
27696	NYAL SINUS RELIEF DAY & NIGHT TABLET DAY: 1G/500MG/1G + NIGHT: 1G/1G/500MG/400MG	NYAL SINUS RELIEF DAY & NIGHT PACK_NIGHT:  1G/1G/500MG/400MG						HORSERADISH/SALIX/SAMBUCUS/SCUTELLARIA	-1	UNKNOWN		
