FO_PRD_ID	PRD_NAME	MAST_PRD_NAME	DOSAGE	UNIT	DOSAGE2	UNIT2	MOL_EID	MOL_NAME	ATC_NAME	MANUFACTURER	INGREDIENT_NAME	BOX_SIZE	AMOUNT_VALUE	AMOUNT_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT
2050792	SALOFALKGRAN SACHET 3G 30 3G		0	unknown	0	unknown	0		UNKNOWN	ASPEN PHARMA PL	MESALAMINE	30	3	G				
2045819	SALOFALKGRAN SACHET 500MG 100 .5G		0	unknown	0	unknown	0		UNKNOWN	ASPEN PHARMA PL	MESALAMINE	100	0.5	G				
2046633	SALOFALKRECTAL FOAM 1G 14 80G		0	unknown	0	unknown	0		UNKNOWN	ASPEN PHARMA PL	MESALAMINE	14	80	G				
2050777	ALOGLIPTIN/METFORMF.C TABS 12.5MG /1G		0	unknown	0	unknown	0		UNKNOWN	GENERIC	METFORMIN		1	G				
2048757	CM METFORMINTABS 1000MG 90		0	unknown	0	unknown	0		UNKNOWN	APOTEX	METFORMIN	90	1000	MG				
2045490	CM METFORMINTABS 500MG 100		0	unknown	0	unknown	0		UNKNOWN	APOTEX	METFORMIN	100	500	MG				
2049776	CM METFORMINXR TABS 500MG 120		0	unknown	0	unknown	0		UNKNOWN	APOTEX	METFORMIN	120	500	MG				
2040198	DAPAGLIFLOZIN/METFORMINMR TABS 5MG /1G		0	unknown	0	unknown	0		UNKNOWN	GENERIC	METFORMIN		1	G				
2045794	DIABEXF.C TABS 1G 60		0	unknown	0	unknown	0		UNKNOWN	ALPHAPHARM	METFORMIN	60	1	G				
2041724	DIABEXF.C TABS 500MG 100		0	unknown	0	unknown	0		UNKNOWN	ALPHAPHARM	METFORMIN	100	500	MG				
2043912	DIABEXF.C TABS 850MG 60		0	unknown	0	unknown	0		UNKNOWN	ALPHAPHARM	METFORMIN	60	850	MG				
2048559	DIABEXXR TABS 1G 60		0	unknown	0	unknown	0		UNKNOWN	ALPHAPHARM	METFORMIN	60	1	G				
2046973	DIABEXXR TABS 500MG 90		0	unknown	0	unknown	0		UNKNOWN	ALPHAPHARM	METFORMIN	90	500	MG				
