CONCEPT_CODE	CONCEPT_NAME	CONCEPT_ID_2	CONCEPT_NAME_2	PRECEDENCE	CONVERSTION_FACTOR
	MEDIHALER EPI	19000100	Medihaler-Epi		
	MYLANTA P	19011151	Mylanta		
	AZAMUN	19013631	Azamune		
	VISIONEX	19014227	Visonex		
	GYNO-DAKTARIN 7	19014276	Gyno-Daktarin		
	XALAMOL	19015274	Salamol		
	SALAZOPYRIN-EN	19015277	Salazopyrin EN		
	SANDOMIGRAN	19015280	Sanomigran		
	METEX	19017090	Methex		
	ALDOMET M	19020292	Aldomet		
	MINOMYCIN	19022219	Minocin		
	TEGRETOL CR	19022793	Tegretol XR		
	FORADILE	19023132	Foradil		
	CORAS	19023478	Coraz		
	RENITEC M	19024123	Renitec		
	TAMATE	19029610	Tiamate		
	FELDENE D	19039185	Feldene		
	CAFERGOT S	19040432	Cafergot		
	NITRADISC	19042740	Nitrodisc		
	SANDIMMUN	19043916	Sandimmune		
	LOPRESOR	19045781	Lopressor		
	CELESTONE-M	19047752	Celestone		
	CELESTONE-V	19047752	Celestone		
	VOLTAREN OPHTHA	19052251	Voltaren Ophthalmic		
	ALBALON-A	19053072	Albalon		
	MINIMS PHENYLEPHRINE HCL	19053468	Minims Phenylephrine		
	BISALAX	19056785	Bisolax		
	DE-GAS	19060746	Degas		
	MONISTAT DERM	19062677	Monistat-Derm		
	FLUOTEX	19065968	Flutex		
	HARMONY	19068105	Harmonyl		
	HYCOR	19068794	Hycort		
	IONIL-T PLUS	19069970	Ionil Plus		
	ACTION	19071003	Acticon		
	PREFRIN-Z	19078118	Prefrin		
	PURI-NETHOL	19078977	Purinethol		
	ROBITUSSIN PS	19080141	Robitussin		
	SUDAFED 12 HOURS	19081754	Sudafed 12-Hour		
	SUPERFADE	19082019	Superfed		
	ISOPTO CARPINE	19083762	Isoptocarpine		
	THYMOGLOBULINE	19087946	Thymoglobulin		
	GAVISCON P	19097662	Gaviscon		
	SINEMET M	19100380	Sinemet		
	FLIXOTIDE NEBULES	19100456	Flixotide Nebule		
	CORDILOX SR	19100477	Cordilox MR		
	PULMICORT TURBUHALER	19100693	Pulmicort Turbohaler		
	BECOTIDE ROTACAPS	19100793	Becotide Rotacap		
	NICABATE P	19101357	Nicabate		
	OXIS TURBUHALER	19101460	Oxis Turbohaler		
	THERA TEARS NUTRITION	19103006	TheraTears Nutrition		
	CIPROFLOXACIN	19113448	Ciproflaxacin		
	CITALOPRAM AN	19113501	Citalopraam		
	CITALOPRAM-GA	19113501	Citalopraam		
	CAPTOPRIL	19113586	Capropril		
	CLOPIXOL-ACUPHASE	19122263	Clopixol Acuphase		
	FOSAMAX PLUS D-CAL	19123209	Fosamax Plus D		
	ONDANSETRON	19124463	Ondanestron		
	COQ10	19131388	Co-Q10		
	AMOXIL PAEDIATRIC DROPS	19135948	Amoxil Pediatric Drops		
	QUESTRAN LITE	19136011	Questran Light		
	DUAC ONCE DAILY GEL	21014386	Duac Once Daily		
	VITALIPID N ADULT	21014427	Vitlipid N Adult		
	NEXIUM IV	21014464	Nexium I.V		
	RESONIUM-A	21014528	Resonium A		
	NICORETTE FRESHMINT GUM	21014590	Nicorette Freshmint		
	MICROGYNON 30	21014736	Microgynon		
	MICROGYNON 50	21014736	Microgynon		
	COLD & FLU RELIEF	21014786	Cold and Flu Relief		
	BONJELA TEETHING GEL	21014823	Bonjela Teething		
	CILICAINE V	21014841	Cilicaine		
	ACTONEL ONCE-A-WEEK	21014924	Actonel Once a Week		
	MOVICOL HALF	21014981	Movicol-Half		
	ROBITUSSIN DRY COUGH FORTE	21015173	Robitussin Dry Cough		
	TRIMINULET	21015267	Tri-Minulet		
	ACTONEL COMBI D	21015715	Actonel Combi		
	NICORETTE CITRUS GUM	21015915	Nicorette Citrus		
	MINIMS ARTIFICIAL TEARS	21016137	Minims artificial ts		
	NUROFEN COLD & FLU PE	21016156	Nurofen Cold & Flu Relief		
