concept_code	concept_name
A04.70	Enterocolitis due to Clostridium difficile without megacolon, without other organ complications
A04.71	Enterocolitis due to Clostridium difficile without megacolon, with other organ complications
A04.72	Enterocolitis due to Clostridium difficile with megacolon, without other organ complications
A04.73	Enterocolitis due to Clostridium difficile with megacolon, with other organ complications
A04.79	Clostridium difficile enterocolitis, unspecified
A31.80	Disseminated atypical mycobacteriosis
A31.88	Other mycobacterial infections
A41.51	Sepsis: Escherichia coli [E. coli]
A41.52	Sepsis: Pseudomonas
A41.58	Sepsis: Other gram-negative pathogens
B18.11	Chronic viral hepatitis B without Delta virus, phase 1
B18.12	Chronic viral hepatitis B without Delta virus, phase 2
B18.13	Chronic viral hepatitis B without Delta virus, phase 3
B18.14	Chronic viral hepatitis B without Delta virus, phase 4
B18.19	Chronic viral hepatitis B without Delta virus, phase unspecified
B25.80	Infection of the digestive tract by cytomegalovirus
B25.88	Other cytomegaly
B37.81	Candida esophagitis
B37.88	Candidiasis in other locations
B95.41	Streptococci, group C, as the cause of diseases classified in other chapters
B95.42	Streptococci, group G, as the cause of diseases classified in other chapters
B95.48	Other specified streptococci as a cause of diseases classified in other chapters
B95.9	Other specified gram-positive pathogens causing diseases that are classified in other chapters
B95.90	Other specified gram-positive aerobic pathogens causing diseases that are classified in other chapters
B95.91	Other specified gram-positive anaerobic, non-spore forming pathogens causing diseases that are classified in other chapters
B96.81	Helicobacter pylori [H. pylori] as the cause of diseases that are classified in other chapters
B96.88	Other specified bacteria as the cause of diseases that are classified in other chapters
C41.01	Malignant neoplasm of bone and articular cartilage: craniofacial
C41.02	Malignant neoplasm of bone and articular cartilage: maxillofacial
C41.30	Malignant growth of bone and articular cartilage: ribs
C41.31	Malignant neoplasm of bone and articular cartilage: sternum
C41.32	Malignant neoplasm of bone and articular cartilage: clavicle
C79.81	Secondary malignant neoplasm of the mammary gland
C79.82	Secondary malignant neoplasm of the genital organs
C79.83	Secondary malignant neoplasm of the pericardium
C79.84	Other secondary malignant neoplasm of the heart
C79.85	Secondary malignant neoplasm of connective tissue and other soft tissues of the neck
C79.86	Secondary malignant neoplasm of connective tissue and other soft tissues of the extremities
C79.88	Secondary malignant neoplasm in other specified locations
C88.00	Macroglobulinemia Waldenstr?m: No information about complete remission
C88.01	Macroglobulinemia Waldenstr?m: In complete remission
C88.10	Alpha heavy chain disease: No complete remission reported
C88.11	Alpha Heavy Chain Disease: In Complete Remission
C88.20	Other heavy chain disease: No information about complete remission
C88.21	Other heavy chain disease: in complete remission
C88.30	Immunoproliferative disease of the small intestine: No indication of complete remission
C88.31	Immunoproliferative Small Intestine Disease: In Complete Remission
C88.40	Extranodal marginal zone B-cell lymphoma of the mucosa-associated lymphoid tissue [MALT lymphoma]: No information about complete remission
C88.41	Extranodal marginal zone B-cell lymphoma of the mucosa-associated lymphoid tissue [MALT lymphoma]: In complete remission
C88.70	Other malignant immunoproliferative diseases: No indication of complete remission
C88.71	Other malignant immunoproliferative diseases: In complete remission
C88.90	Malignant immunoproliferative disease, unspecified: No complete remission stated
C88.91	Malignant immunoproliferative disease, unspecified: in complete remission
C90.00	Multiple myeloma: No complete remission stated
C90.01	Multiple myeloma: in complete remission
C90.10	Plasma cell leukemia: No indication of complete remission
C90.11	Plasma cell leukemia: in complete remission
C90.20	Extramedullary plasmacytoma: No details of complete remission
C90.21	Extramedullary plasmacytoma: in complete remission
C90.30	Solitary plasmacytoma: no complete remission stated
C90.31	Solitary plasmacytoma: in complete remission
C91.00	Acute lymphocytic leukemia [ALL]: No details of complete remission
C91.01	Acute lymphoblastic leukemia [ALL]: In complete remission
C91.10	Chronic lymphocytic leukemia of the B-cell type [CLL]: No indication of complete remission
C91.11	Chronic lymphocytic leukemia of the B-cell type [CLL]: In complete remission
C91.20	Subacute lymphoblastic leukemia: No information about complete remission
C91.21	Subacute lymphoblastic leukemia: in complete remission
C91.30	B-cell type prolymphocytic leukemia: No complete remission stated
