"ICDO3.2"	"Level"	"Term"	"Code reference"	"obs"	"See also"	"See note"	"Includes"	"Excludes"	"Other text"
	1	"MORPHOLOGY"							
"800"	2	"Neoplasms, NOS"							
"8000/0"	"Preferred"	"Neoplasm, benign"							
"8000/0"	"Synonym"	"Tumor, benign"							
"8000/0"	"Synonym"	"Unclassified tumor, benign"							
"8000/1"	"Preferred"	"Neoplasm, uncertain whether benign or malignant"							
"8000/1"	"Synonym"	"Neoplasm, NOS"							
"8000/1"	"Synonym"	"Tumor, NOS"							
"8000/1"	"Synonym"	"Unclassified tumor, borderline malignancy"							
"8000/1"	"Synonym"	"Unclassified tumor, uncertain whether benign or malignant"							
"8000/3"	"Preferred"	"Neoplasm, malignant"							
"8000/3"	"Synonym"	"Blastoma, NOS"							
"8000/3"	"Synonym"	"Tumor, malignant, NOS"							
"8000/3"	"Synonym"	"Cancer"							
"8000/3"	"Synonym"	"Malignancy"							
"8000/3"	"Synonym"	"Unclassified tumor, malignant"							
"8000/6"	"Preferred"	"Neoplasm, metastatic"							
"8000/6"	"Synonym"	"Neoplasm, secondary"							
"8000/6"	"Synonym"	"Tumor embolus"							
"8000/6"	"Synonym"	"Tumor, metastatic"							
"8000/6"	"Synonym"	"Tumor, secondary"							
"8000/9"	"Preferred"	"Neoplasm, malignant, uncertain whether primary or metastatic"							
"8000/9"	"Synonym"	"Unclassified tumor, malignant, uncertain whether primary or metastatic"							
"8001/0"	"Preferred"	"Tumor cells, benign"							
"8001/1"	"Preferred"	"Tumor cells, uncertain whether benign or malignant"							
"8001/1"	"Synonym"	"Tumor cells, NOS"							
"8001/3"	"Preferred"	"Tumor cells, malignant"							
"8002/3"	"Preferred"	"Malignant tumor, small cell type"							
"8003/3"	"Preferred"	"Malignant tumor, giant cell type"							
"8004/3"	"Preferred"	"Malignant tumor, spindle cell type"							
"8004/3"	"Synonym"	"Malignant tumor, fusiform cell type"							
"8005/0"	"Preferred"	"Clear cell tumor, NOS"							
"8005/3"	"Preferred"	"Malignant tumor, clear cell type"							
"801-804"	2	"Epithelial neoplasms, NOS"							
"8010/0"	"Preferred"	"Epithelial tumor, benign"							
"8010/2"	"Preferred"	"Carcinoma in situ, NOS"							
"8010/2"	"Synonym"	"Intraepithelial carcinoma, NOS"							
"8010/3"	"Preferred"	"Carcinoma, NOS"							
"8010/3"	"Synonym"	"Epithelial tumor, malignant"							
"8010/3"	"Related"	"Heterotopia-associated carcinoma"							
"8010/6"	"Preferred"	"Carcinoma, metastatic, NOS"							
"8010/6"	"Synonym"	"Secondary carcinoma"							
"8010/9"	"Preferred"	"Carcinomatosis"							
"8011/0"	"Preferred"	"Epithelioma, benign"							
"8011/3"	"Preferred"	"Epithelioma, malignant"							
"8011/3"	"Synonym"	"Epithelioma, NOS"							
"8012/3"	"Preferred"	"Large cell carcinoma, NOS"							
"8013/3"	"Preferred"	"Large cell neuroendocrine carcinoma"							
"8013/3"	"Related"	"Combined large cell neuroendocrine carcinoma"							
"8014/3"	"Preferred"	"Large cell carcinoma with rhabdoid phenotype"							
"8015/3"	"Preferred"	"Glassy cell carcinoma"							
"8020/3"	"Preferred"	"Carcinoma, undifferentiated, NOS"							
"8020/3"	"Related"	"Carcinoma, poorly differentiated, NOS"							
"8020/3"	"Related"	"Anaplastic undifferentiated carcinoma"							
"8020/3"	"Related"	"Dedifferentiated carcinoma"							
"8021/3"	"Preferred"	"Carcinoma, anaplastic, NOS"							
"8022/3"	"Preferred"	"Pleomorphic carcinoma"							
"8023/3"	"Preferred"	"Nuclear protein in testis (NUT)-associated carcinoma"							
"8023/3"	"Synonym"	"NUT carcinoma"							
"8023/3"	"Synonym"	"NUT midline carcinoma"							
"8030/3"	"Preferred"	"Giant cell and spindle cell carcinoma"							
"8031/3"	"Preferred"	"Giant cell carcinoma"							
"8032/3"	"Preferred"	"Spindle cell carcinoma, NOS"							
"8033/3"	"Preferred"	"Pseudosarcomatous carcinoma"							
"8033/3"	"Synonym"	"Sarcomatoid carcinoma"							
"8034/3"	"Preferred"	"Polygonal cell carcinoma"							
"8035/3"	"Preferred"	"Carcinoma with osteoclast-like giant cells"							
"8035/3"	"Related"	"Squamous carcinoma with osteoclast-like giant cells"							
"8035/3"	"Related"	"Undifferentiated carcinoma with osteoclast-like giant cells"							
"8040/0"	"Preferred"	"Tumorlet, benign"							
"8040/0"	"Related"	"Diffuse idiopathic neuroendocrine cell hyperplasia"							
"8040/1"	"Preferred"	"Tumorlet, NOS"							
"8041/3"	"Preferred"	"Small cell carcinoma, NOS"							
"8041/3"	"Synonym"	"Reserve cell carcinoma"							
"8041/3"	"Synonym"	"Round cell carcinoma"							
"8041/3"	"Related"	"Small cell neuroendocrine carcinoma"							
"8041/3"	"Synonym"	"Small cell carcinoma, pulmonary type"							
"8042/3"	"Preferred"	"Oat cell carcinoma"	"(C34._)"	"[obs]"					
"8043/3"	"Preferred"	"Small cell carcinoma, fusiform cell"							
"8044/3"	"Preferred"	"Small cell carcinoma, intermediate cell"							
"8044/3"	"Related"	"Small cell carcinoma, hypercalcemic type"	"(C56.9)"						
"8045/3"	"Preferred"	"Combined small cell carcinoma"							
"8045/3"	"Synonym"	"Mixed small cell carcinoma"							
