DOSAGE	VOLUME	THIN_NAME	GEMSCRIPT_NAME	INGREDIENT_ID	THIN_CODE	GEMSCRIPT_CODE	INGREDIENT_CONCEPT_CODE	DOMAIN_ID
		Aglutella azeta crm filled wafers	AGLUTELLA AZETA crm FILLED WAFERS		99998992	1007		Device
		Aglutella azeta sticklets (bastoncini)	AGLUTELLA AZETA STICKLETS (BASTONCINI)		99997992	2007		Device
		Aglutella macaroni gm	AGLUTELLA MACARONI GM		99996992	3007		Device
		Aglutella semolina gm	AGLUTELLA SEMOLINA GM		99995992	4007		Device
		"Vitamin a, c / d / multivitamins / minerals tablets"	"Vitamin a, c / d / multivitamins / minerals tablets"		81339998	8021		Drug
		Interferon 1mu/ml injection	INTERFERON 1MU/ML INJ		99979992	20007		Drug
			NEUTROGENA SOAP (SCENTED)	997276		32007	Cimetidine	Device
		Polio vaccine vac	POLIO VACCINE VAC		99965992	34007		Drug
			BENZOCAINE/CHLORBUT/EPHED.HYD/PHENAZONE/ 1.4 % EAR	917006		35007	Benzocaine	Drug
			BENZOCAINE/CHLORBUT/EPHED.HYD/PHENAZONE/ 1.4 % EAR	19092412		35007	Chlorobutanol	Drug
			BENZOCAINE/CHLORBUT/EPHED.HYD/PHENAZONE/ 1.4 % EAR	1143374		35007	Ephedrine	Drug
		Benzocaine/ethyl nicotinate/hexyl nicoti 2 % cream	BENZOCAINE/ETHYL NICOTINATE/HEXYL NICOTI 2 % CRE	917006	99963992	36007	Benzocaine	Drug
		Benzocaine/ethyl nicotinate/hexyl nicoti 2 % cream	BENZOCAINE/ETHYL NICOTINATE/HEXYL NICOTI 2 % CRE	19055757	99963992	36007	ethylnicotinate	Drug
		Benzocaine/ethyl nicotinate/hexyl nicoti 2 % cream	BENZOCAINE/ETHYL NICOTINATE/HEXYL NICOTI 2 % CRE	19055496	99963992	36007	HEXYLNICOTINATE	Drug
200mg/ml		Hydrargaphen/dimethecone'350' .05 % cream	HYDRARGAPHEN/DIMETHECONE'350' .05 % CRE	43012316	99954992	45007	Dimethicone 350	Drug
0.5 mg/ml		Hydrargaphen/dimethecone'350' .05 % cream	HYDRARGAPHEN/DIMETHECONE'350' .05 % CRE		99954992	45007	Hydrargaphen	Drug
20 mcg	1 ml	Hepatitis B (rDNA) 20micrograms/1ml vaccine suspension for injection vials	HEPATITIS B ML VAC	43532406	99953992	46007	Hepatitis B Virus	Drug
200 mcg			Symbicort 200/6 Turbohaler (Sigma Pharmaceuticals Plc)	939259		47020	Budesonide	Drug
6 mcg			Symbicort 200/6 Turbohaler (Sigma Pharmaceuticals Plc)			47020	Formoterol	Drug
		Neutrogena oily skin soap	NEUTROGENA OILY SKIN SOAP		99951992	48007		Device
		Neutrogena night crm 60 ml lotion	NEUTROGENA NIGHT crm 60 ML LOT		99946992	53007		Device
25mg		Co-beneldopa 25mg/100mg capsules	LEVODOPA/BENSERAZIDE 100 MG TAB	19016463	99938992	61007	Benserazide	Drug
100mg		Co-beneldopa 25mg/100mg capsules	LEVODOPA/BENSERAZIDE 100 MG TAB	789578	99938992	61007	Levodopa	Drug
1.00%		Isopto epinal eye drops	ISOPTO EPINAL EYE DRO	1343916	99933992	66007	Epinephrine	Drug
		Industrial spirit liquid	INDUSTRIAL SPIRIT LIQ		99923992	76007		Device
		Caustic applicator 75 %	CAUSTIC APPLICATOR 75 %		99914992	85007		Device
		Caustic applicator 95 %	CAUSTIC APPLICATOR 95 %		99913992	86007		Device
		Caustic points 75 %	CAUSTIC POINTS 75 %		99912992	87007		Device
		Wysoy powder	WYSOY POW		99908992	91007		Device
		Aspirin/caffeine/dextropropoxyphene naps pul	ASPIRIN/CAFFEINE/DEXTROPROPOXYPHENE NAPS PUL	1112807	99904992	95007	Aspirin	Drug
		Aspirin/caffeine/dextropropoxyphene naps pul	ASPIRIN/CAFFEINE/DEXTROPROPOXYPHENE NAPS PUL	1134439	99904992	95007	Caffeine	Drug
		Aspirin/caffeine/dextropropoxyphene naps pul	ASPIRIN/CAFFEINE/DEXTROPROPOXYPHENE NAPS PUL	1153664	99904992	95007	Propoxyphene	Drug
		Aspirin/codeine phosphate/paracetamol 300 mg tablet	ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 300 MG TAB	1125315	99899992	100007	Acetaminophen	Drug
		Aspirin/codeine phosphate/paracetamol 300 mg tablet	ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 300 MG TAB	1112807	99899992	100007	Aspirin	Drug
		Aspirin/codeine phosphate/paracetamol 300 mg tablet	ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 300 MG TAB	1201620	99899992	100007	Codeine	Drug
		Hydrous wool fat	HYDROUS WOOL FAT		99897992	102007		Device
		Alum.hydroxide-mag.carbonate co-dried- d 300 mg tablet	ALUM.HYDROXIDE-MAG.CARBONATE CO-DRIED- D 300 MG TAB		99874992	125007		Drug
		Alginic ac./alum.hyd.dried /carben.sod/m mg tabl	ALGINIC AC./ALUM.HYD.DRIED /CARBEN.SOD/M M	19030059	99872992	127007	alginic acid	Drug
		Alginic ac./alum.hyd.dried /carben.sod/m mg tabl	ALGINIC AC./ALUM.HYD.DRIED /CARBEN.SOD/M M	985247	99872992	127007	Aluminum Hydroxide	Drug
		Alginic ac./alum.hyd.dried /carben.sod/m mg tabl	ALGINIC AC./ALUM.HYD.DRIED /CARBEN.SOD/M M	939863	99872992	127007	sodium carbonate	Drug
200mg		Alginic acid/dried alum hydroxide/light mg tablet	ALGINIC ACID/DRIED ALUM HYDROXIDE/LIGHT MG T	19030059	99869992	130007	alginic acid	Drug
80mg		Alginic acid/dried alum hydroxide/light mg tablet	ALGINIC ACID/DRIED ALUM HYDROXIDE/LIGHT MG T	985247	99869992	130007	Aluminum Hydroxide	Drug
		Alginic ac./alum.hydrox.gel dried/mag.tr mg tablet	ALGINIC AC./ALUM.HYDROX.GEL DRIED/MAG.TR MG TAB	19030059	99868992	131007	alginic acid	Drug
		Alginic ac./alum.hydrox.gel dried/mag.tr mg tablet	ALGINIC AC./ALUM.HYDROX.GEL DRIED/MAG.TR MG TAB	985247	99868992	131007	Aluminum Hydroxide	Drug
		Alginic ac./alum.hydrox.gel dried/mag.tr mg tablet	ALGINIC AC./ALUM.HYDROX.GEL DRIED/MAG.TR MG TAB	908730	99868992	131007	magnesium trisilicate	Drug
		Alginic ac./alum.hydrox.gel dried/mag.tr 600 mg tablet	ALGINIC AC./ALUM.HYDROX.GEL DRIED/MAG.TR 600 MG TAB		99867992	132007		Drug
5 g		Bephenium granules	ALCOPAR SACHETS 5 GM		99863992	136007	Bephenium Hydroxynapthoate	Drug
		Aproten butterscotch chip cookies	APROTEN BUTTERSCOTCH CHIP COOKIES		99862992	137007		Device
