"CONCEPT_CODE"	"concept_name_fr"	"concept_name_nl "	"MAPPED_ID"	"MAPPED_NAME"	"PRECEDENCE"
"gal00657"	"0,5% - 1/200 000 sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]"	"0,5% - 1/200 000 inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"19082103"	"Injectable Solution"	"1"
"gal00657"	"0,5% - 1/200 000 sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]"	"0,5% - 1/200 000 inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00657"	"0,5% - 1/200 000 sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]"	"0,5% - 1/200 000 inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"19082104"	"Injectable Suspension"	"3"
"gal00403"	"1% - 1/200 000 sol. inj. i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"1% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"19082103"	"Injectable Solution"	"1"
"gal00403"	"1% - 1/200 000 sol. inj. i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"1% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00403"	"1% - 1/200 000 sol. inj. i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"1% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"19082104"	"Injectable Suspension"	"3"
"gal00422"	"2/125 compr."	"2/125 tabl."	"19082573"	"Oral Tablet"	"1"
"gal00422"	"2/125 compr."	"2/125 tabl."	"19082079"	"Extended Release Oral Tablet"	"2"
"gal00422"	"2/125 compr."	"2/125 tabl."	"19001949"	"Delayed Release Oral Tablet"	"3"
"gal00398"	"2% - 1/200 000 sol. inj. i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"2% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"19082103"	"Injectable Solution"	"1"
"gal00398"	"2% - 1/200 000 sol. inj. i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"2% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00398"	"2% - 1/200 000 sol. inj. i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"2% - 1/200 000 inj. oploss. i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"19082104"	"Injectable Suspension"	"3"
"gal00499"	"40 + 10 mg / 1 ml susp. inj. lib. prol. i.artic./i.lés./i.burs./p.artic. [flac.]"	"40 + 10 mg / 1 ml inj. susp. verl. afgifte i.artic./i.laes./i.burs./p.artic. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00499"	"40 + 10 mg / 1 ml susp. inj. lib. prol. i.artic./i.lés./i.burs./p.artic. [flac.]"	"40 + 10 mg / 1 ml inj. susp. verl. afgifte i.artic./i.laes./i.burs./p.artic. [flac.]"	"46234469"	"Injection"	"2"
"gal00499"	"40 + 10 mg / 1 ml susp. inj. lib. prol. i.artic./i.lés./i.burs./p.artic. [flac.]"	"40 + 10 mg / 1 ml inj. susp. verl. afgifte i.artic./i.laes./i.burs./p.artic. [flac.]"	"19082104"	"Injectable Suspension"	"3"
"gal00503"	"gtts sol. auric."	"auric. druppels oploss."	"19082195"	"Otic Solution"	
"gal00565"	"gtts sol. (unidose) auric."	"auric. druppels oploss. (unidose)"	"19082195"	"Otic Solution"	
"gal00318"	"gtts susp. (pdr + solv.) auric./cut./nas./opht."	"auric./cut./nas./ocul. druppels susp. (pdr. + solv.)"	"46234410"	"Topical Suspension"	
"gal00172"	"gtts sol. auric./opht."	"auric./ocul. druppels oploss."	"19082110"	"Mucous Membrane Topical Solution"	
"gal00826"	"gtts susp. auric./opht. [sans cons.]"	"auric./ocul. druppels susp. [zonder bew.]"	"46234410"	"Topical Suspension"	
"gal00306"	"pommade auric./opht. [sans cons.]"	"auric./ocul. zalf [zonder bew.]"	"19082227"	"Topical Ointment"	
"gal00438"	"gran. efferv. (sachet)"	"bruisgran. (zakjes)"	"45775489"	"Granules for Oral Solution"	"1"
"gal00438"	"gran. efferv. (sachet)"	"bruisgran. (zakjes)"	"45775490"	"Granules for Oral Suspension"	"2"
"gal00822"	"gran. efferv. (sachet) Forte Citron"	"bruisgran. (zakjes) Forte Citron"	"19082651"	"Oral Granules"	
"gal00231"	"gran. efferv. (sachet) Forte Orange"	"bruisgran. (zakjes) Forte Orange"	"19082651"	"Oral Granules"	
"gal00655"	"gran. efferv. (sachet) Orange"	"bruisgran. (zakjes) Orange"	"19082651"	"Oral Granules"	
"gal00785"	"poudre efferv. (sachet)"	"bruispdr. (zakjes)"	"45775491"	"Powder for Oral Solution"	"1"
"gal00785"	"poudre efferv. (sachet)"	"bruispdr. (zakjes)"	"45775492"	"Powder for Oral Suspension"	"2"
"gal00294"	"compr. efferv."	"bruistabl."	"1592486"	"Tablet for Oral Suspension"	
"gal00046"	"compr. efferv. (séc.)"	"bruistabl. (deelb.)"	"1592486"	"Tablet for Oral Suspension"	
"gal00509"	"compr. efferv. (séc.) Dryfiz"	"bruistabl. (deelb.) Dryfiz"	"1592486"	"Tablet for Oral Suspension"	
"gal00062"	"compr. efferv. (séc.) Forte"	"bruistabl. (deelb.) Forte"	"1592486"	"Tablet for Oral Suspension"	
"gal00501"	"compr. efferv. Forte Orange"	"bruistabl. Forte Sinaasappel"	"1592486"	"Tablet for Oral Suspension"	
"gal00568"	"compr. efferv. Soluble"	"bruistabl. Soluble"	"1592486"	"Tablet for Oral Suspension"	
"gal00660"	"film bucc."	"bucc. film"	"40164192"	"Buccal Film"	"1"
"gal00660"	"film bucc."	"bucc. film"	"40175589"	"Buccal Tablet"	"2"
"gal00823"	"sol. bucc. [ser. préremplie]"	"bucc. oploss. [voorgev. spuit]"	"19082170"	"Oral Solution"	
"gal00821"	"sol. spray bucc."	"bucc. spray oploss."	"19082170"	"Oral Solution"	
"gal00227"	"gtts sol. bucc./or."	"bucc./or. druppels oploss."	"19082170"	"Oral Solution"	"1"
"gal00026"	"crème"	"crème"	"19082224"	"Topical Cream"	"1"
"gal00026"	"crème"	"crème"	"19082169"	"Oral Cream"	"2"
"gal00373"	"crème (sachet)"	"crème (zakjes)"	"19082224"	"Topical Cream"	
"gal00363"	"crème Labialis"	"crème Labialis"	"19082224"	"Topical Cream"	
"gal00601"	"crème Lipid"	"crème Lipid"	"19082224"	"Topical Cream"	
"gal00161"	"crème Lipocrème"	"crème Lipocrème"	"19082224"	"Topical Cream"	
"gal00574"	"émuls. cut."	"cut. emuls."	"46234410"	"Topical Suspension"	
"gal00310"	"émuls. cut. Crelo"	"cut. emuls. Crelo"	"46234410"	"Topical Suspension"	
"gal00336"	"emplâtre médic. cut."	"cut. medic. pleister"	"19082229"	"Transdermal System"	
