"CONCEPT_CODE"	"CONCEPT_NAME"	"MAPPED_ID"	"MAPPED_NAME"	"PRECEDENCE"						
"stof02334"	"abacavir hydrochloride"	1736971	"abacavir"	1						
"stof00004"	"abacavir sulfaat"	1736971	"abacavir"	1						
"stof00005"	"abatacept"	1186087	"abatacept"	1						
"stof00008"	"abirateron acetaat"	40239056	"abiraterone"	1						
"stof00010"	"acamprosaat calcium"	19043959	"acamprosate"	1						
"stof00011"	"acarbose"	1529331	"Acarbose"	1						
"stof00013"	"acebutolol hydrochloride"	1319998	"Acebutolol"	1						
"stof00014"	"aceclofenac"	19029393	"aceclofenac"	1						
"stof00230"	"Bordetella pertussis (antigenen)"	529218	"acellular pertussis vaccine, inactivated"	1						
"stof00015"	"acenocoumarol"	19024063	"Acenocoumarol"	1						
"stof01363"	"paracetamol"	1125315	"Acetaminophen"	1						
"stof00016"	"acetazolamide"	929435	"Acetazolamide"	1						
"stof00017"	"acetazolamide natrium"	929435	"Acetazolamide"	1						
"stof00155"	"azijnzuur"	929549	"Acetic Acid"	1						
"stof00018"	"acetylcysteïne"	1139042	"Acetylcysteine"	1						
"stof00023"	"acipimox"	19029644	"acipimox"	1						
"stof00024"	"acitretine"	929638	"Acitretin"	1						
"stof00025"	"aclidinium bromide"	42873639	"aclidinium"	1						
"stof00811"	"geactiveerde kool"	1701928	"Activated Charcoal"	1						
"stof00021"	"aciclovir"	1703687	"Acyclovir"	1						
"stof00022"	"aciclovir natrium"	1703687	"Acyclovir"	1						
"stof00028"	"adalimumab"	1119119	"adalimumab"	1						
"stof00029"	"adapaleen"	981774	"adapalene"	1						
"stof00031"	"adefovir dipivoxil"	1729323	"adefovir"	1						
"stof00032"	"adenosine"	1309204	"Adenosine"	1						
"stof00211"	"bijnierschors (extract)"	19061053	"Adrenal cortex extract"	1						
"stof01872"	"afatinib dimaleaat"	43533090	"Afatinib"	1						
"stof00037"	"aflibercept"	40244266	"aflibercept"	1						
"stof00038"	"agalsidase alfa"	36878851	"Agalsidase alfa"	1						
"stof00039"	"agalsidase bèta"	1525746	"agalsidase beta"	1						
"stof00040"	"agomelatine"	36878783	"Agomelatine"	1						
"stof01581"	"salbutamol sulfaat"	1154343	"Albuterol"	1						
