product_desc	form_desc	dosage	dosage_add	volume	packsize	claatc	pfc	molecule	cd_nfc_3	english	lb_nfc_3	descr_pck	strg_unit	strg_meas
PARFENAC	CREME	5%	NULL	30G	1	D04A0	6462350	BUFEXAMAC	MTA	External Form	CREME         A USA.EXT.	CREME 5% 30G	5	%
ACUILIX	CPR PEL SEC	NULL	NULL	NULL	28	C09B1	1053003	HYDROCHLOROTHIAZIDE+QUINAPRIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 28	NULL	NULL
BEDELIX	SACH PDR	3000MG	NULL	4.13G	30	A07B0	1061860	MONTMORILLONITE	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 3000MG 30 4.13G	3000	MG
BIAFINE	EMULS	0.67%	NULL	93G	1	D03A9	1166050	TROLAMINE	MGL	External Form	EMULSION      A USA.EXT.	EMULS .67% 93G	0.67	%
BIOCALYPTOL PHOLCO	SP	NULL	NULL	200ML	1	R05D2	1214427	GUAIACOL+CINEOLE+PHOLCODINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 200ML	NULL	NULL
VENIRENE GE	CPR PELLIC	600MG	NULL	NULL	30	C05C0	1252405	DIOSMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 600MG 30	600	MG
LOGIMAX	LP CPR5/47.5	NULL	NULL	NULL	28	C08B2	1258202	METOPROLOL+FELODIPINE	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR 5/47.5MG 28	NULL	NULL
ZOLOFT	GELULE	50MG	NULL	NULL	28	N06A4	1293603	SERTRALINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 50MG 28	50	MG
SAVARINE	CPR	NULL	NULL	NULL	28	P01D2	1372602	PROGUANIL+CHLOROQUINE	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR 28	NULL	NULL
LECTIL	CPR	8MG	NULL	NULL	30	N07C0	1385402	BETAHISTINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 8MG 30	8	MG
ZELITREX	CPR ENROB	500MG	NULL	NULL	10	J05B3	1405003	VALACICLOVIR	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 500MG 10	500	MG
OMIX	LP GELULES	0.4MG	NULL	NULL	30	G04C2	1405101	TAMSULOSIN	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES .4MG 30	0.4	MG
CACIT	CPR EFFVT	1000MG	ADLT	NULL	30	A12A0	1545145	CITRIC ACID+CALCIUM	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 1000MG AD 30	1000	MG
FENOFIBRATE TEVA	GELULE	200MG	NULL	NULL	30	C10A2	1580307	FENOFIBRATE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 200MG 30	200	MG
IXEL	GELULES	50MG	NULL	NULL	56	N06A5	1582803	MILNACIPRAN	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULES 50MG 56	50	MG
CALCIUM SANDOZ	CPR EFFVT	500MG	FORT	NULL	20	A12A0	1584077	CALCIUM	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 500MG FORT 20	500	MG
AMAREL	CPR	4MG	NULL	NULL	30	A10H0	1644407	GLIMEPIRIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 4MG 30	4	MG
STALTOR	CPR	0.3MG	NULL	NULL	28	C10A1	1709402	CERIVASTATIN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR .3MG 28	0.3	MG
PARACETAMOL BIOGAR	CPR	500MG	NULL	NULL	16	N02B0	1711301	PARACETAMOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 500MG 16	500	MG
SINGULAIR	CPR A CROQ	5MG	NULL	NULL	28	R03J2	1786701	MONTELUKAST	AAG	Oral Solid Immediate	CPR MACHER  OR.SOL.INST.	CPR A CROQ 5MG 28	5	MG
NARAMIG	CPR PELLIC	2.5MG	NULL	NULL	2	N02C1	1848901	NARATRIPTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 2.5MG 2	2.5	MG
BECLO RHINO GE	FL PULV 200D	0.05MG	NULL	26ML	1	R01A1	1892302	BECLOMETASONE	QGP	Rhinology Local	SOLUTION-DOSE.RHINOL.LOC	FL PULV 200D .05MG /DOS 26ML	0.05	MG
