relationship_id,relationship_name,is_hierarchical,defines_ancestry,reverse_relationship,concept_id
LOINC replaced by,Concept replaced by (LOINC),0,0,LOINC replaces,44818714
Has precise ing,Has precise ingredient (RxNorm),0,0,Precise ing of,44818715
Has tradename,Has tradename (RxNorm),0,1,Tradename of,44818716
RxNorm has dose form,Has dose form (RxNorm),1,0,RxNorm dose form of,44818717
Has form,Has form (RxNorm),0,0,Form of,44818718
RxNorm has ing,Has ingredient (RxNorm),1,0,RxNorm ing of,44818719
Constitutes,Constitutes (RxNorm),1,1,Consists of,44818720
Contains,Contains (RxNorm),1,0,Contained in,44818721
Reformulation of,Reformulation of (RxNorm),0,0,Reformulated in,44818722
Subsumes,Subsumes,1,1,Is a,44818723
NDFRT has dose form,Has dose form (NDF-RT),1,0,NDFRT dose form of,44818724
Induces,Induces (NDF-RT),1,0,Induced by,44818725
May diagnose,May diagnose (NDF-RT),1,0,Diagnosed through,44818726
Has physio effect,Has physiological effect (NDF-RT),1,0,Physiol effect by,44818727
Has CI physio effect,Has contraindicating physiological effect (NDF-RT),1,0,CI physiol effect by,44818728
NDFRT has ing,Has ingredient (NDF-RT),1,0,NDFRT ing of,44818729
Has CI chem class,Has contraindicating chemical class (NDF-RT),1,0,CI chem class of,44818730
Has MoA,Has mechanism of action (NDF-RT),1,0,MoA of,44818731
Has CI MoA,Has contraindicating mechanism of action (NDF-RT),1,0,CI MoA of,44818732
Has PK,Has pharmacokinetics (NDF-RT),1,0,PK of,44818733
May treat,May treat (NDF-RT),1,0,May be treated by,44818734
CI to,Contraindication to (NDF-RT),1,0,CI by,44818735
May prevent,May prevent (NDF-RT),1,0,May be prevented by,44818736
Has metabolites,Has active metabolites (NDF-RT),1,0,Metabolite of,44818737
Has metabolism,Has site of metabolism (NDF-RT),1,0,Metabolism of,44818738
May be inhibited by,Effect may be inhibited by (NDF-RT),1,0,Inhibits effect,44818739
Has chem structure,Has chemical structure (NDF-RT),1,0,Chem structure of,44818740
NDFRT - RxNorm eq,NDF-RT to RxNorm equivalent (RxNorm),0,1,RxNorm - NDFRT eq,44818741
Has recipient cat,Has recipient category (SNOMED),0,0,Recipient cat of,44818742
Has proc site,Has procedure site (SNOMED),0,0,Proc site of,44818743
Has priority,Has priority (SNOMED),0,0,Priority of,44818744
Has pathology,Has pathological process (SNOMED),0,0,Pathology of,44818745
Has part of,Has part of (SNOMED),0,0,Part of,44818746
Has severity,Has severity (SNOMED),0,0,Severity of,44818747
Has revision status,Has revision status (SNOMED),0,0,Revision status of,44818748
Has access,Has access (SNOMED),0,0,Access of,44818749
Has occurrence,Has occurrence (SNOMED),0,0,Occurrence of,44818750
Has method,Has method (SNOMED),0,0,Method of,44818751
Has laterality,Has laterality (SNOMED),0,0,Laterality of,44818752
Has interprets,Has interprets (SNOMED),0,0,Interprets of,44818753
Has indir morph,Has indirect morphology (SNOMED),0,0,Indir morph of,44818754
Has indir device,Has indirect device (SNOMED),0,0,Indir device of,44818755
Has specimen,Has specimen (SNOMED),0,0,Specimen of,44818756
Has interpretation,Has interpretation (SNOMED),0,0,Interpretation of,44818757
Has intent,Has intent (SNOMED),0,0,Intent of,44818758
Has focus,Has focus (SNOMED),0,0,Focus of,44818759
Has manifestation,Has definitional manifestation (SNOMED),0,0,Manifestation of,44818760
Has active ing,Has active ingredient (SNOMED),0,0,Active ing of,44818761
Has finding site,Has finding site (SNOMED),0,0,Finding site of,44818762
Has episodicity,Has episodicity (SNOMED),0,0,Episodicity of,44818763
Has dir subst,Has direct substance (SNOMED),0,0,Dir subst of,44818764
Has dir morph,Has direct morphology (SNOMED),0,0,Dir morph of,44818765
Has dir device,Has direct device (SNOMED),0,0,Dir device of,44818766
Has component,Has component (SNOMED),0,0,Component of,44818767
Has causative agent,Has causative agent (SNOMED),0,0,Causative agent of,44818768
Has asso morph,Has associated morphology (SNOMED),0,0,Asso morph of,44818769
Has asso finding,Has associated finding (SNOMED),0,0,Asso finding of,44818770
Has measurement,Has measurement method (SNOMED),0,0,Measurement of,44818771
Has property,Has property (SNOMED),0,0,Property of,44818772
Has scale type,Has scale type (SNOMED),0,0,Scale type of,44818773
Has time aspect,Has time aspect (SNOMED),0,0,Time aspect of,44818774
Has specimen proc,Has specimen procedure (SNOMED),0,0,Specimen proc of,44818775
Has specimen source,Has specimen source identity (SNOMED),0,0,Specimen identity of,44818776
Has specimen morph,Has specimen source morphology (SNOMED),0,0,Specimen morph of,44818777
Has specimen topo,Has specimen source topography (SNOMED),0,0,Specimen topo of,44818778
Has specimen subst,Has specimen substance (SNOMED),0,0,Specimen subst of,44818779
Has due to,Has due to (SNOMED),0,0,Due to of,44818780
Has relat context,Has subject relationship context (SNOMED),0,0,Relat context of,44818781
Has dose form,Has dose form (SNOMED),0,0,Dose form of,44818782
Occurs after,Occurs after (SNOMED),0,0,Occurs before,44818783
Has asso proc,Has associated procedure (SNOMED),0,0,Asso proc of,44818784
Has dir proc site,Has direct procedure site (SNOMED),0,0,Dir proc site of,44818785
Has indir proc site,Has indirect procedure site (SNOMED),0,0,Indir proc site of,44818786
Has proc device,Has procedure device (SNOMED),0,0,Proc device of,44818787
Has proc morph,Has procedure morphology (SNOMED),0,0,Proc morph of,44818788
Has finding context,Has finding context (SNOMED),0,0,Finding context of,44818789
Has proc context,Has procedure context (SNOMED),0,0,Proc context of,44818790
Has temporal context,Has temporal context (SNOMED),0,0,Temporal context of,44818791
Asso with finding,Associated with (SNOMED),0,0,Findinga sso with,44818792
Has surgical appr,Has surgical approach (SNOMED),0,0,Surgical appr of,44818793
Using device,Using device (SNOMED),0,0,Device used by,44818794
Using energy,Using energy (SNOMED),0,0,Energy used by,44818795
Using subst,Using substance (SNOMED),0,0,Subst used by,44818796
Using acc device,Using access device (SNOMED),0,0,Acc device used by,44818797
Has clinical course,Has clinical course (SNOMED),0,0,Clinical course of,44818798
Has route of admin,Has route of administration (SNOMED),0,0,Route of admin of,44818799
Using finding method,Using finding method (SNOMED),0,0,Finding method of,44818800
Using finding inform,Using finding informer (SNOMED),0,0,Finding inform of,44818801
ICD9P - SNOMED eq,ICD-9-Procedure to SNOMED equivalent (OMOP),1,0,SNOMED - ICD9P eq,44818802
CPT4 - SNOMED cat,CPT-4 to SNOMED category (OMOP),1,0,SNOMED cat - CPT4,44818803
CPT4 - SNOMED eq,CPT-4 to SNOMED equivalent (OMOP),0,0,SNOMED - CPT4 eq,44818804
