invalid_reason,id,code,name,concept_class,secondary_domain,concept_domain
,2106386,3120F,12-Lead ECG Performed (EM),Quality Metric,,Observation
,2212537,84143,17-hydroxypregnenolone,Measurement,,Measurement
,2211716,76376,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality; not requiring image postprocessing on an independent workstation",Procedure,,Procedure
,2211717,76377,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality; requiring image postprocessing on an independent workstation",Procedure,,Procedure
D,2521993,9C,"ABCB1, commonly called MDR1 or p-glycoprotein (drug transport)",Measurement,,Measurement
,2108486,38747,"Abdominal lymphadenectomy, regional, including celiac, gastric, portal, peripancreatic, with or without para-aortic and vena caval nodes (List separately in addition to code for primary procedure)",Procedure,,Procedure
,42742540,49083,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance,Procedure,,Procedure
,42742539,49082,Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance,Procedure,,Procedure
,2109752,51845,"Abdomino-vaginal vesical neck suspension, with or without endoscopic control (eg, Stamey, Raz, modified Pereyra)",Procedure,,Procedure
,2106908,32998,"Ablation therapy for reduction or eradication of one or more pulmonary tumor(s) including pleura or chest wall when involved by tumor extension, percutaneous, radiofrequency, unilateral",Procedure,,Procedure
,2103013,20982,"Ablation, bone tumor(s) (eg, osteoid osteoma, metastasis) radiofrequency, percutaneous, including computed tomographic guidance",Procedure,,Procedure
U,42740942,0120T,"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma",Procedure,,Procedure
,2102676,19105,"Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma",Procedure,,Procedure
,2109341,47382,"Ablation, one or more liver tumor(s), percutaneous, radiofrequency",Procedure,,Procedure
,2109636,50592,"Ablation, one or more renal tumor(s), percutaneous, unilateral, radiofrequency",Procedure,,Procedure
,2109340,47381,"Ablation, open, of one or more liver tumor(s); cryosurgical",Procedure,,Procedure
,2109339,47380,"Ablation, open, of one or more liver tumor(s); radiofrequency",Procedure,,Procedure
,2109575,50250,"Ablation, open, one or more renal mass lesion(s), cryosurgical, including intraoperative ultrasound, if performed",Procedure,,Procedure
U,42741007,0135T,"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy",Procedure,,Procedure
,2109637,50593,"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy",Procedure,,Procedure
,40757087,3293F,ABO and Rh blood typing documented as performed (Pre-Cr),Quality Metric,,Observation
,40757087,3293F,ABO and Rh blood typing documented as performed (Pre-Cr),Quality Metric,,Observation
,2102439,15787,Abrasion; each additional four lesions or less (List separately in addition to code for primary procedure),Procedure,,Procedure
,2102438,15786,"Abrasion; single lesion (eg, keratosis, scar)",Procedure,,Procedure
