CONCEPT_NAME	CONCEPT_ID_2
SILDENAFIL BIOGAR	43130956
SIMVASTATINE AUROB	43577590
SIMVASTATINE BIOG.	43130973
SIMVASTATINE EVOLU	43131199
SIMVASTATINE ISOM	43131201
SIMVASTATINE PFIZ	43131203
SIMVASTATINE PHR	43131204
SIMVASTATINE QUAL.	43131205
SINTROM	19026395
SKENAN LP	43131216
SOFRAMYCINE	19053857
SOLU MEDROL	19048391
SOLUCHROM	44022953
SOMATULINE LP	19015331
SOPHIDONE	43131242
SOTALOL EGN	43131253
SPAGULAX K	43131261
SPAGULAX MUCILAGE	43131262
SPIRAMYCINE BIOGAR	43131416
SPIRAMYCINE CRIST	43131417
SPIRONOLACTONE ACT	43131439
SPIRONOLACTONE AR.	43131448
SPIRONOLACTONE CRI	43131451
SPIRONOLACTONE EGN	43131452
SPIRONOLACTONE MYL	43131454
SPIRONOLACTONE PFZ	43131455
SPIRONOLACTONE SDZ	43131458
BALSOFUMINE MENTH	43126143
STER DEX	43131472
STERIMYCINE	43131480
STIPROX	43254084
STROPHANTUS COMP	43577505
SUCCINIMIDE PHARB.	43131731
SULFARLEM S 25	43131737
SUPRADYNE	43254100
SURFORTAN S	43131769
SYNACTHENE	21017071
TAMOFENE	19015514
TAMOXIFENE BIOGAR.	43132018
TAMOXIFENE RATIOP.	43132021
TAMSULOSINE ACTAVIS	43132025
TAMSULOSINE ALMUS	43132026
TAMSULOSINE ARROW	43132027
TAMSULOSINE BIOGAR.	43132028
TAMSULOSINE EG	43132029
TAMSULOSINE ISOMED	43132031
TAMSULOSINE MYLAN	43132032
TAMSULOSINE RANB	43132034
TAMSULOSINE SANDOZ	43132036
TAMSULOSINE SANDOZ	43576820
TAMSULOSINE TEVA	43132037
TAMSULOSINE ZENT	43132038
TANGANIL PRO	43132042
TARDYFERON 80	43132043
TARDYFERON 80	43132044
TARDYFERON B9	43132043
TARDYFERON B9	43132044
TEGRETOL LP	43132057
TELMISARTAN ACTAV	43132059
TELMISARTAN BIOGAR	43132060
TELMISARTAN CRIST	43132061
TELMISARTAN ZENT	43132068
TEMERIT DUO	43132080
TENORMINE	19022797
TENSOPHORIL	19054310
TERBINAFINE BAILLE	43127830
TERBINAFINE BIOGAR	43127831
TERBINAFINE CRIST	43127832
TERBINAFINE RATIO	43127839
TERBUTALINE BIOGAR	43127847
TERRAMYCINE	19044495
TETRAZEPAM BIOGAR.	43127857
TETRAZEPAM EGN	43127859
TETRAZEPAM RATIOP.	43127861
THAIS SEPT	43127869
TOPICORTE	19082982
TOPSYNE	44022003
TRAMADOL CRISTERS	43128200
TRAMADOL EGN	43128201
TRAMADOL EGN	43128202
BENEMIDE	19021040
TRAMADOL RANBAXY	43128210
TRANDOLAPRIL ACTAV	43128490
TRANDOLAPRIL BIOG	43128492
TRANDOLAPRIL QUAL	43128495
TRANDOLAPRIL RATIO	43128496
TRANDOLAPRIL SAND	43128497
TRIMEBUTINE ACTAV	43128521
TRIMEBUTINE ALS	43128522
TRIMEBUTINE CRIST	43128527
TRIMEBUTINE EGN	43128528
TRIMEBUTINE RAT	43128536
TRIMETAZIDINE ACT.	43128542
TRIMETAZIDINE BIOG	43128544
TRIMETAZIDINE CRIS	43128545
TRIMETAZIDINE MYL	43128548
TRIMETAZIDINE QUALI	43128549
TRIMETAZIDINE SAND.	43128551
TRIMINULET	21015267
