DOSE_FORM_NAME	CONCEPT_ID_2	PRECEDENCE	CONCEPT_NAME
Oral Metered Dose Topical Solution	19082170	1	Oral Solution
Oral Metered Dose Topical Solution	19082191	2	Oral Suspension
Oral Metered Dose Topical Solution	19082223	3	Syrup
Oral Oil	40228565	1	Oil
Oral Oil	19082191	2	Oral Suspension
Oral Paste	19095918	1	Oral Paste
Oral Paste	19082169	2	Oral Cream
Oral Powder with Delayed Release	19095976	1	Oral Powder
Oral Powder with Delayed Release	19082170	2	Oral Solution
Oral Powder, Solid Form	19095976	1	Oral Powder
Oral Powder, Solid Form	19082170	2	Oral Solution
Oral Soluble Powder	19095976	1	Oral Powder
Oral Soluble Powder	19082076	2	Disintegrating Oral Tablet
Oral Solution	19082170	1	Oral Solution
Oral Solution	19082191	2	Oral Suspension
Oral Solution	19082223	3	Syrup
Oral Solution for Rinsing	19082170	1	Oral Solution
Oral Solution for Rinsing	19082191	2	Oral Suspension
Oral Solution for Rinsing	19082223	3	Syrup
Oral Solution in Bag	19082170	1	Oral Solution
Oral Solution in Bag	19082191	2	Oral Suspension
Oral Spray	19095911	1	Oral Spray
Oral Spray	19082170	2	Oral Solution
Oral Spray	19082191	3	Oral Suspension
Oral Sublingual Powder	19095976	1	Oral Powder
Oral Sublingual Powder	19082170	2	Oral Solution
Oral Sublingual Powder	19082285	3	Sublingual Tablet
Oral Sublingual Solution	19082170	1	Oral Solution
Oral Sublingual Solution	19082191	2	Oral Suspension
Oral Sublingual Solution	19082223	3	Syrup
Oral Suspension	19082170	1	Oral Solution
Oral Suspension	19082191	2	Oral Suspension
Oral Suspension	19082223	3	Syrup
Oral Syrup	19082170	1	Oral Solution
Oral Syrup	19082191	2	Oral Suspension
Oral Syrup	19082223	3	Syrup
Oral Tablet	19082079	2	Extended Release Oral Tablet
Oral Tablet	19082573	1	Oral Tablet
Oral Tablet	19082253	3	Oral Lozenge
Oral Tablet Disintegrating in Mouth	19082076	1	Disintegrating Oral Tablet
Oral Tablet Disintegrating in Mouth	19082573	2	Oral Tablet
Oral Tablet for Administration not to Human Being	19082573	1	Oral Tablet
Oral Topical Aerosol	19095911	1	Oral Spray
Oral Topical Aerosol	19095900	2	Mucosal Spray
Oral Topical Aerosol	19082170	3	Oral Solution
Oral Topical Cream	19082169	1	Oral Cream
Oral Topical Cream	19095975	2	Oral Ointment
Oral Topical Gel or Solution	19095916	1	Oral Gel
Oral Topical Gel or Solution	19082170	2	Oral Solution
Oral Topical Gel or Solution	19082191	3	Oral Suspension
Oral Topical Ointment	19095975	1	Oral Ointment
Oral Topical Ointment	19082169	2	Oral Cream
Oral Topical Ointment	19082191	3	Oral Suspension
Oral Topical Paste	19095918	1	Oral Paste
Oral Topical Paste	19095975	2	Oral Ointment
Oral Topical Paste	19082169	3	Oral Cream
Oral Topical Powder	19095976	1	Oral Powder
Oral Topical Powder	19082170	2	Oral Solution
Oral Topical Powder	19082223	3	Syrup
Oral Topical Solution	19082170	1	Oral Solution
Oral Topical Solution	19082191	2	Oral Suspension
Oral Topical Solution	19082223	3	Syrup
Oral Topical Solution in Drops	19082170	1	Oral Solution
Oral Topical Solution in Drops	19082191	2	Oral Suspension
Oral Topical Solution in Drops	19082223	3	Syrup
Oral Topical Spray	19095911	1	Oral Spray
Oral Topical Spray	19082170	2	Oral Solution
Oral Topical Spray	19082223	3	Syrup
Oral Unidose Solution	19082170	1	Oral Solution
Oral Unidose Solution	19082191	2	Oral Suspension
Oral Unidose Solution	19082223	3	Syrup
Oral Waffer	19082573	1	Oral Tablet
Oral Waffer	19082652	2	Oral Pellet
Oral Waffer	19082253	3	Oral Lozenge
Ordinary Auto-Injector for Parenteral Administration	46234466	1	Auto-Injector
Ordinary Auto-Injector for Parenteral Administration	19126920	2	Prefilled Syringe
Ordinary Auto-Injector for Parenteral Administration	19082103	3	Injectable Solution
Ordinary Auto-Injector for Parenteral Administration	46234469	4	Injection
Ordinary Prefilled Syringe	19126920	1	Prefilled Syringe
Ordinary Prefilled Syringe	46234469	2	Injection
Ordinary Prefilled Syringe	19082103	3	Injectable Solution
