CONCEPT_CODE	CONCEPT_NAME	CONCEPT_NAME_2	CONCEPT_ID	PRECEDENCE
GRF	Parenteral Retard Pre-Filled Pens	Auto-Injector	46234466	2
GRG	Parenteral Retard Dry Pre-Filled Pens	Injectable Solution	19082103	5
GRG	Parenteral Retard Dry Pre-Filled Pens	Prefilled Syringe	19126920	4
GRG	Parenteral Retard Dry Pre-Filled Pens	Pen Injector	46234467	1
GRG	Parenteral Retard Dry Pre-Filled Pens	Auto-Injector	46234466	2
GRG	Parenteral Retard Dry Pre-Filled Pens	Injectable Suspension	19082104	3
GRP	Parenteral Retard Unit Dose Cartridges	Prefilled Syringe	19126920	5
GRP	Parenteral Retard Unit Dose Cartridges	Drug Implant	19124968	2
GRP	Parenteral Retard Unit Dose Cartridges	Pen Injector	46234467	3
GRP	Parenteral Retard Unit Dose Cartridges	Auto-Injector	46234466	4
GRP	Parenteral Retard Unit Dose Cartridges	Cartridge	46234468	1
GYV	Parenteral Retard Implants	Drug Implant	19124968	1
HAX	Rectal Systemic Enema Tablets	Rectal Suspension	19082221	3
HAX	Rectal Systemic Enema Tablets	Rectal Solution	19082283	2
HAX	Rectal Systemic Enema Tablets	Enema	19082627	1
HAX	Rectal Systemic Enema Tablets	Enema	19082627	1
HCA	Rectal Systemic Capsules	Rectal Suppository	19082200	1
HGX	Rectal Systemic Enema Liquids	Topical Solution	19082228	2
HGX	Rectal Systemic Enema Liquids	Rectal Solution	19082283	1
HHP	Rectal Systemic Metered-Dose Pressurised Aerosols	Rectal Spray	19082199	1
HHP	Rectal Systemic Metered-Dose Pressurised Aerosols	Rectal Solution	19082283	2
HHT	Rectal Systemic Pressurised Foams	Rectal Foam	19082574	1
HHT	Rectal Systemic Pressurised Foams	Rectal Gel	19095917	2
HLA	Rectal Systemic Suppositories	Rectal Suppository	19082200	1
HLB	Rectal Systemic Adult Suppositories	Rectal Suppository	19082200	1
HLC	Rectal Systemic Paediatric Suppositories	Rectal Suppository	19082200	1
HLX	Rectal Systemic Micro-Enemas	Rectal Suspension	19082221	3
HLX	Rectal Systemic Micro-Enemas	Rectal Solution	19082283	2
HLX	Rectal Systemic Micro-Enemas	Enema	19082627	1
IGB	Nasal Systemic Drops	Inhalant Solution	19095898	1
IGB	Nasal Systemic Drops	Nasal Solution	19082165	2
IGB	Nasal Systemic Drops	Metered Dose Inhaler	19126918	4
IGB	Nasal Systemic Drops	Nasal Suspension	19095977	3
IGN	Nasal Systemic Unit Dose Liquids	Nasal Suspension	19095977	3
IGN	Nasal Systemic Unit Dose Liquids	Metered Dose Inhaler	19126918	4
IGN	Nasal Systemic Unit Dose Liquids	Nasal Solution	19082165	1
IGN	Nasal Systemic Unit Dose Liquids	Inhalant Solution	19095898	2
IGP	Nasal Systemic Metered-Dose Liquids	Nasal Spray	19011167	1
IGP	Nasal Systemic Metered-Dose Liquids	Nasal Suspension	19095977	5
IGP	Nasal Systemic Metered-Dose Liquids	Nasal Solution	19082165	4
IGP	Nasal Systemic Metered-Dose Liquids	Metered Dose Inhaler	19126918	3
IGP	Nasal Systemic Metered-Dose Liquids	Inhalant Solution	19095898	2
IHP	Nasal Systemic Unit Dose Aerosols	Metered Dose Inhaler	19126918	2
IHP	Nasal Systemic Unit Dose Aerosols	Inhalant Solution	19095898	1
JCV	Other Systemic Capsules for Topical Application	Oral Capsule	19082168	1
JCV	Other Systemic Capsules for Topical Application	Extended Release Oral Capsule	19082077	2
JCV	Other Systemic Capsules for Topical Application	Delayed Release Oral Capsule	19082255	3
JDY	Other Systemic Special Solids	Buccal Tablet	40175589	1
JDY	Other Systemic Special Solids	Oral Tablet	19082573	2
JEN	Other Systemic Unit Dose Powder Inhaler Refillable	Dry Powder Inhaler	19127579	2
JEN	Other Systemic Unit Dose Powder Inhaler Refillable	Inhalant	19018195	4
JEN	Other Systemic Unit Dose Powder Inhaler Refillable	Inhalant Powder	19082259	1
JEN	Other Systemic Unit Dose Powder Inhaler Refillable	Metered Dose Inhaler	19126918	3
JEY	Other Systemic Other Powders/Granules	Dry Powder Inhaler	19127579	1
JFA	Other Systemic Gases For Inhalation	Gas for Inhalation	19082258	
JGB	Other Systemic Drops	Injectable Solution	19082103	1
JGB	Other Systemic Drops	Injectable Suspension	19082104	2
JGC	Other Systemic Sprays Without Gas	Inhalant	19018195	3
JGC	Other Systemic Sprays Without Gas	Inhalant Solution	19095898	4
JGC	Other Systemic Sprays Without Gas	Powder Spray	19082281	5
JGC	Other Systemic Sprays Without Gas	Nasal Inhalant	19082162	6
