Drug_code	drug_form	form_code	ingredient	dosage	volume	ingr_nature	comp_number
60002283	comprimé	42215	ANASTROZOLE	"1,00 mg"	un comprimé	SA	1
60002504	comprimé	25783	RANITIDINE (CHLORHYDRATE DE)	168 mg	un comprimé	SA	1
60002504	comprimé	49632	RANITIDINE BASE	150 mg	un comprimé	FT	1
60002746	granules	5319	ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	7
60002746	solution buvable en gouttes	5319	ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	8
60003620	suspension	4179	DIPROPIONATE DE BÉCLOMÉTASONE	800 microgrammes	2 ml de suspension	SA	1
60004277	gélule	3902	FÉNOFIBRATE	"100,00 mg"	une gélule	SA	1
60004487	comprimé	35415	TRAMADOL BASE	200 mg	un comprimé	FT	1
60004487	comprimé	86571	CHLORHYDRATE DE TRAMADOL			SA	1
60005856	comprimé	4034	FAMOTIDINE	20 mg	un comprimé	SA	1
60006246	solution	40628	CHLORHYDRATE D'ÉPIRUBICINE	200 mg	un flacon	SA	1
60007280	collyre	43059	TAFLUPROST	15 microgrammes	1 ml	SA	1
60007437	comprimé	19809	ATORVASTATINE	40 mg	un comprimé	FT	1
60007437	comprimé	50091	ATORVASTATINE CALCIQUE			SA	1
60007960	gel	931	SULFATE DE ZINC	"0,5 g"	100 ml	SA	2
60007960	gel	5432	CHLORHYDRATE DE LIDOCAÏNE	"0,6 g"	100 ml	SA	1
60008845	solution	529	GLUCOSE ANHYDRE	15 g	100 ml de solution pour perfusion	FT	1
60008845	solution	17150	GLUCOSE MONOHYDRATÉ	"16,5 g"	100 ml de solution pour perfusion	SA	1
60008927	gélule	37973	RIVASTIGMINE BASE	"1,5 mg"	une gélule	FT	1
60008927	gélule	55512	HYDROGÉNOTARTRATE DE RIVASTIGMINE			SA	1
60009616	comprimé	25783	RANITIDINE (CHLORHYDRATE DE)			SA	1
60009616	comprimé	49632	RANITIDINE BASE	300 mg	un comprimé	FT	1
60010166	solution	901	CHLORURE DE SODIUM	"5,85 g"	100 ml	SA	1
60010885	comprimé	66431	CIPROFLOXACINE	250 mg	un comprimé	FT	1
60010885	comprimé	79482	CHLORHYDRATE DE CIPROFLOXACINE			SA	1
60010967	capsule	19745	NITRATE DE FENTICONAZOLE	200 mg	une capsule	SA	1
60010967	capsule	36246	FENTICONAZOLE BASE	"175,7 mg"	une capsule	FT	1
