generic_group	generic_desc	drug_code	generic_type	serial_number
1	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé"	65383183	0	1
1	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé"	67535309	1	2
1	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé pelliculé"	61872344	1	3
2	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent"	65025026	0	1
2	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent"	68053454	1	2
2	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent"	64073139	1	3
2	"CIMETIDINE 200 mg - TAGAMET 200 mg, comprimé effervescent"	65141760	1	4
3	"CIMETIDINE 400 mg - TAGAMET 400 mg, comprimé pelliculé"	69472373	0	1
3	"CIMETIDINE 400 mg - TAGAMET 400 mg, comprimé pelliculé"	62844636	1	2
3	"CIMETIDINE 400 mg - TAGAMET 400 mg, comprimé pelliculé"	65619623	1	3
4	"CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable."	60089516	0	1
4	"CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable."	60756034	1	2
4	"CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé pelliculé sécable."	62844636	2	3
5	"CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé effervescent"	68486879	0	1
5	"CIMETIDINE 800 mg - TAGAMET 800 mg, comprimé effervescent"	66790292	1	2
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	65109314	0	1
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	66024386	0	2
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	64593428	1	3
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	65812914	1	4
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	62200673	1	5
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	68762480	1	6
7	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 150 mg - AZANTAC 150 mg, comprimé pelliculé - RANIPLEX 150 mg, comprimé pelliculé."	63193751	1	7
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	61177182	0	1
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	63758510	0	2
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	69382100	1	3
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	66333404	1	4
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	67872002	1	5
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	68821320	1	6
8	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 300 mg - AZANTAC 300 mg, comprimé pelliculé - RANIPLEX 300 mg, comprimé pelliculé."	64695995	1	7
9	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent."	64439241	0	1
9	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent."	62838569	0	2
9	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent."	61838819	1	3
9	"RANITIDINE (CHLORHYDRATE DE) équivalant à RANITIDINE 75 mg - AZANTAC 75 mg, comprimé effervescent - RANIPLEX 75 mg, comprimé effervescent."	63169145	1	4
