"source_code"	"source_name"	"concept_id"	"concept_name"	"concept_class_id"	"vocabulary_id"
"mpp3722881"	"Influvac Tetra 2018-2019 inj. susp. [voorgev. spuit] 10x0,5ml"	40213153	"Influenza, seasonal, injectable"	"CVX"	"CVX"
"mpp3720935"	"Influvac Tetra 2018-2019 inj. susp. [voorgev. spuit] 1x0,5ml"	40213153	"Influenza, seasonal, injectable"	"CVX"	"CVX"
"mpp3742780"	"Vaxigrip Tetra 2018-2019 inj. susp. [voorgev. spuit] 1x0,5ml"	40213153	"Influenza, seasonal, injectable"	"CVX"	"CVX"
"mpp3745577"	"α-RIX-Tetra 2018-2019 inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	40213153	"Influenza, seasonal, injectable"	"CVX"	"CVX"
"mpp3147410"	"Cervarix (PIP) inj. susp. i.m. [voorgev. spuit] 1x 0,5ml"	40167172	"L1 protein, Human papillomavirus type 16 Vaccine / L1 protein, Human papillomavirus type 18 Vaccine Prefilled Syringe [Cervarix]"	"Branded Drug Form"	"RxNorm"
"mpp2385136"	"Cervarix inj. susp. i.m. [voorgev. spuit] 1x 0,5ml"	40167172	"L1 protein, Human papillomavirus type 16 Vaccine / L1 protein, Human papillomavirus type 18 Vaccine Prefilled Syringe [Cervarix]"	"Branded Drug Form"	"RxNorm"
"mpp3395761"	"Pneumovax 23 inj. oploss. [voorgev. spuit] 1x0,5ml"	45775997	"pneumococcal capsular polysaccharide type 1 vaccine / pneumococcal capsular polysaccharide type 10A vaccine / pneumococcal capsular polysaccharide type 11A vaccine / pneumococcal capsular polysaccharide type 12F vaccine / pneumococcal capsular polysacchar"	"Branded Drug Form"	"RxNorm"
"mpp1321058"	"Avaxim inj. susp. [voorgev. spuit] 1x 160E/0,5ml"	43208840	"0.5 ML Hepatitis A Vaccine, Inactivated 320 UNT/ML Injectable Suspension [Avaxim] Box of 1 by Sanofi"	"Marketed Product"	"RxNorm Extension"
"mpp0061358"	"Engerix-B inj. susp. [voorgev. spuit] 1x 20µg/1ml"	36781741	"1 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Engerix-B] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp1035849"	"Engerix-B inj. susp. Junior [voorgev. spuit] 1x 10µg/0,5ml"	36781842	"0.5 ML Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension [Engerix-B] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp2210151"	"Fendrix inj. susp. i.m. [voorgev. spuit] 1x 20µg/0,5ml"	36781843	"0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension [Fendrix] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp2542587"	"Havrix (Impexeco) inj. susp. [voorgev. spuit] 1x 1440Elisa E/1ml"	36781668	"1 ML Hepatitis A Vaccine, Inactivated 1440 UNT/ML Injectable Suspension [Havrix] Box of 1 by Impexeco"	"Marketed Product"	"RxNorm Extension"
"mpp1149939"	"Havrix inj. susp. [voorgev. spuit] 1x 1440Elisa E/1ml"	36781667	"1 ML Hepatitis A Vaccine, Inactivated 1440 UNT/ML Injectable Suspension [Havrix] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp1345545"	"Havrix inj. susp. Junior [voorgev. spuit] 1x 720Elisa E/0,5ml"	36781821	"0.5 ML Hepatitis A Vaccine, Inactivated 1440 UNT/ML Injectable Suspension [Havrix] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp1657923"	"Hbvaxpro inj. susp. [flac.] 1x 40µg/1ml"	36781743	"1 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injectable Suspension [HBvaxPRO] Box of 1 by MSD"	"Marketed Product"	"RxNorm Extension"
"mpp2246775"	"Hbvaxpro inj. susp. [voorgev. spuit] 1x 10µg/1ml"	36781742	"1 ML Hepatitis B Surface Antigen Vaccine 0.01 MG/ML Injectable Suspension [HBvaxPRO] Box of 1 by MSD"	"Marketed Product"	"RxNorm Extension"
"mpp2765444"	"Rabipur inj. oploss. (pdr.+solv.) i.m. [flac.+voorgev. spuit] 2,5IE"	36781705	"1 ML Rabies virus 2.5 UNT/ML Injectable Solution [Rabipur] Box of 1 by GSK"	"Marketed Product"	"RxNorm Extension"
"mpp2620888"	"Synflorix inj. susp. i.m. [voorgev. spuit] 1x0,5ml"	36789416	"pneumococcal capsular polysaccharide type 14 vaccine 0.001 MG / pneumococcal capsular polysaccharide type 18C vaccine 0.004 MG / pneumococcal capsular polysaccharide type 19F vaccine 0.004 MG / ... Injectable Suspension [Synflorix] by GSK"	"Marketed Product"	"RxNorm Extension"
