"CONCEPT_CODE"	"CONCEPT_NAME"	"MAPPED_ID"	"MAPPED_NAME"	"Supplier_name"
"mp39115-2055"	"A.Vogel ArnicaforceMed"	36777192	"A.Vogel ArnicaforceMed"	"Biohorma"
"mp42-232"	"Aacidexam"	36256214	"Aacidexam"	"Aspen"
"mp59-232"	"Aacifemine"	36256539	"Aacifemine"	"Aspen"
"mp38067-1636"	"Abacavir / Lamivudin Sandoz"	36777161	"Abacavir / Lamivudin Sandoz"	"Sandoz"
"mp32771-570"	"Abasaglar"	21018121	"Abasaglar"	"Eli Lilly"
"mp67-1818"	"Abelcet"	19035347	"Abelcet"	"Teva"
"mp75-2501"	"Abilify"	19031636	"Abilify"	"Otsuka"
"mp75-1529"	"Abilify"	19031636	"Abilify"	"PI-Pharma"
"mp75-1073"	"Abilify"	19031636	"Abilify"	"Lundbeck"
"mp34306-422"	"Abraxane"	19080348	"Abraxane"	"Celgene"
"mp91-1743"	"Acatar"	36256258	"Acatar"	"SMB"
"mp32763-67"	"Accofil"	21018532	"Accofil"	"Accord"
"mp117-1446"	"Accupril"	19013171	"Accupril"	"Pfizer"
"mp125-1446"	"Accuretic"	19020260	"Accuretic"	"Pfizer"
"mp141-612"	"Aceclofenac EG"	43126830	"ACECLOFENAC EG"	"Eurogenerics"
"mp158-174"	"Aceclofenac Sintesa"	36256399	"Aceclofenac Sintesa"	"Almirall"
"mp166-1818"	"Aceclofenac Teva"	36256259	"Aceclofenac Teva"	"Teva"
"mp174-1636"	"Acetylcystein Sandoz"	43563579	"Acetylcystein Sandoz"	"Sandoz"
"mp182-216"	"Acetylcysteine Apotex"	36256236	"Acetylcysteine Apotex"	"Apotex"
"mp190-612"	"Acetylcysteine EG"	43126840	"ACETYLCYSTEINE EG"	"Eurogenerics"
"mp37564-2303"	"Acetylsalicylic Acid Krka"	36256255	"Acetylsalicylic Acid Krka"	"KRKA"
"mp232-216"	"Aciclovir Apotex"	36256153	"Aciclovir Apotex"	"Apotex"
"mp240-612"	"Aciclovir EG"	43126860	"ACICLOVIR EG"	"Eurogenerics"
"mp257-844"	"Aciclovir Hospira"	43563616	"Aciclovir Hospira"	"Hospira"
"mp265-1289"	"Aciclovir Mylan"	43126862	"ACICLOVIR MYLAN"	"Mylan"
"mp273-1636"	"Aciclovir Sandoz"	43126869	"ACICLOVIR SANDOZ"	"Sandoz"
"mp281-1818"	"Aciclovir Teva"	43126871	"ACICLOVIR TEVA"	"Teva"
"mp299-1636"	"Acidcare"	36256558	"Acidcare"	"Sandoz"
"mp30213-711"	"Zoledroninezuur Fresenius Kabi"	43126909	"ACIDE ZOLEDRONIQUE FRESENIUS KABI"	"Fresenius Kabi"
"mp30189-1289"	"Zoledroninezuur Mylan"	43126912	"ACIDE ZOLEDRONIQUE MYLAN"	"Mylan"
"mp30197-1636"	"Zoledronic Acid Sandoz"	43126913	"ACIDE ZOLEDRONIQUE SANDOZ"	"Sandoz"
"mp307-1305"	"Acidine"	36256538	"Acidine"	"Neocare"
"mp315-877"	"Acidozol"	36256511	"Acidozol"	"I.D. Phar"
"mp323-1347"	"Aclasta"	21014852	"Aclasta"	"Novartis Pharma"
"mp331-2006"	"Acneplus"	36256545	"Acneplus"	"Widmer"
"mp356-2097"	"Act-Hib"	40799467	"Act Hib"	"Sanofi Belgium"
"mp372-828"	"Actifed New"	19029676	"Actifed"	"GSK"
"mp380-372"	"Actilyse"	40756304	"Actilyse"	"Boehringer Ingelheim"
"mp398-1354"	"Activelle"	44013088	"Activelle Ld"	"Novo Nordisk"
"mp398-885"	"Activelle"	44013088	"Activelle Ld"	"Impexeco"
"mp406-1990"	"Actonel"	19021836	"Actonel"	"Warner Chilcott"
"mp414-1990"	"Actonel Combi D"	19021836	"Actonel"	"Warner Chilcott"
"mp422-1800"	"Actos"	19099206	"Actos"	"Takeda"
"mp430-596"	"Actosolv"	43127025	"ACTOSOLV"	"Eumedica"
"mp448-1354"	"Actrapid"	21016315	"Actrapid"	"Novo Nordisk"
"mp455-166"	"Aculare"	19023202	"Acular"	"Allergan"
"mp463-1115"	"Acupan"	19018223	"Acupan"	"Meda Pharma"
"mp471-1529"	"Adalat"	19020153	"Adalat"	"PI-Pharma"
"mp489-1800"	"Adcetris"	40241613	"Adcetris"	"Takeda"
"mp497-570"	"Adcirca"	19048491	"Adcirca"	"Eli Lilly"
"mp505-1263"	"Adempas"	44506453	"Adempas"	"MSD"
"mp513-2097"	"Adenocor"	21014315	"Adenocor"	"Sanofi Belgium"
"mp521-1172"	"Adenuric"	21017137	"Adenuric"	"Menarini"
"mp539-1636"	"Adoport"	21018594	"Adoport"	"Sandoz"
"mp547-1784"	"Adrenaline (HCl) Sterop"	36256215	"Adrenaline (Tartrate) Sterop"	"Sterop"
"mp554-1784"	"Adrenaline (Tartrate) Sterop"	36256215	"Adrenaline (Tartrate) Sterop"	"Sterop"
"mp33266-117"	"Adrenaline (Tartrate) Aguettant"	43127035	"ADRENALINE AGUETTANT"	"Aguettant"
"mp562-1446"	"Adriblastina"	40799542	"Adriblastina"	"Pfizer"
"mp570-240"	"Advagraf"	21014378	"Advagraf"	"Astellas"
"mp588-299"	"Advantan"	21019017	"Advantan"	"Bayer"
"mp596-2204"	"Advate"	19000447	"Advate"	"Baxalta"
"mp604-1263"	"Aerinaze"	40799583	"Aerinaze"	"MSD"
"mp612-1529"	"Aerius"	43127046	"AERIUS"	"PI-Pharma"
"mp612-1263"	"Aerius"	43127046	"AERIUS"	"MSD"
"mp620-1248"	"Aethoxysklerol"	21015275	"Aethoxysklerol"	"Sigma-tau"
"mp638-1743"	"Afebryl"	36256843	"Afebryl"	"SMB"
"mp646-2014"	"Affusine"	36256682	"Affusine"	"Will-Pharma"
"mp653-1347"	"Afinitor"	19135079	"Afinitor"	"Novartis Pharma"
"mp37671-513"	"Afstyla"	36249828	"Afstyla"	"CSL Behring"
"mp661-2980"	"Aggrastat"	19034242	"Aggrastat"	"Correvio"
"mp687-1115"	"Agiolax"	40799607	"AGIOLAX"	"Meda Pharma"
"mp695-1552"	"Agyrax"	43127053	"AGYRAX"	"Pierre Fabre Sante"
"mp703-174"	"Air-Tal"	36256154	"Air-Tal"	"Almirall"
"mp39388-1636"	"Airflusal"	40799651	"Airflusal"	"Sandoz"
"mp711-1909"	"Airomir"	19013495	"Airomir"	"UCB"
