source_concept_code	source_concept_name	source_concept_desc	source_concept_class_id	target_concept_id	target_concept_name	precedence	conversion_factor	invalid_indicator
"dos."	"dos."		"Unit"	"45744809"	"dos."		"1"	
"cellen"	"cellen"		"Unit"	"45744812"	"cellen"		"1"	
"IE"	"IE"		"Unit"	"8510"	"IE"		"1"	
"l"	"l"		"Unit"	"8587"	"l"		"1000"	
"mg"	"mg"		"Unit"	"8576"	"mg"		"1"	
"E"	"E"		"Unit"	"8510"	"E"		"1"	
"u"	"u"		"Unit"	"8505"	"u"		"1"	
"TE"	"TE"		"Unit"	"8510"	"TE"		"1"	
"µl"	"µl"		"Unit"	"8587"	"µl"		"0.001"	
"HEP"	"HEP"		"Unit"	"45744810"	"HEP"		"1"	
"MIE"	"MIE"		"Unit"	"8510"	"MIE"		"0.000001"	
"Elisa E"	"Elisa E"		"Unit"	"8510"	"Elisa E"		"1"	
"ml"	"ml"		"Unit"	"8587"	"ml"		"1"	
"ME"	"ME"		"Unit"	"8510"	"ME"		"0.000001"	
"E6 IE"	"E6 IE"		"Unit"	"8510"	"E6 IE"		"1000000"	
"g"	"g"		"Unit"	"8576"	"g"		"1000"	
"E6 CFU"	"E6 CFU"		"Unit"	"45744815"	"E6 CFU"		"1000000"	
"µg"	"µg"		"Unit"	"8576"	"µg"		"0.001"	
"SQ-T"	"SQ-T"		"Unit"	"8510"	"SQ-T"		"1"	
"IE anti-Xa"	"IE anti-Xa"		"Unit"	"8510"	"IE anti-Xa"		"1"	
"IR"	"IR"		"Unit"	"8510"	"IR"		"1"	
"E6 bacillen"	"E6 bacillen"		"Unit"	"45744815"	"E6 bacillen"		"1000000"	
"KIE"	"KIE"		"Unit"	"8510"	"KIE"		"1"	
"cm²"	"cm²"		"Unit"	"9483"	"cm²"		"1"	
"gal00220"	"verband Sacral"	"pansement Sacral"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00288"	"inj./instill. oploss. i.v./i.thec./i.arter./i.duct. [flac.]"	"sol. inj./instill. i.v./i.théc./i.artér./i.canal. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00332"	"zachte caps. Fastcaps"	"caps. molle Fastcaps"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"3"		
"gal00702"	"inj. oploss. s.c. Junior Kwikpen [voorgev. pen]"	"sol. inj. s.c. Junior Kwikpen [stylo prérempli]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00300"	"inj. oploss. s.c. [patr.] voor Puregon Pen"	"sol. inj. s.c. [cart.] pour Puregon Pen"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00578"	"cut. spray pdr."	"poudre spray cut."	"Dose Form"	"19095912"	"Topical Spray"	"1"		
"gal00415"	"inf. oploss. (conc.) i.v. CytoVial [flac.]"	"sol. perf. à diluer i.v. CytoVial [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00026"	"crème"	"crème"	"Dose Form"	"19082169"	"Oral Cream"	"2"		
"gal00301"	"inj./inf. oploss. i.v./epidur. [amp.]"	"sol. inj./perf. i.v./p.dural [amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00391"	"oploss. (pdr., zakjes) Sinaasappel"	"sol. (pdr, sachet) Orange"	"Dose Form"	"19095976"	"Oral Powder"	"1"		
"gal00450"	"gastro-ent. gel"	"gel gastro-ent."	"Dose Form"	"19095916"	"Oral Gel"	"1"		
"gal00430"	"kauw-/disp. tabl. Starter-Pack"	"compr. à croquer/disp. Starter-Pack"	"Dose Form"	"19082076"	"Disintegrating Oral Tablet"	"1"		
"gal00708"	"inj. oploss. i.lymf. [amp.]"	"sol. inj. i.lymph. [amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00423"	"inj./inf. oploss. s.c. [flac.]"	"sol. inj./perf. s.c. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00219"	"subling. lyofilisaat"	"lyophilisat subling."	"Dose Form"	"19082573"	"Oral Tablet"	"2"		
"gal00129"	"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]"	"sol. inj. i.m./i.v./endotrach./i.oss. [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00382"	"verband Extra dun"	"pansement Extra mince"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00676"	"inj. oploss. i.ocul. [flac.]"	"sol. inj. i.ocul. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00008"	"filmomh. tabl."	"compr. pellic."	"Dose Form"	"19082079"	"Extended Release Oral Tablet"	"2"		
"gal00740"	"lyofilisaat Zydis"	"lyophilisat Zydis"	"Dose Form"	"19082573"	"Oral Tablet"	"1"		
"gal00271"	"gingiv./oromuc. spray oploss. (alc.)"	"sol. spray gingiv./oromuq. (alc.)"	"Dose Form"	"19095900"	"Mucosal Spray"	"1"		
"gal00344"	"cut. oploss. (alc.) Hydroalcoholische"	"sol. cut. (alc.) Hydroalcoolique"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00174"	"susp. (pdr., zakjes)"	"susp. (pdr, sachet)"	"Dose Form"	"19082191"	"Oral Suspension"	"2"		
"gal00411"	"tabl. (deelb.) A"	"compr. (séc.) A"	"Dose Form"	"19082079"	"Extended Release Oral Tablet"	"2"		
"gal00048"	"inj./inf. oploss. i.v. [flac.]"	"sol. inj./perf. i.v. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00730"	"nas. spray oploss. Sine Conservans Pediatrie"	"sol. spray nas. Sine Conservans Pediatrie"	"Dose Form"	"19011167"	"Nasal Spray"	"1"		
"gal00710"	"inj. susp. verl. afgifte i.derm./i.artic. [flac.]"	"susp. inj. lib. prol. i.derm./i.artic. [flac.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00111"	"omh. tabl."	"compr. enr."	"Dose Form"	"19082079"	"Extended Release Oral Tablet"	"2"		
"gal00452"	"tabl. verl. afgifte Once Daily"	"compr. lib. prol. Once Daily"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00016"	"siroop oploss."	"sirop sol."	"Dose Form"	"19082223"	"Syrup"	"2"		
"gal00126"	"i.uter. systeem"	"dispositif i.utér."	"Dose Form"	"1718367"	"Intrauterine System"	"1"		
"gal00836"	"inj. susp. verl. afgifte i.m./i.derm./i.artic./i.laes./i.burs./p.artic. Chronodose [flac.]"	"susp. inj. lib. prol. i.m./i.derm./i.artic./i.lés./i.burs./p.artic. Chronodose [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00307"	"filmomh. tabl. Junior"	"compr. pellic. Junior"	"Dose Form"	"19082168"	"Oral Capsule"	"1"		
"gal00168"	"or./rect. susp."	"susp. or./rect."	"Dose Form"	"19082221"	"Rectal Suspension"	"2"		
"gal00308"	"inj. susp. i.m./s.c. Paediatric [voorgev. spuit]"	"susp. inj. i.m./s.c. Enfant [ser. préremplie]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00812"	"verband Gentle Border"	"pansement Gentle Border"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00669"	"zetpil Zuigel."	"supp. Bébé"	"Dose Form"	"19082200"	"Rectal Suppository"	"1"		
"gal00242"	"gel (doseerpomp) Forte"	"gel (pompe doseuse) Forte"	"Dose Form"	"19095973"	"Topical Gel"	"1"		
"gal00222"	"verband Tracheostomy"	"pansement Tracheostomy"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00615"	"inj. oploss. s.c. FlexTouch [voorgev. pen]"	"sol. inj. s.c. FlexTouch [stylo prérempli]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00666"	"inj. oploss. (pdr. + solv.) i.m./i.v./s.c. Hypokit [flac. + voorgev. spuit]"	"sol. inj. (pdr + solv.) i.m./i.v./s.c. Hypokit [flac. + ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00593"	"harde caps. Lidose"	"gél. Lidose"	"Dose Form"	"19082168"	"Oral Capsule"	"1"		
"gal00575"	"inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.]"	"sol. perf. à diluer (pdr + solv.) i.v. [flac. + amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00715"	"gel Forte"	"gel Forte"	"Dose Form"	"19095916"	"Oral Gel"	"2"		
"gal00650"	"oploss. (unidose) Junior"	"sol. (unidose) Junior"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00258"	"tabl. (deelb.) Besilaat"	"compr. (séc.) Besilaat"	"Dose Form"	"19082573"	"Oral Tablet"	"1"		
"gal00481"	"oplosb. tabl. (deelb.) Solutab"	"compr. sol. (séc.) Solutab"	"Dose Form"	"1592486"	"Tablet for Oral Suspension"	"1"		
"gal00395"	"kauw-/disp. tabl."	"compr. à croquer/disp."	"Dose Form"	"19082076"	"Disintegrating Oral Tablet"	"1"		
"gal00556"	"cut. oploss. (pdr. + solv.)"	"sol. (pdr + solv.) cut."	"Dose Form"	"19082286"	"Topical Powder"	"1"		
"gal00566"	"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [2x flac.]"	"sol. inj./perf. (pdr + solv.) i.m./i.v. [2x flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00364"	"inj. susp. s.c. Kwikpen [voorgev. pen]"	"susp. inj. s.c. Kwikpen [stylo prérempli]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00571"	"inj./instill. susp. verl. afgifte i.m./i.artic./i.laes./i.burs./p.artic./rect. [voorgev. spuit]"	"susp. inj./instill. lib. prol. i.m./i.artic./i.lés./i.burs./p.artic./rect. [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00118"	"inhalatiepdr. (harde caps.) [inhalator]"	"poudre inhal. (gél.) [inhalateur]"	"Dose Form"	"19082259"	"Inhalation Powder"	"1"		
"gal00066"	"ocul. druppels oploss. (unidose) Unidosis [zonder bew.]"	"collyre sol. (unidose) Unidosis [sans cons.]"	"Dose Form"	"19129634"	"Ophthalmic Solution"	"1"		
"gal00149"	"inj. oploss. i.v./s.c. [voorgev. spuit]"	"sol. inj. i.v./s.c. [ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00116"	"inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]"	"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00421"	"inj. oploss. s.c. Nordiflex [voorgev. pen]"	"sol. inj. s.c. Nordiflex [stylo prérempli]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00676"	"inj. oploss. i.ocul. [flac.]"	"sol. inj. i.ocul. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00229"	"ocul. zalf"	"pommade opht."	"Dose Form"	"19135925"	"Ophthalmic Ointment"	"1"		
"gal00340"	"inj. susp. verl. afgifte i.m. [flac.]"	"susp. inj. lib. prol. i.m. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00283"	"inj./instill. oploss. i.v./i.arter./i.card./i.duct./i.uter. [flac.]"	"sol. inj./instill. i.v./i.artér./i.canal./i.card./i.utér. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00152"	"gran."	"gran."	"Dose Form"	"45775489"	"Granules for Oral Solution"	"1"		
"gal00106"	"zalf"	"pommade"	"Dose Form"	"46234410"	"Topical Suspension"	"2"		
"gal00443"	"inj. oploss. (pdr.) i.m./s.c./i.derm. [flac.]"	"sol. inj. (pdr) i.m./s.c./i.derm. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00203"	"inj. oploss. s.c. SimpleXx [patr.] voor NordiPen 5"	"sol. inj. s.c. SimpleXx [cart.] pour NordiPen 5"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00503"	"auric. druppels oploss."	"gtts sol. auric."	"Dose Form"	"19082195"	"Otic Solution"	"1"		
"gal00604"	"geïmpr. verbandgaas Intertulle"	"compresse impr. Intertulle"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00190"	"siroop susp."	"sirop susp."	"Dose Form"	"19082223"	"Syrup"	"2"		
"gal00340"	"inj. susp. verl. afgifte i.m. [flac.]"	"susp. inj. lib. prol. i.m. [flac.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"3"		
"gal00525"	"kauwtabl. (zonder suiker) Suikervrij"	"compr. à croquer (sans sucre) Sans Sucre"	"Dose Form"	"19135866"	"Chewable Tablet"	"1"		
"gal00308"	"inj. susp. i.m./s.c. Paediatric [voorgev. spuit]"	"susp. inj. i.m./s.c. Enfant [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00400"	"siroop oploss. (zakjes) Fruit"	"sirop sol. (sachet) Fruit"	"Dose Form"	"19082223"	"Syrup"	"2"		
"gal00622"	"inj./inf. oploss. i.m./i.v./s.c. [voorgev. spuit]"	"sol. inj./perf. i.m./i.v./s.c. [ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00618"	"inf. oploss. conc. (pdr. + solv.) i.v. [2x flac.]"	"sol. perf. à diluer (pdr + solv.) i.v. [2x flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00442"	"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]"	"sol. inj./perf. (pdr + solv.) i.m./i.v. [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00011"	"ocul. druppels oploss. (unidose) [zonder bew.]"	"collyre sol. (unidose) [sans cons.]"	"Dose Form"	"19129634"	"Ophthalmic Solution"	"1"		
"gal00752"	"verband Border [Driehoekig]"	"pansement Border [Triangle]"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00215"	"ocul. druppels oploss. [zonder bew.]"	"collyre sol. [sans cons.]"	"Dose Form"	"19129634"	"Ophthalmic Solution"	"1"		
"gal00108"	"inj. oploss. s.c. Daily [voorgev. spuit]"	"sol. inj. s.c. Daily [ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00397"	"inj. susp. (pdr. + solv.) i.m. [flac. + voorgev. spuit]"	"susp. inj. (pdr + solv.) i.m. [flac. + ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00648"	"inj. oploss. (pdr. + solv.) s.c. [flac. + amp.]"	"sol. inj. (pdr + solv.) s.c. [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00834"	"oploss. (unidose) Forte"	"sol. (unidose) Forte"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00298"	"harde caps. verl. afgifte"	"gél. lib. prol."	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00563"	"inj./inf. oploss. (pdr. + solv.) i.m./i.v. SAB [flac., Act-O-Vial]"	"sol. inj./perf. (pdr + solv.) i.m./i.v. SAB [flac., Act-O-Vial]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00316"	"siroop oploss. Honing"	"sirop sol. Miel"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00429"	"harde caps. verl. afgifte Retard"	"gél. lib. prol. Retard"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00477"	"harde caps. geregul. afgifte"	"gél. lib. modif."	"Dose Form"	"19082255"	"Delayed Release Oral Capsule"	"1"		
"gal00226"	"nas. druppels oploss."	"gtts sol. nas."	"Dose Form"	"19082165"	"Nasal Solution"	"1"		
"gal00279"	"inj. oploss. s.c. ACTPen [voorgev. pen]"	"sol. inj. s.c. ACTPen [stylo prérempli]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00595"	"zetpil GE"	"supp. GE"	"Dose Form"	"19082200"	"Rectal Suppository"	"1"		
"gal00446"	"inj. susp. verl. afgifte i.m. Depot [flac.]"	"susp. inj. lib. prol. i.m. Depot [flac.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"3"		
"gal00333"	"inj. susp. s.c. [flac.]"	"susp. inj. s.c. [flac.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00428"	"i.vesic. susp. (pdr.) [flac.]"	"susp. (pdr) i.vésic. [flac.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00820"	"inhalatiepdr. (harde caps.) [Aerolizer]"	"poudre inhal. (gél.) [Aerolizer]"	"Dose Form"	"19082259"	"Inhalation Powder"	"1"		
"gal00042"	"epilaes. medic. spons"	"éponge médic. épilés."	"Dose Form"	"19095972"	"Topical Foam"	"1"		
"gal00086"	"inj. oploss. (pdr.) i.m./i.v. [flac.]"	"sol. inj. (pdr) i.m./i.v. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00798"	"tabl. verl. afgifte (deelb.) 500"	"compr. lib. prol. (séc.) 500"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00116"	"inj. susp. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]"	"susp. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"3"		
"gal00287"	"inj./inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"sol. inj./perf. (pdr + solv.) i.v. [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00037"	"siroop susp. (pdr.)"	"sirop susp. (pdr)"	"Dose Form"	"19082191"	"Oral Suspension"	"1"		
"gal00762"	"verband [Ovaal]"	"pansement [Ovale]"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00439"	"inj./inf./instill./verneveloploss. i.m./i.v./auric./endotrach./inhal./nas. [amp.]"	"sol. inj./perf./instill./inhal. nébul. i.m./i.v./auric./endotrach./inhal./nas. [amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00694"	"inj. oploss. i.thec. Hyperbar [amp.]"	"sol. inj. i.théc. Hyperbar [amp.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00292"	"inj. oploss. i.v./i.arter. [flac.]"	"sol. inj. i.v./i.artér. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00553"	"cut./or./oromuc. oploss."	"sol. cut./or./oromuq."	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00833"	"inj./drinkb. oploss. i.m./i.v./s.c./or. [amp.]"	"sol. inj./buv. i.m./i.v./s.c./or. [amp.]"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00488"	"tabl. geregul. afgifte (deelb.) CR"	"compr. lib. modif. (séc.) CR"	"Dose Form"	"19082255"	"Delayed Release Oral Capsule"	"1"		
