concept_code,note
A02,"infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi"
A06,"infection due to Entamoeba histolytica"
A19,"tuberculosis disseminated"
A19,"tuberculosis generalized"
A19,"tuberculous polyserositis"
A20,"infection due to Yersinia pestis"
A21,"deer-fly fever"
A21,"infection due to Francisella tularensis"
A21,"rabbit fever"
A22,"infection due to Bacillus anthracis"
A23,"fever Malta"
A23,"fever Mediterranean"
A23,"fever undulant"
A30,"infection due to Mycobacterium leprae"
A32,"listerial foodborne infection"
A56,"sexually transmitted diseases due to Chlamydia trachomatis"
A66,"bouba"
A66,"framboesia (tropica)"
A66,"pian"
A68,"recurrent fever"
A81,"prion diseases of the central nervous system"
A83,"mosquito-borne viral meningoencephalitis"
A84,"tick-borne viral meningoencephalitis"
A85,"specified viral encephalomyelitis NEC"
A85,"specified viral meningoencephalitis NEC"
B02,"shingles"
B02,"zona"
B05,"morbilli"
B26,"parotitis epidemic"
B26,"parotitis infectious"
B27,"glandular fever"
B27,"monocytic angina"
B27,"Pfeiffer's disease"
B35,"favus"
B35,"infections due to species of Epidermophyton, Microsporum and Trichophyton"
B35,"tinea, any type except those in B36.-"
B37,"candidosis"
B37,"moniliasis"
B41,"Brazilian blastomycosis"
B41,"Lutz' disease"
B44,"aspergilloma"
B50,"mixed infections of Plasmodium falciparum with any other Plasmodium species"
B51,"mixed infections of Plasmodium vivax with other Plasmodium species, except Plasmodium falciparum"
B52,"mixed infections of Plasmodium malariae with other Plasmodium species, except Plasmodium falciparum and Plasmodium vivax"
B57,"American trypanosomiasis"
B57,"infection due to Trypanosoma cruzi"
B58,"infection due to Toxoplasma gondii"
B65,"snail fever"
B67,"hydatidosis"
B69,"cysticerciasis infection due to larval form of Taenia solium"
B76,"uncinariasis"
B77,"ascaridiasis"
B77,"roundworm infection"
B87,"infestation by larvae of flies"
C03,"alveolar (ridge) mucosa"
C03,"gingiva"
C43,"morphology codes M872-M879 with behaviour code /3"
C44,"malignant neoplasm of sebaceous glands"
C44,"malignant neoplasm of sweat glands"
C45,"morphology code M905 with behaviour code /3"
C46,"morphology code M9140 with behaviour code /3"
C47,"sympathetic and parasympathetic nerves and ganglia"
C49,"blood vessel"
C49,"bursa"
C49,"cartilage"
C49,"fascia"
C49,"fat"
C49,"ligament, except uterine"
C49,"lymphatic vessel"
C49,"muscle"
C49,"synovia"
C49,"tendon (sheath)"
C50,"connective tissue of breast"
C81,"morphology codes M965-M966 with behaviour code /3"
C82,"follicular non-Hodgkin's lymphoma with or without diffuse areas"
C82,"morphology code M969 with behaviour code /3"
C83,"morphology codes M9593, M9595, M967-M968 with behaviour code /3"
C84,"morphology code M970 with behaviour code /3"
C85,"morphology codes M9590-M9592, M9594, M971 with behaviour code /3"
C88,"morphology code M976 with behaviour code /3"
C90,"morphology codes M973, M9830 with behaviour code /3"
C91,"morphology codes M982, M9940-M9941 with behaviour code /3"
C92,"leukaemia granulocytic"
C92,"leukaemia myelogenous"
C92,"morphology codes M986-M988, M9930 with behaviour code /3"
C93,"monocytoid leukaemia"
C93,"morphology code M989 with behaviour code /3"
C94,"morphology codes M984, M9850, M9900, M9910, M9931-M9932 with behaviour code /3"
C95,"morphology code M980 with behaviour code /3"
C96,"morphology codes M972, M974 with behaviour code /3"
D03,"morphology codes M872-M879 with behaviour code /2"
D06,"cervical intraepithelial neoplasia [CIN], grade III, with or without mention of severe dysplasia"
D17,"morphology codes M885-M888 with behaviour code /0"
D18,"morphology codes M912-M917 with behaviour code /0"
D19,"morphology code M905 with behaviour code /0"
D21,"blood vessel"
D21,"bursa"
D21,"cartilage"
D21,"fascia"
D21,"fat"
D21,"ligament, except uterine"
D21,"lymphatic channel"
D21,"muscle"
D21,"synovia"
D21,"tendon (sheath)"
D22,"morphology codes M872-M879 with behaviour code /0"
D22,"naevus NOS"
D22,"naevus blue"
D22,"naevus hairy"
D22,"naevus pigmented"
D23,"benign neoplasm of hair follicles"
D23,"benign neoplasm of sebaceous glands"
D23,"benign neoplasm of sweat glands"
D25,"benign neoplasms of uterus with morphology code M889 and behaviour code /0"
D25,"fibromyoma of uterus"
D28,"adenomatous polyp"
D28,"skin of female genital organs"
D29,"skin of male genital organs"
D46,"morphology code M998 with behaviour code /1"
D47,"morphology codes M974, M976, M996-M997 with behaviour code /1"
D50,"anaemia asiderotic"
D50,"anaemia hypochromic"
D53,"megaloblastic anaemia unresponsive to vitamin B"
D60,"red cell aplasia (acquired)(adult)(with thymoma)"
