concept_code,note
A04,"foodborne intoxications, bacterial (A05.-)"
A04,"tuberculous enteritis (A18.3)"
A04.6,"extraintestinal yersiniosis (A28.2)"
A05,"Escherichia coli infection (A04.0-A04.4)"
A05,"listeriosis (A32.-)"
A05,"salmonella foodborne intoxication and infection (A02.-)"
A05,"toxic effect of noxious foodstuffs (T61-T62)"
A06,"other protozoal intestinal diseases (A07.-)"
A08,"influenza with involvement of gastrointestinal tract (J10.8, J11.8)"
A09,"due to bacterial, protozoal, viral and other specified infectious agents (A00-A08)"
A09,"noninfective diarrhoea (K52.9)"
A09,"noninfective diarrhoea neonatal (P78.3)"
,"infections due to Mycobacterium tuberculosis and Mycobacterium bovis"
,"congenital tuberculosis (P37.0)"
,"pneumoconiosis associated with tuberculosis (J65)"
,"sequelae of tuberculosis (B90.-)"
,"silicotuberculosis (J65)"
A15.4,"specified as primary (A15.7)"
A15.6,"in primary respiratory tuberculosis, confirmed bacteriologically and histologically (A15.7)"
A16.3,"when specified as primary (A16.7)"
A16.5,"in primary respiratory tuberculosis (A16.7)"
A18.2,"tuberculosis of lymph nodes intrathoracic (A15.4, A16.3)"
A18.2,"tuberculosis of lymph nodes mesenteric and retroperitoneal (A18.3)"
A18.2,"tuberculous tracheobronchial adenopathy (A15.4, A16.3)"
A18.4,"lupus erythematosus (L93.-)"
A18.4,"lupus erythematosus systemic (M32.-)"
A18.5,"lupus vulgaris of eyelid (A18.4)"
A18.6,"tuberculous mastoiditis (A18.0+)"
A28.2,"enteritis due to Yersinia enterocolitica (A04.6)"
A28.2,"plague (A20.-)"
A30,"sequelae of leprosy (B92)"
A31,"leprosy (A30.-)"
A31,"tuberculosis (A15-A19)"
A32,"neonatal (disseminated) listeriosis (P37.2)"
A35,"tetanus neonatorum (A33)"
A35,"tetanus obstetrical (A34)"
A36.3,"erythrasma (L08.1)"
A38,"streptococcal sore throat (J02.0)"
A40,"during labour (O75.3)"
A40,"following abortion or ectopic or molar pregnancy (O03-O07, O08.0)"
A40,"following immunization (T88.0)"
A40,"following infusion, transfusion or therapeutic injection (T80.2)"
A40,"neonatal (P36.0-P36.1)"
A40,"postprocedural (T81.4)"
A40,"puerperal (O85)"
A41,"bacteraemia NOS (A49.9)"
A41,"during labour (O75.3)"
A41,"following abortion or ectopic or molar pregnancy (O03-O07, O08.0)"
A41,"following immunization (T88.0)"
A41,"following infusion, transfusion or therapeutic injection (T80.2)"
A41,"septicaemia (due to)(in) actinomycotic (A42.7)"
A41,"septicaemia (due to)(in) anthrax (A22.7)"
A41,"septicaemia (due to)(in) candidal (B37.7)"
A41,"septicaemia (due to)(in) Erysipelothrix (A26.7)"
A41,"septicaemia (due to)(in) extraintestinal yersiniosis (A28.2)"
A41,"septicaemia (due to)(in) gonococcal (A54.8)"
A41,"septicaemia (due to)(in) herpesviral (B00.7)"
A41,"septicaemia (due to)(in) listerial (A32.7)"
A41,"septicaemia (due to)(in) meningococcal (A39.2-A39.4)"
A41,"septicaemia (due to)(in) neonatal (P36.-)"
