concept_name	concept_class_id	concept_id	precedence	conversion_factor
"ARTICHAUT"	"Ingredient"	"40170396"	"2"	
"BOSEPREVIR"	"Ingredient"	"40238770"	"1"	
"BOTULINUM TOXIN"	"Ingredient"	"729855"	"2"	
"CHAMOMILLA RECUTITA"	"Ingredient"	"19071803"	"2"	
"CLOMIFENE"	"Ingredient"	"1598819"	"1"	
"%"	"Unit"	"8554"	"1"	"1"
"10E6 IU"	"Unit"	"8510"	"1"	"1000000"
"g"	"Unit"	"8576"	"1"	"1000"
"IU"	"Unit"	"8510"	"1"	"1"
"IU heparin"	"Unit"	"8510"	"1"	"1"
"IMICIFUGAE RHIZOMA"	"Ingredient"	"42898407"	"2"	
"INFLUENZA (VACCIN)"	"Ingredient"	"42903442"	"1"	
"INFLUENZA, PURIFIED ANTIGEN"	"Ingredient"	"43013137"	"2"	
"INFLUENZA, PURIFIED ANTIGEN"	"Ingredient"	"43013138"	"3"	
"INFLUENZA, PURIFIED ANTIGEN"	"Ingredient"	"46275993"	"4"	
"INFLUENZA, PURIFIED ANTIGEN"	"Ingredient"	"46275996"	"5"	
"INSULIN (HUMAN)"	"Ingredient"	"1513849"	"2"	
"INSULIN (HUMAN)"	"Ingredient"	"1588986"	"3"	
"mcg"	"Unit"	"8576"	"1"	"0.001"
"INTERFERON GAMMA"	"Ingredient"	"42903737"	"2"	
"mg"	"Unit"	"8576"	"1"	"1"
"GLATIRAMER ACETATE"	"Ingredient"	"751889"	"1"	
"ml"	"Unit"	"8587"	"1"	"1"
"ABC CHEMICALS"	"Supplier"	"36256934"	"1"	
"MERCUROCHROME"	"Ingredient"	"1703026"	"1"	
"MERCURY COMPOUNDS"	"Ingredient"	"36878850"	"2"	
"METHOXY POLYETHYLENE GLYCOL EPOETIN BETA"	"Ingredient"	"19015768"	"9"	
"KETANSERIN"	"Ingredient"	"19085688"	"1"	
"KETAZOLAM"	"Ingredient"	"19003946"	"1"	
"3M BELGIUM"	"Supplier"	"21020319"	"1"	
"3M BELGIUM CONSUMER HEALTHCARE"	"Supplier"	"21020319"	"1"	
"ABBOTT"	"Supplier"	"21020257"	"1"	
"ABDI FARMA"	"Supplier"	"43132670"	"1"	
"ACCORD HEALTHCARE LIMITED - SAGE HOUSE"	"Supplier"	"21019336"	"1"	
"ACTAVIS GROUP PTC EHF"	"Supplier"	"44023568"	"1"	
"ACTELION PHARMACEUTICALS BELGIUM"	"Supplier"	"43132447"	"1"	
"AIR LIQUIDE MEDICAL"	"Supplier"	"43132851"	"1"	
"AIR PRODUCTS"	"Supplier"	"43132656"	"1"	
"ALK ABELLO"	"Supplier"	"44023585"	"1"	
"ALKOPHARMA"	"Supplier"	"43132680"	"1"	
"AMDIPHARM LIMITED"	"Supplier"	"43132819"	"1"	
"APTALIS PHARMA"	"Supplier"	"43132857"	"1"	
"aérosol(s) doseur(s)"	"Dose Form"	"19018195"	"5"	
"ASPEN EUROPE BELGIUM"	"Supplier"	"21020708"	"1"	
"ASTELLAS PHARMA"	"Supplier"	"43132652"	"1"	
"aérosol(s) doseur(s)"	"Dose Form"	"19082259"	"3"	
"ATNAHS PHARMA UK LTD"	"Supplier"	"21020165"	"1"	
"aérosol(s) doseur(s)"	"Dose Form"	"19095898"	"1"	
"LABORATOIRES BAILLEUL"	"Supplier"	"43132487"	"1"	
"aérosol(s) doseur(s)"	"Dose Form"	"19126918"	"4"	
"BAXALTA BELGIUM"	"Supplier"	"44023695"	"1"	
"BAXTER ONCOLOGY"	"Supplier"	"43132265"	"1"	
"aérosol(s) doseur(s)"	"Dose Form"	"19127579"	"2"	
"AGUETTANT"	"Supplier"	"43132616"	"1"	
"BEPHARBEL MANUFACTURING"	"Supplier"	"36256920"	"1"	
"BESINS HEALTHCARE BENELUX"	"Supplier"	"21019389"	"1"	
"BESINS INTERNATIONAL BELGIQUE"	"Supplier"	"21019389"	"1"	
"PAMIDRONIC ACID"	"Ingredient"	"1511646"	"1"	
"ALCON"	"Supplier"	"43132841"	"1"	
"ALGESAL"	"Brand Name"	"21018690"	"1"	
"ALKA SELTZER"	"Brand Name"	"44013134"	"1"	
"ALMIRALL"	"Supplier"	"43132681"	"1"	
"PELARGONIUM SIDOIDES EXTRAIT SEC (EPS 7630)"	"Ingredient"	"42899638"	"1"	
"amp."	"Dose Form"	"19082103"	"5"	
"amp."	"Dose Form"	"19082104"	"6"	
"amp."	"Dose Form"	"19082106"	"3"	
"amp."	"Dose Form"	"19095913"	"1"	
"RANBAXY BELGIUM"	"Supplier"	"21020091"	"1"	
"amp."	"Dose Form"	"19095914"	"2"	
"amp."	"Dose Form"	"19095915"	"4"	
"RECORDATI S.P.A."	"Supplier"	"21019323"	"1"	
"REPHA"	"Supplier"	"43580202"	"1"	
"RHONE POULENC RORER"	"Supplier"	"44024622"	"1"	
"RHONE POULENC RORER FISONS"	"Supplier"	"44024622"	"1"	
"ROCHE PHARMACEUTICALS"	"Supplier"	"43132365"	"1"	
"ROCHE CONSUMER HEALTH"	"Supplier"	"35742045"	"1"	
"amp."	"Dose Form"	"46234469"	"7"	
"SCHERING PLOUGH"	"Supplier"	"21020135"	"1"	
"SERB LABORATOIRES"	"Supplier"	"21019328"	"1"	
"SERONO BENELUX"	"Supplier"	"21019845"	"1"	
"amp. buvable(s)"	"Dose Form"	"19082170"	"1"	
"SHIRE BELGIUM"	"Supplier"	"21020569"	"1"	
"SHIRE HUMAN GENETIC THERAPIES"	"Supplier"	"21020569"	"1"	
"SIGMA-TAU BV"	"Supplier"	"21019439"	"1"	
"SIGMA-TAU INDUSTRIE FARM.RIUNITE"	"Supplier"	"21019439"	"1"	
"SIGMA-TAU PHARMA BELGIUM"	"Supplier"	"21019439"	"1"	
"amp. jumelles"	"Dose Form"	"19082170"	"2"	
"SMITH NEPHEW"	"Supplier"	"21019659"	"1"	
"amp. jumelles"	"Dose Form"	"19082191"	"1"	
"STALLERGENES FRANCE"	"Supplier"	"43132350"	"1"	
"STIEFEL LABORATORIUM GMBH"	"Supplier"	"21019638"	"1"	
"STORZ"	"Supplier"	"44024999"	"1"	
"STRAGEN PHARMA"	"Supplier"	"40820866"	"1"	
"TAKEDA BELGIUM"	"Supplier"	"21019358"	"1"	
"TAKEDA CHRISTIAENS"	"Supplier"	"21019358"	"1"	
"TEOFARMA"	"Supplier"	"21020174"	"1"	
"amp. pour inhalation"	"Dose Form"	"19018195"	"2"	
"amp. pour inhalation"	"Dose Form"	"19082259"	"3"	
"amp. pour inhalation"	"Dose Form"	"19095898"	"1"	
"amp. pour inhalation"	"Dose Form"	"19126918"	"4"	
"amp. pour inhalation"	"Dose Form"	"19127579"	"5"	
"ANDRACTIM"	"Brand Name"	"21015543"	"1"	
"THERABEL PHARMA"	"Supplier"	"21019623"	"1"	
"PYRIDOXINE (VIT B6)"	"Ingredient"	"1353228"	"2"	
"UCB CHEMIE"	"Supplier"	"43132744"	"1"	
"ARKOPHARMA BELUX"	"Supplier"	"43132725"	"1"	
"ARTELAC"	"Brand Name"	"21017419"	"1"	
"ARTELAC EDO"	"Brand Name"	"21017419"	"1"	
"URSAPHARM BENELUX"	"Supplier"	"21019868"	"1"	
"VEMEDIA CONSUMER HEALTH BELGIUM"	"Supplier"	"43580728"	"1"	
"VESALE PHARMA"	"Supplier"	"36256900"	"1"	
"VIFOR PHARMA BELGIE"	"Supplier"	"21019774"	"1"	
"VIIV HEALTHCARE UK LIMITED"	"Supplier"	"21020107"	"1"	
"VITALPHARMA"	"Supplier"	"40820951"	"1"	
"VSM BELGIUM"	"Supplier"	"36256901"	"1"	
"WARNER CHILCOTT PHARMACEUTICALS"	"Supplier"	"21019424"	"1"	
"WIDMER LOUIS"	"Supplier"	"40820940"	"1"	
"ASTELLAS PHARMA BV"	"Supplier"	"43132652"	"1"	
"BRISTOL MYERS DIV. UPSAMEDICA"	"Supplier"	"43132768"	"1"	
