MAST_PRD_NAME	CONCEPT_ID	CONCEPT_NAME	VOCABULARY_ID
ABASAGLAR	21018121	Abasaglar	RxNorm Extension
ABELCET	19035347	Abelcet	RxNorm
ABILIFY	19031636	Abilify	RxNorm
ABILIFY MAINTENA	21015038	Abilify Maintena	RxNorm Extension
ABSTRAL	40233228	Abstral	RxNorm
ACCOLATE	19015807	Accolate	RxNorm
ACCUPRIL	19013171	Accupril	RxNorm
ACCUPRIL IMPEXECO	19013171	Accupril	RxNorm
ACCURETIC	19020260	Accuretic	RxNorm
ACEBUTOLOL TEVA	43126739	ACEBUTOLOL TEVA	RxNorm Extension
ACECLOFENAC EG	43126830	ACECLOFENAC EG	RxNorm Extension
ACECLOFENAC MYLAN	43126832	ACECLOFENAC MYLAN	RxNorm Extension
ACEDICON	40799399	Acedicon	RxNorm Extension
ACETYLCYSTEIN SANDOZ	43563579	Acetylcystein Sandoz	RxNorm Extension
ACETYLCYSTEINE EG	43126840	ACETYLCYSTEINE EG	RxNorm Extension
ACETYLCYSTEINE MYLAN	43126842	ACETYLCYSTEINE MYLAN	RxNorm Extension
ACETYLCYSTEINE TEVA	43126845	ACETYLCYSTEINE TEVA	RxNorm Extension
ACICLOVIR EG	43126860	ACICLOVIR EG	RxNorm Extension
ACICLOVIR HOSPIRA	43563616	Aciclovir Hospira	RxNorm Extension
ACICLOVIR MYLAN	43126862	ACICLOVIR MYLAN	RxNorm Extension
ACICLOVIR SANDOZ	43126869	ACICLOVIR SANDOZ	RxNorm Extension
ACICLOVIR TEVA	43126871	ACICLOVIR TEVA	RxNorm Extension
ACIDE IBANDRONIQUE TEVA	43126900	ACIDE IBANDRONIQUE TEVA	RxNorm Extension
ACIDE ZOLEDRONIQUE HOSPIRA	43126910	ACIDE ZOLEDRONIQUE HOSPIRA	RxNorm Extension
ACIDE ZOLEDRONIQUE MYLAN	43126912	ACIDE ZOLEDRONIQUE MYLAN	RxNorm Extension
ACIDRINE	43126916	ACIDRINE	RxNorm Extension
ACLASTA	21014852	Aclasta	RxNorm Extension
ACNIDAZIL	40799450	Acnidazil	RxNorm Extension
ACOMPLIA	21015781	Acomplia	RxNorm Extension
ACT HIB	40799467	Act Hib	RxNorm Extension
ACTAPULGITE	43127005	ACTAPULGITE	RxNorm Extension
ACTIFED	19029676	Actifed	RxNorm
ACTILYSE	19018666	Actilyse	RxNorm
ACTONEL	19021836	Actonel	RxNorm
ACTOS	19099206	Actos	RxNorm
ACTRAPID	21016315	Actrapid	RxNorm Extension
ACUPAN	19018223	Acupan	RxNorm
ADALAT	19020153	Adalat	RxNorm
