concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
"Excision and destruction of (diseased) tissue of the cornea Photo keratectomy"		"OPS"			"5-123.3"			
"Diagnostic endoscopy of the digestive tract by incision and intraoperatively other"		"OPS"			"1-695.x"			
"Biopsy of other urinary organs by incision other"		"OPS"			"1-562.x"			
"Therapeutic purging of a joint knee"		"OPS"			"8-178.h"			
"Other operations on the lens multifocal intraocular lens"		"OPS"			"5-149.20"			
"Corneal transplantation and keratoprosthetics Insertion of a corneal prosthesis"		"OPS"			"5-125.4"			
"Resection of the auricle, Partial, histographically controlled (micrographic surgery)"		"OPS"			"5-182.1"			
"Other diagnostic endoscopy by puncture, incision and intraoperatively"		"OPS"			"1-699"			
"Conjunctivoplasty other"		"OPS"			"5-113.x"			
"Secondary insertion of an orbital implant outside the Tenon capsule, Bulb placeholder made of non-absorbable, microporous material with fibrovascular integration with titanium mesh"		"OPS"			"5-165.14"			
"Diagnostic endoscopy of the digestive tract by incision and intraoperatively small intestine"		"OPS"			"1-695.1"			
"Other neurophysiological studies"		"OPS"			"1-20a"			
"Biopsy in other parts of the eye through the incision other"		"OPS"			"1-529.x"			
"Closed reduction of fracture without internal fixation radius proximally"		"OPS"			"8-200.4"			
"High-resolution electroencephalography [hdEEG] other"		"OPS"			"1-20d.x"			
"Stapesplasty not otherwise specified"		"OPS"			"5-197.y"			
"Special dressing techniques 8 to 14 days"		"OPS"			"8-190.21"			
"Other operations for fixation of the retina other"		"OPS"			"5-154.x"			
"Manipulation of the urinary bladder not otherwise specified"		"OPS"			"8-132.y"			
"Debilitating interventions at an oblique eye muscle"		"OPS"			"5-10g"			
"Bony decompression of the orbita, Three walls"		"OPS"			"5-169.02"			
"Other operations on the lens A defect closure with tissue adhesive"		"OPS"			"5-149.1"			
"Foreign body removal without incision From the vulva"		"OPS"			"8-101.8"			
"Stereotactic biopsy of intracranial tissue brainstem"		"OPS"			"1-511.2"			
"Lowering of intraocular pressure by enhancing aqueous humor circulation by Elektroablation"		"OPS"			"5-133.81"			
"Therapeutic lavage (lavage) of the lung and the pleural cavity 15 to 21 rinses"		"OPS"			"8-173.12"			
"Diagnostics to determine the irreversible brain function failure with proof of the irreversible brain function failure"		"OPS"			"1-202.01"			
"Closed reduction of fracture without internal fixation metatarsal"		"OPS"			"8-200.v"			
"Biopsy of the small intestine by incision jejunum"		"OPS"			"1-555.2"			
"Other manipulations of the urinary tract under fluoroscopy"		"OPS"			"8-139.01"			
"Tympanoplasty with creation of an ear radical cavity, With implantation of an alloplastic prosthesis"		"OPS"			"5-195.c2"			
